EB_level,final_action_dates,visa_bulletin_date,table_type,raw_value,status,visa_wait_time
1,2023-04-01,2026-06-01 00:00:00,final_action,01APR23,F,3.167693360711841
3,2021-08-01,2026-06-01 00:00:00,final_action,01AUG21,F,4.832306639288158
4,2022-07-15,2026-06-01 00:00:00,final_action,15JUL22,F,3.8795345653661877
1,2023-12-01,2026-06-01 00:00:00,dates_for_filing,01DEC23,F,2.4996577686516086
2,2022-01-01,2026-06-01 00:00:00,dates_for_filing,01JAN22,F,4.413415468856948
3,2022-01-01,2026-06-01 00:00:00,dates_for_filing,01JAN22,F,4.413415468856948
4,2023-01-01,2026-06-01 00:00:00,dates_for_filing,01JAN23,F,3.4140999315537304
2,2021-09-01,2026-06-01 00:00:00,final_action,01SEP21,F,4.747433264887063
1,2023-12-01,2026-05-01 00:00:00,dates_for_filing,01DEC23,F,2.414784394250513
4,2023-01-01,2026-05-01 00:00:00,dates_for_filing,01JAN23,F,3.3292265571526354
3,2022-01-01,2026-05-01 00:00:00,dates_for_filing,01JAN22,F,4.328542094455853
2,2022-01-01,2026-05-01 00:00:00,dates_for_filing,01JAN22,F,4.328542094455853
2,2021-09-01,2026-05-01 00:00:00,final_action,01SEP21,F,4.662559890485968
4,2022-07-15,2026-05-01 00:00:00,final_action,15JUL22,F,3.7946611909650922
3,2021-06-15,2026-05-01 00:00:00,final_action,15JUN21,F,4.876112251882272
1,2023-04-01,2026-05-01 00:00:00,final_action,01APR23,F,3.082819986310746
1,2023-12-01,2026-04-01 00:00:00,dates_for_filing,01DEC23,F,2.3326488706365502
4,2023-01-01,2026-04-01 00:00:00,dates_for_filing,01JAN23,F,3.247091033538672
3,2022-01-01,2026-04-01 00:00:00,dates_for_filing,01JAN22,F,4.246406570841889
2,2022-01-01,2026-04-01 00:00:00,dates_for_filing,01JAN22,F,4.246406570841889
4,2022-07-15,2026-04-01 00:00:00,final_action,15JUL22,F,3.7125256673511293
3,2021-06-15,2026-04-01 00:00:00,final_action,15JUN21,F,4.7939767282683095
2,2021-09-01,2026-04-01 00:00:00,final_action,01SEP21,F,4.5804243668720055
1,2023-04-01,2026-04-01 00:00:00,final_action,01APR23,F,3.0006844626967832
1,2023-12-01,2026-03-01 00:00:00,dates_for_filing,01DEC23,F,2.2477754962354553
3,2022-01-01,2026-03-01 00:00:00,dates_for_filing,01JAN22,F,4.161533196440794
2,2022-01-01,2026-03-01 00:00:00,dates_for_filing,01JAN22,F,4.161533196440794
4,2023-01-01,2026-03-01 00:00:00,dates_for_filing,01JAN23,F,3.162217659137577
4,2021-07-15,2026-03-01 00:00:00,final_action,15JUL21,F,4.6269678302532515
3,2021-05-01,2026-03-01 00:00:00,final_action,01MAY21,F,4.832306639288158
2,2021-09-01,2026-03-01 00:00:00,final_action,01SEP21,F,4.4955509924709105
1,2023-03-01,2026-03-01 00:00:00,final_action,01MAR23,F,3.0006844626967832
1,2023-02-01,2026-02-01 00:00:00,final_action,01FEB23,F,3.0006844626967832
2,2021-09-01,2026-02-01 00:00:00,final_action,01SEP21,F,4.418891170431212
3,2021-05-01,2026-02-01 00:00:00,final_action,01MAY21,F,4.75564681724846
4,2021-01-01,2026-02-01 00:00:00,final_action,01JAN21,F,5.084188911704312
1,2023-08-01,2026-02-01 00:00:00,dates_for_filing,01AUG23,F,2.5051334702258727
2,2022-01-01,2026-02-01 00:00:00,dates_for_filing,01JAN22,F,4.084873374401095
3,2022-01-01,2026-02-01 00:00:00,dates_for_filing,01JAN22,F,4.084873374401095
4,2021-03-15,2026-02-01 00:00:00,dates_for_filing,15MAR21,F,4.884325804243669
1,2023-08-01,2026-01-01 00:00:00,dates_for_filing,01AUG23,F,2.4202600958247777
4,2021-03-15,2026-01-01 00:00:00,dates_for_filing,15MAR21,F,4.799452429842574
2,2022-01-01,2026-01-01 00:00:00,dates_for_filing,01JAN22,F,4.0
3,2022-01-01,2026-01-01 00:00:00,dates_for_filing,01JAN22,F,4.0
4,2021-01-01,2026-01-01 00:00:00,final_action,01JAN21,F,4.999315537303217
1,2023-02-01,2026-01-01 00:00:00,final_action,01FEB23,F,2.915811088295688
2,2021-09-01,2026-01-01 00:00:00,final_action,01SEP21,F,4.334017796030117
3,2021-05-01,2026-01-01 00:00:00,final_action,01MAY21,F,4.670773442847365
1,2023-05-15,2025-12-01 00:00:00,dates_for_filing,15MAY23,F,2.5489390828199863
3,2022-01-01,2025-12-01 00:00:00,dates_for_filing,01JAN22,F,3.915126625598905
2,2021-12-01,2025-12-01 00:00:00,dates_for_filing,01DEC21,F,4.0
4,2021-02-15,2025-12-01 00:00:00,dates_for_filing,15FEB21,F,4.791238877481177
4,2020-09-01,2025-12-01 00:00:00,final_action,01SEP20,F,5.248459958932238
3,2021-04-01,2025-12-01 00:00:00,final_action,01APR21,F,4.6680355920602326
2,2021-06-01,2025-12-01 00:00:00,final_action,01JUN21,F,4.501026694045175
1,2023-01-22,2025-12-01 00:00:00,final_action,22JAN23,F,2.858316221765914
1,2022-12-22,2025-11-01 00:00:00,final_action,22DEC22,F,2.861054072553046
2,2021-04-01,2025-11-01 00:00:00,final_action,01APR21,F,4.58590006844627
3,2021-03-01,2025-11-01 00:00:00,final_action,01MAR21,F,4.670773442847365
4,2020-07-01,2025-11-01 00:00:00,final_action,01JUL20,F,5.336071184120465
1,2023-05-15,2025-11-01 00:00:00,dates_for_filing,15MAY23,F,2.4668035592060233
2,2021-12-01,2025-11-01 00:00:00,dates_for_filing,01DEC21,F,3.917864476386037
3,2022-01-01,2025-11-01 00:00:00,dates_for_filing,01JAN22,F,3.8329911019849416
4,2021-02-15,2025-11-01 00:00:00,dates_for_filing,15FEB21,F,4.7091033538672145
4,2021-02-15,2025-10-01 00:00:00,dates_for_filing,15FEB21,F,4.6242299794661195
3,2022-01-01,2025-10-01 00:00:00,dates_for_filing,01JAN22,F,3.7481177275838466
2,2021-12-01,2025-10-01 00:00:00,dates_for_filing,01DEC21,F,3.8329911019849416
