F_level,final_action_dates,visa_bulletin_date,table_type,raw_value,status,visa_wait_time
1,2018-10-01,2026-06-01 00:00:00,dates_for_filing,01OCT18,F,7.665982203969883
2A,2026-06-01,2026-06-01 00:00:00,dates_for_filing,C,C,0.0
2B,2018-03-22,2026-06-01 00:00:00,dates_for_filing,22MAR18,F,8.19438740588638
3,2012-12-08,2026-06-01 00:00:00,dates_for_filing,08DEC12,F,13.478439425051334
4,2006-12-15,2026-06-01 00:00:00,dates_for_filing,15DEC06,F,19.460643394934976
1,2017-09-01,2026-06-01 00:00:00,final_action,01SEP17,F,8.747433264887064
2A,2025-01-01,2026-06-01 00:00:00,final_action,01JAN25,F,1.4127310061601643
2B,2017-09-22,2026-06-01 00:00:00,final_action,22SEP17,F,8.68993839835729
3,2012-02-15,2026-06-01 00:00:00,final_action,15FEB12,F,14.291581108829568
4,2006-11-01,2026-06-01 00:00:00,final_action,01NOV06,F,19.581108829568787
1,2018-10-01,2026-05-01 00:00:00,dates_for_filing,01OCT18,F,7.581108829568788
2A,2026-05-01,2026-05-01 00:00:00,dates_for_filing,C,C,0.0
2B,2018-01-01,2026-05-01 00:00:00,dates_for_filing,01JAN18,F,8.328542094455852
3,2012-12-08,2026-05-01 00:00:00,dates_for_filing,08DEC12,F,13.39356605065024
4,2006-12-15,2026-05-01 00:00:00,dates_for_filing,15DEC06,F,19.37577002053388
1,2017-09-01,2026-05-01 00:00:00,final_action,01SEP17,F,8.66255989048597
2A,2024-08-01,2026-05-01 00:00:00,final_action,01AUG24,F,1.7467488021902806
2B,2017-05-22,2026-05-01 00:00:00,final_action,22MAY17,F,8.941820670773442
3,2012-02-15,2026-05-01 00:00:00,final_action,15FEB12,F,14.206707734428473
4,2006-11-01,2026-05-01 00:00:00,final_action,01NOV06,F,19.496235455167692
1,2018-03-01,2026-04-01 00:00:00,dates_for_filing,01MAR18,F,8.084873374401095
2A,2026-04-01,2026-04-01 00:00:00,dates_for_filing,C,C,0.0
2B,2017-08-08,2026-04-01 00:00:00,dates_for_filing,08AUG17,F,8.646132785763175
3,2012-11-22,2026-04-01 00:00:00,dates_for_filing,22NOV12,F,13.35523613963039
4,2006-12-15,2026-04-01 00:00:00,dates_for_filing,15DEC06,F,19.293634496919918
1,2017-05-01,2026-04-01 00:00:00,final_action,01MAY17,F,8.917180013689254
2A,2024-02-01,2026-04-01 00:00:00,final_action,01FEB24,F,2.16290212183436
2B,2017-05-22,2026-04-01 00:00:00,final_action,22MAY17,F,8.85968514715948
3,2011-12-22,2026-04-01 00:00:00,final_action,22DEC11,F,14.275154004106776
4,2006-11-01,2026-04-01 00:00:00,final_action,01NOV06,F,19.41409993155373
1,2017-09-01,2026-03-01 00:00:00,dates_for_filing,01SEP17,F,8.49555099247091
2A,2026-02-22,2026-03-01 00:00:00,dates_for_filing,22FEB26,F,0.019164955509924708
