EB_level,final_action_dates,visa_bulletin_date,table_type,raw_value,status,visa_wait_time
1,2022-12-15,2026-06-01 00:00:00,final_action,15DEC22,F,3.460643394934976
3,2013-12-15,2026-06-01 00:00:00,final_action,15DEC13,F,12.459958932238193
4,2022-07-15,2026-06-01 00:00:00,final_action,15JUL22,F,3.8795345653661877
1,2023-12-01,2026-06-01 00:00:00,dates_for_filing,01DEC23,F,2.4996577686516086
2,2015-01-15,2026-06-01 00:00:00,dates_for_filing,15JAN15,F,11.375770020533881
3,2015-01-15,2026-06-01 00:00:00,dates_for_filing,15JAN15,F,11.375770020533881
4,2023-01-01,2026-06-01 00:00:00,dates_for_filing,01JAN23,F,3.4140999315537304
2,2013-09-01,2026-06-01 00:00:00,final_action,01SEP13,F,12.747433264887064
1,2023-12-01,2026-05-01 00:00:00,dates_for_filing,01DEC23,F,2.414784394250513
4,2023-01-01,2026-05-01 00:00:00,dates_for_filing,01JAN23,F,3.3292265571526354
3,2015-01-15,2026-05-01 00:00:00,dates_for_filing,15JAN15,F,11.290896646132786
2,2015-01-15,2026-05-01 00:00:00,dates_for_filing,15JAN15,F,11.290896646132786
2,2014-07-15,2026-05-01 00:00:00,final_action,15JUL14,F,11.794661190965092
4,2022-07-15,2026-05-01 00:00:00,final_action,15JUL22,F,3.7946611909650922
3,2013-11-15,2026-05-01 00:00:00,final_action,15NOV13,F,12.457221081451062
1,2023-04-01,2026-05-01 00:00:00,final_action,01APR23,F,3.082819986310746
1,2023-12-01,2026-04-01 00:00:00,dates_for_filing,01DEC23,F,2.3326488706365502
4,2023-01-01,2026-04-01 00:00:00,dates_for_filing,01JAN23,F,3.247091033538672
3,2015-01-15,2026-04-01 00:00:00,dates_for_filing,15JAN15,F,11.208761122518823
2,2015-01-15,2026-04-01 00:00:00,dates_for_filing,15JAN15,F,11.208761122518823
4,2022-07-15,2026-04-01 00:00:00,final_action,15JUL22,F,3.7125256673511293
3,2013-11-15,2026-04-01 00:00:00,final_action,15NOV13,F,12.375085557837098
2,2014-07-15,2026-04-01 00:00:00,final_action,15JUL14,F,11.71252566735113
1,2023-04-01,2026-04-01 00:00:00,final_action,01APR23,F,3.0006844626967832
1,2023-12-01,2026-03-01 00:00:00,dates_for_filing,01DEC23,F,2.2477754962354553
3,2014-08-15,2026-03-01 00:00:00,dates_for_filing,15AUG14,F,11.542778918548938
2,2014-11-01,2026-03-01 00:00:00,dates_for_filing,01NOV14,F,11.329226557152635
4,2023-01-01,2026-03-01 00:00:00,dates_for_filing,01JAN23,F,3.162217659137577
4,2021-07-15,2026-03-01 00:00:00,final_action,15JUL21,F,4.6269678302532515
3,2013-11-15,2026-03-01 00:00:00,final_action,15NOV13,F,12.290212183436003
2,2013-09-15,2026-03-01 00:00:00,final_action,15SEP13,F,12.457221081451062
1,2023-03-01,2026-03-01 00:00:00,final_action,01MAR23,F,3.0006844626967832
1,2023-02-01,2026-02-01 00:00:00,final_action,01FEB23,F,3.0006844626967832
2,2013-07-15,2026-02-01 00:00:00,final_action,15JUL13,F,12.550308008213552
3,2013-11-15,2026-02-01 00:00:00,final_action,15NOV13,F,12.213552361396303
4,2021-01-01,2026-02-01 00:00:00,final_action,01JAN21,F,5.084188911704312
1,2023-08-01,2026-02-01 00:00:00,dates_for_filing,01AUG23,F,2.5051334702258727
2,2013-12-01,2026-02-01 00:00:00,dates_for_filing,01DEC13,F,12.16974674880219
3,2014-08-15,2026-02-01 00:00:00,dates_for_filing,15AUG14,F,11.46611909650924
4,2021-03-15,2026-02-01 00:00:00,dates_for_filing,15MAR21,F,4.884325804243669
1,2023-08-01,2026-01-01 00:00:00,dates_for_filing,01AUG23,F,2.4202600958247777
4,2021-03-15,2026-01-01 00:00:00,dates_for_filing,15MAR21,F,4.799452429842574
3,2014-08-15,2026-01-01 00:00:00,dates_for_filing,15AUG14,F,11.381245722108146
2,2013-12-01,2026-01-01 00:00:00,dates_for_filing,01DEC13,F,12.084873374401095
4,2021-01-01,2026-01-01 00:00:00,final_action,01JAN21,F,4.999315537303217
3,2013-11-15,2026-01-01 00:00:00,final_action,15NOV13,F,12.128678986995208
2,2013-07-15,2026-01-01 00:00:00,final_action,15JUL13,F,12.465434633812457
1,2023-02-01,2026-01-01 00:00:00,final_action,01FEB23,F,2.915811088295688
1,2022-03-15,2025-12-01 00:00:00,final_action,15MAR22,F,3.7152635181382614
2,2013-05-15,2025-12-01 00:00:00,final_action,15MAY13,F,12.54757015742642
3,2013-09-22,2025-12-01 00:00:00,final_action,22SEP13,F,12.191649555099247
4,2020-09-01,2025-12-01 00:00:00,final_action,01SEP20,F,5.248459958932238
1,2023-04-15,2025-12-01 00:00:00,dates_for_filing,15APR23,F,2.631074606433949
2,2013-12-01,2025-12-01 00:00:00,dates_for_filing,01DEC13,F,12.0
3,2014-08-15,2025-12-01 00:00:00,dates_for_filing,15AUG14,F,11.29637234770705
4,2021-02-15,2025-12-01 00:00:00,dates_for_filing,15FEB21,F,4.791238877481177
1,2023-04-15,2025-11-01 00:00:00,dates_for_filing,15APR23,F,2.5489390828199863
4,2021-02-15,2025-11-01 00:00:00,dates_for_filing,15FEB21,F,4.7091033538672145
3,2014-08-15,2025-11-01 00:00:00,dates_for_filing,15AUG14,F,11.214236824093087
2,2013-12-01,2025-11-01 00:00:00,dates_for_filing,01DEC13,F,11.917864476386036
1,2022-02-15,2025-11-01 00:00:00,final_action,15FEB22,F,3.7097878165639973
4,2020-07-01,2025-11-01 00:00:00,final_action,01JUL20,F,5.336071184120465
3,2013-08-22,2025-11-01 00:00:00,final_action,22AUG13,F,12.19438740588638
2,2013-04-01,2025-11-01 00:00:00,final_action,01APR13,F,12.58590006844627
1,2023-04-15,2025-10-01 00:00:00,dates_for_filing,15APR23,F,2.4640657084188913
4,2021-02-15,2025-10-01 00:00:00,dates_for_filing,15FEB21,F,4.6242299794661195
3,2014-08-15,2025-10-01 00:00:00,dates_for_filing,15AUG14,F,11.129363449691992
2,2013-12-01,2025-10-01 00:00:00,dates_for_filing,01DEC13,F,11.832991101984941
4,2020-07-01,2025-10-01 00:00:00,final_action,01JUL20,F,5.25119780971937
1,2022-02-15,2025-10-01 00:00:00,final_action,15FEB22,F,3.6249144421629023
2,2013-04-01,2025-10-01 00:00:00,final_action,01APR13,F,12.501026694045175
3,2013-08-22,2025-10-01 00:00:00,final_action,22AUG13,F,12.109514031485284
1,2022-04-15,2025-09-01 00:00:00,dates_for_filing,15APR22,F,3.381245722108145
3,2013-06-08,2025-09-01 00:00:00,dates_for_filing,08JUN13,F,12.232717316906228
2,2013-02-01,2025-09-01 00:00:00,dates_for_filing,01FEB13,F,12.580424366872005
4,2021-02-01,2025-09-01 00:00:00,dates_for_filing,01FEB21,F,4.5804243668720055
4,,2025-09-01 00:00:00,final_action,U,U,
3,2013-05-22,2025-09-01 00:00:00,final_action,22MAY13,F,12.279260780287474
2,2013-01-01,2025-09-01 00:00:00,final_action,01JAN13,F,12.6652977412731
1,2022-02-15,2025-09-01 00:00:00,final_action,15FEB22,F,3.542778918548939
2,2013-01-01,2025-08-01 00:00:00,final_action,01JAN13,F,12.580424366872005
3,2013-05-22,2025-08-01 00:00:00,final_action,22MAY13,F,12.19438740588638
4,,2025-08-01 00:00:00,final_action,U,U,
1,2022-04-15,2025-08-01 00:00:00,dates_for_filing,15APR22,F,3.29637234770705
2,2013-02-01,2025-08-01 00:00:00,dates_for_filing,01FEB13,F,12.49555099247091
3,2013-06-08,2025-08-01 00:00:00,dates_for_filing,08JUN13,F,12.147843942505133
4,2021-02-01,2025-08-01 00:00:00,dates_for_filing,01FEB21,F,4.4955509924709105
1,2022-02-15,2025-08-01 00:00:00,final_action,15FEB22,F,3.457905544147844
4,2021-02-01,2025-07-01 00:00:00,dates_for_filing,01FEB21,F,4.4106776180698155
1,2022-04-15,2025-07-01 00:00:00,dates_for_filing,15APR22,F,3.2114989733059547
2,2013-02-01,2025-07-01 00:00:00,dates_for_filing,01FEB13,F,12.410677618069816
3,2013-06-08,2025-07-01 00:00:00,dates_for_filing,08JUN13,F,12.062970568104038
4,,2025-07-01 00:00:00,final_action,U,U,
2,2013-01-01,2025-07-01 00:00:00,final_action,01JAN13,F,12.49555099247091
3,2013-04-22,2025-07-01 00:00:00,final_action,22APR13,F,12.191649555099247
1,2022-02-15,2025-07-01 00:00:00,final_action,15FEB22,F,3.373032169746749
2,2013-01-01,2025-06-01 00:00:00,final_action,01JAN13,F,12.413415468856947
3,2013-04-15,2025-06-01 00:00:00,final_action,15APR13,F,12.128678986995208
4,,2025-06-01 00:00:00,final_action,U,U,
1,2022-04-15,2025-06-01 00:00:00,dates_for_filing,15APR22,F,3.1293634496919918
2,2013-02-01,2025-06-01 00:00:00,dates_for_filing,01FEB13,F,12.328542094455852
3,2013-06-08,2025-06-01 00:00:00,dates_for_filing,08JUN13,F,11.980835044490075
4,2021-02-01,2025-06-01 00:00:00,dates_for_filing,01FEB21,F,4.328542094455853
1,2022-02-15,2025-06-01 00:00:00,final_action,15FEB22,F,3.2908966461327855
1,2022-04-15,2025-05-01 00:00:00,dates_for_filing,15APR22,F,3.0444900752908968
4,2021-02-01,2025-05-01 00:00:00,dates_for_filing,01FEB21,F,4.243668720054757
3,2013-06-08,2025-05-01 00:00:00,dates_for_filing,08JUN13,F,11.89596167008898
2,2013-02-01,2025-05-01 00:00:00,dates_for_filing,01FEB13,F,12.243668720054757
2,2013-01-01,2025-05-01 00:00:00,final_action,01JAN13,F,12.328542094455852
4,,2025-05-01 00:00:00,final_action,U,U,
3,2013-04-15,2025-05-01 00:00:00,final_action,15APR13,F,12.043805612594113
1,2022-02-15,2025-05-01 00:00:00,final_action,15FEB22,F,3.2060232717316905
1,2022-04-15,2025-04-01 00:00:00,dates_for_filing,15APR22,F,2.9623545516769334
4,2021-02-01,2025-04-01 00:00:00,dates_for_filing,01FEB21,F,4.161533196440794
3,2013-06-08,2025-04-01 00:00:00,dates_for_filing,08JUN13,F,11.813826146475018
2,2013-02-01,2025-04-01 00:00:00,dates_for_filing,01FEB13,F,12.161533196440795
4,,2025-04-01 00:00:00,final_action,U,U,
3,2013-04-01,2025-04-01 00:00:00,final_action,01APR13,F,12.0
1,2022-02-15,2025-04-01 00:00:00,final_action,15FEB22,F,3.1238877481177276
2,2013-01-01,2025-04-01 00:00:00,final_action,01JAN13,F,12.24640657084189
1,2022-02-01,2025-03-01 00:00:00,final_action,01FEB22,F,3.077344284736482
2,2012-12-01,2025-03-01 00:00:00,final_action,01DEC12,F,12.24640657084189
3,2013-02-01,2025-03-01 00:00:00,final_action,01FEB13,F,12.0766598220397
4,2019-08-01,2025-03-01 00:00:00,final_action,01AUG19,F,5.582477754962355
1,2022-04-15,2025-03-01 00:00:00,dates_for_filing,15APR22,F,2.8774811772758384
2,2013-01-01,2025-03-01 00:00:00,dates_for_filing,01JAN13,F,12.161533196440795
3,2013-06-08,2025-03-01 00:00:00,dates_for_filing,08JUN13,F,11.728952772073923
4,2021-02-01,2025-03-01 00:00:00,dates_for_filing,01FEB21,F,4.076659822039699
1,2022-04-15,2025-02-01 00:00:00,dates_for_filing,15APR22,F,2.8008213552361396
4,2021-02-01,2025-02-01 00:00:00,dates_for_filing,01FEB21,F,4.0
3,2013-06-08,2025-02-01 00:00:00,dates_for_filing,08JUN13,F,11.652292950034223
2,2013-01-01,2025-02-01 00:00:00,dates_for_filing,01JAN13,F,12.084873374401095
1,2022-02-01,2025-02-01 00:00:00,final_action,01FEB22,F,3.0006844626967832
4,2021-01-01,2025-02-01 00:00:00,final_action,01JAN21,F,4.084873374401095
3,2012-12-15,2025-02-01 00:00:00,final_action,15DEC12,F,12.131416837782341
2,2012-10-15,2025-02-01 00:00:00,final_action,15OCT12,F,12.2984257357974
4,2021-02-01,2025-01-01 00:00:00,dates_for_filing,01FEB21,F,3.915126625598905
3,2013-06-08,2025-01-01 00:00:00,dates_for_filing,08JUN13,F,11.567419575633128
2,2013-01-01,2025-01-01 00:00:00,dates_for_filing,01JAN13,F,12.0
1,2022-04-15,2025-01-01 00:00:00,dates_for_filing,15APR22,F,2.7159479808350446
4,2021-01-01,2025-01-01 00:00:00,final_action,01JAN21,F,4.0
2,2012-10-01,2025-01-01 00:00:00,final_action,01OCT12,F,12.251882272416154
1,2022-02-01,2025-01-01 00:00:00,final_action,01FEB22,F,2.915811088295688
3,2012-12-01,2025-01-01 00:00:00,final_action,01DEC12,F,12.084873374401095
1,2022-04-15,2024-12-01 00:00:00,dates_for_filing,15APR22,F,2.631074606433949
3,2013-06-08,2024-12-01 00:00:00,dates_for_filing,08JUN13,F,11.482546201232033
2,2013-01-01,2024-12-01 00:00:00,dates_for_filing,01JAN13,F,11.915126625598905
4,2021-02-01,2024-12-01 00:00:00,dates_for_filing,01FEB21,F,3.8302532511978096
4,2021-01-01,2024-12-01 00:00:00,final_action,01JAN21,F,3.915126625598905
3,2012-11-08,2024-12-01 00:00:00,final_action,08NOV12,F,12.062970568104038
2,2012-08-01,2024-12-01 00:00:00,final_action,01AUG12,F,12.334017796030116
