F_level,final_action_dates,visa_bulletin_date,table_type,raw_value,status,visa_wait_time
1,2007-11-08,2026-06-01 00:00:00,final_action,08NOV07,F,18.562628336755647
2B,2009-02-15,2026-06-01 00:00:00,final_action,15FEB09,F,17.28952772073922
3,2001-05-01,2026-06-01 00:00:00,final_action,01MAY01,F,25.084188911704313
4,2001-04-08,2026-06-01 00:00:00,final_action,08APR01,F,25.14715947980835
1,2008-10-01,2026-06-01 00:00:00,dates_for_filing,01OCT08,F,17.66461327857632
2A,2026-06-01,2026-06-01 00:00:00,dates_for_filing,C,C,0.0
2B,2010-05-15,2026-06-01 00:00:00,dates_for_filing,15MAY10,F,16.046543463381244
3,2001-07-15,2026-06-01 00:00:00,dates_for_filing,15JUL01,F,24.878850102669404
4,2001-04-30,2026-06-01 00:00:00,dates_for_filing,30APR01,F,25.086926762491444
2A,2024-01-01,2026-06-01 00:00:00,final_action,01JAN24,F,2.414784394250513
1,2008-10-01,2026-05-01 00:00:00,dates_for_filing,01OCT08,F,17.579739904175224
4,2001-04-30,2026-05-01 00:00:00,dates_for_filing,30APR01,F,25.00205338809035
3,2001-07-15,2026-05-01 00:00:00,dates_for_filing,15JUL01,F,24.79397672826831
2B,2010-05-15,2026-05-01 00:00:00,dates_for_filing,15MAY10,F,15.961670088980151
2A,2026-05-01,2026-05-01 00:00:00,dates_for_filing,C,C,0.0
2B,2009-02-15,2026-05-01 00:00:00,final_action,15FEB09,F,17.204654346338124
4,2001-04-08,2026-05-01 00:00:00,final_action,08APR01,F,25.062286105407257
3,2001-05-01,2026-05-01 00:00:00,final_action,01MAY01,F,24.999315537303218
2A,2023-08-01,2026-05-01 00:00:00,final_action,01AUG23,F,2.74880219028063
1,2007-08-15,2026-05-01 00:00:00,final_action,15AUG07,F,18.71047227926078
1,2008-04-15,2026-04-01 00:00:00,dates_for_filing,15APR08,F,17.960301163586585
4,2001-04-30,2026-04-01 00:00:00,dates_for_filing,30APR01,F,24.919917864476385
3,2001-07-01,2026-04-01 00:00:00,dates_for_filing,01JUL01,F,24.750171115674195
2A,2026-04-01,2026-04-01 00:00:00,dates_for_filing,C,C,0.0
2B,2010-05-15,2026-04-01 00:00:00,dates_for_filing,15MAY10,F,15.879534565366187
4,2001-04-08,2026-04-01 00:00:00,final_action,08APR01,F,24.980150581793293
1,2007-02-15,2026-04-01 00:00:00,final_action,15FEB07,F,19.123887748117728
2B,2009-02-15,2026-04-01 00:00:00,final_action,15FEB09,F,17.12251882272416
2A,2023-02-01,2026-04-01 00:00:00,final_action,01FEB23,F,3.162217659137577
3,2001-05-01,2026-04-01 00:00:00,final_action,01MAY01,F,24.917180013689254
2A,2026-02-22,2026-03-01 00:00:00,dates_for_filing,22FEB26,F,0.019164955509924708
4,2001-04-30,2026-03-01 00:00:00,dates_for_filing,30APR01,F,24.83504449007529
3,2001-07-01,2026-03-01 00:00:00,dates_for_filing,01JUL01,F,24.6652977412731
2B,2010-02-15,2026-03-01 00:00:00,dates_for_filing,15FEB10,F,16.03832991101985
1,2007-12-01,2026-03-01 00:00:00,dates_for_filing,01DEC07,F,18.247775496235455
4,2001-04-08,2026-03-01 00:00:00,final_action,08APR01,F,24.895277207392198
3,2001-05-01,2026-03-01 00:00:00,final_action,01MAY01,F,24.83230663928816
2B,2009-02-15,2026-03-01 00:00:00,final_action,15FEB09,F,17.037645448323065
2A,2023-02-01,2026-03-01 00:00:00,final_action,01FEB23,F,3.077344284736482
