EB_level,final_action_dates,visa_bulletin_date,table_type,raw_value,status,visa_wait_time
EB1,2026-06-01,2026-06-01 00:00:00,final_action,C,C,0.0
EB2,2026-06-01,2026-06-01 00:00:00,dates_for_filing,C,C,0.0
EB2,2026-06-01,2026-06-01 00:00:00,final_action,C,C,0.0
EB5_INFRA,2026-06-01,2026-06-01 00:00:00,dates_for_filing,C,C,0.0
EB5_HIGHUNEMP,2026-06-01,2026-06-01 00:00:00,dates_for_filing,C,C,0.0
EB5_RURAL,2026-06-01,2026-06-01 00:00:00,dates_for_filing,C,C,0.0
EB5_UNRESERVED,2026-06-01,2026-06-01 00:00:00,dates_for_filing,C,C,0.0
EB4,2023-01-01,2026-06-01 00:00:00,dates_for_filing,01JAN23,F,3.4140999315537304
EB3_OW,2022-08-01,2026-06-01 00:00:00,dates_for_filing,01AUG22,F,3.8329911019849416
EB3,2026-06-01,2026-06-01 00:00:00,dates_for_filing,C,C,0.0
EB4_RW,2023-01-01,2026-06-01 00:00:00,dates_for_filing,01JAN23,F,3.4140999315537304
EB1,2026-06-01,2026-06-01 00:00:00,dates_for_filing,C,C,0.0
EB4_RW,2022-07-15,2026-06-01 00:00:00,final_action,15JUL22,F,3.8795345653661877
EB5_INFRA,2026-06-01,2026-06-01 00:00:00,final_action,C,C,0.0
EB3_OW,2022-02-01,2026-06-01 00:00:00,final_action,01FEB22,F,4.328542094455853
EB4,2022-07-15,2026-06-01 00:00:00,final_action,15JUL22,F,3.8795345653661877
EB3,2024-06-01,2026-06-01 00:00:00,final_action,01JUN24,F,1.998631074606434
EB5_UNRESERVED,2026-06-01,2026-06-01 00:00:00,final_action,C,C,0.0
EB5_RURAL,2026-06-01,2026-06-01 00:00:00,final_action,C,C,0.0
EB5_HIGHUNEMP,2026-06-01,2026-06-01 00:00:00,final_action,C,C,0.0
EB1,2026-05-01,2026-05-01 00:00:00,dates_for_filing,C,C,0.0
EB5_INFRA,2026-05-01,2026-05-01 00:00:00,dates_for_filing,C,C,0.0
EB5_HIGHUNEMP,2026-05-01,2026-05-01 00:00:00,dates_for_filing,C,C,0.0
EB5_RURAL,2026-05-01,2026-05-01 00:00:00,dates_for_filing,C,C,0.0
EB5_UNRESERVED,2026-05-01,2026-05-01 00:00:00,dates_for_filing,C,C,0.0
EB4_RW,2023-01-01,2026-05-01 00:00:00,dates_for_filing,01JAN23,F,3.3292265571526354
EB4,2023-01-01,2026-05-01 00:00:00,dates_for_filing,01JAN23,F,3.3292265571526354
EB3_OW,2022-08-01,2026-05-01 00:00:00,dates_for_filing,01AUG22,F,3.7481177275838466
EB3,2026-05-01,2026-05-01 00:00:00,dates_for_filing,C,C,0.0
EB2,2026-05-01,2026-05-01 00:00:00,dates_for_filing,C,C,0.0
EB4,2022-07-15,2026-05-01 00:00:00,final_action,15JUL22,F,3.7946611909650922
EB5_INFRA,2026-05-01,2026-05-01 00:00:00,final_action,C,C,0.0
EB3_OW,2022-02-01,2026-05-01 00:00:00,final_action,01FEB22,F,4.243668720054757
EB5_HIGHUNEMP,2026-05-01,2026-05-01 00:00:00,final_action,C,C,0.0
EB2,2026-05-01,2026-05-01 00:00:00,final_action,C,C,0.0
EB3,2024-06-01,2026-05-01 00:00:00,final_action,01JUN24,F,1.9137577002053388
EB1,2026-05-01,2026-05-01 00:00:00,final_action,C,C,0.0
EB4_RW,2022-07-15,2026-05-01 00:00:00,final_action,15JUL22,F,3.7946611909650922
EB5_UNRESERVED,2026-05-01,2026-05-01 00:00:00,final_action,C,C,0.0
EB5_RURAL,2026-05-01,2026-05-01 00:00:00,final_action,C,C,0.0
EB1,2026-04-01,2026-04-01 00:00:00,dates_for_filing,C,C,0.0
EB5_INFRA,2026-04-01,2026-04-01 00:00:00,dates_for_filing,C,C,0.0
EB5_HIGHUNEMP,2026-04-01,2026-04-01 00:00:00,dates_for_filing,C,C,0.0
EB5_RURAL,2026-04-01,2026-04-01 00:00:00,dates_for_filing,C,C,0.0
EB5_UNRESERVED,2026-04-01,2026-04-01 00:00:00,dates_for_filing,C,C,0.0
EB4,2023-01-01,2026-04-01 00:00:00,dates_for_filing,01JAN23,F,3.247091033538672
EB3_OW,2022-08-01,2026-04-01 00:00:00,dates_for_filing,01AUG22,F,3.6659822039698837
EB3,2026-04-01,2026-04-01 00:00:00,dates_for_filing,C,C,0.0
EB2,2026-04-01,2026-04-01 00:00:00,dates_for_filing,C,C,0.0
EB4_RW,2023-01-01,2026-04-01 00:00:00,dates_for_filing,01JAN23,F,3.247091033538672
EB5_INFRA,2026-04-01,2026-04-01 00:00:00,final_action,C,C,0.0
EB4,2022-07-15,2026-04-01 00:00:00,final_action,15JUL22,F,3.7125256673511293
EB5_HIGHUNEMP,2026-04-01,2026-04-01 00:00:00,final_action,C,C,0.0
EB3,2024-06-01,2026-04-01 00:00:00,final_action,01JUN24,F,1.8316221765913758
EB3_OW,2021-11-01,2026-04-01 00:00:00,final_action,01NOV21,F,4.413415468856948
EB2,2026-04-01,2026-04-01 00:00:00,final_action,C,C,0.0
EB1,2026-04-01,2026-04-01 00:00:00,final_action,C,C,0.0
EB4_RW,2022-07-15,2026-04-01 00:00:00,final_action,15JUL22,F,3.7125256673511293
EB5_UNRESERVED,2026-04-01,2026-04-01 00:00:00,final_action,C,C,0.0
EB5_RURAL,2026-04-01,2026-04-01 00:00:00,final_action,C,C,0.0
EB2,2026-03-01,2026-03-01 00:00:00,dates_for_filing,C,C,0.0
EB5_INFRA,2026-03-01,2026-03-01 00:00:00,dates_for_filing,C,C,0.0
EB5_HIGHUNEMP,2026-03-01,2026-03-01 00:00:00,dates_for_filing,C,C,0.0
EB5_RURAL,2026-03-01,2026-03-01 00:00:00,dates_for_filing,C,C,0.0
EB5_UNRESERVED,2026-03-01,2026-03-01 00:00:00,dates_for_filing,C,C,0.0
EB4_RW,2023-01-01,2026-03-01 00:00:00,dates_for_filing,01JAN23,F,3.162217659137577
EB4,2023-01-01,2026-03-01 00:00:00,dates_for_filing,01JAN23,F,3.162217659137577
EB3_OW,2022-06-22,2026-03-01 00:00:00,dates_for_filing,22JUN22,F,3.6906228610540723
EB3,2024-01-15,2026-03-01 00:00:00,dates_for_filing,15JAN24,F,2.1245722108145104
EB1,2026-03-01,2026-03-01 00:00:00,dates_for_filing,C,C,0.0
EB1,2026-03-01,2026-03-01 00:00:00,final_action,C,C,0.0
EB5_HIGHUNEMP,2026-03-01,2026-03-01 00:00:00,final_action,C,C,0.0
EB5_RURAL,2026-03-01,2026-03-01 00:00:00,final_action,C,C,0.0
EB5_UNRESERVED,2026-03-01,2026-03-01 00:00:00,final_action,C,C,0.0
EB4_RW,2021-07-15,2026-03-01 00:00:00,final_action,15JUL21,F,4.6269678302532515
EB4,2021-07-15,2026-03-01 00:00:00,final_action,15JUL21,F,4.6269678302532515
EB3_OW,2021-11-01,2026-03-01 00:00:00,final_action,01NOV21,F,4.328542094455853
EB3,2023-10-01,2026-03-01 00:00:00,final_action,01OCT23,F,2.414784394250513
EB2,2024-10-15,2026-03-01 00:00:00,final_action,15OCT24,F,1.374401095140315
EB5_INFRA,2026-03-01,2026-03-01 00:00:00,final_action,C,C,0.0
EB4_RW,,2026-02-01 00:00:00,dates_for_filing,U,U,
EB3,2023-10-01,2026-02-01 00:00:00,dates_for_filing,01OCT23,F,2.3381245722108144
EB3_OW,2021-12-01,2026-02-01 00:00:00,dates_for_filing,01DEC21,F,4.16974674880219
EB4,2021-03-15,2026-02-01 00:00:00,dates_for_filing,15MAR21,F,4.884325804243669
EB1,2026-02-01,2026-02-01 00:00:00,dates_for_filing,C,C,0.0
EB5_UNRESERVED,2026-02-01,2026-02-01 00:00:00,dates_for_filing,C,C,0.0
EB5_RURAL,2026-02-01,2026-02-01 00:00:00,dates_for_filing,C,C,0.0
EB5_HIGHUNEMP,2026-02-01,2026-02-01 00:00:00,dates_for_filing,C,C,0.0
EB5_INFRA,2026-02-01,2026-02-01 00:00:00,dates_for_filing,C,C,0.0
EB2,2024-10-15,2026-02-01 00:00:00,dates_for_filing,15OCT24,F,1.297741273100616
EB1,2026-02-01,2026-02-01 00:00:00,final_action,C,C,0.0
EB5_INFRA,2026-02-01,2026-02-01 00:00:00,final_action,C,C,0.0
EB5_RURAL,2026-02-01,2026-02-01 00:00:00,final_action,C,C,0.0
EB5_UNRESERVED,2026-02-01,2026-02-01 00:00:00,final_action,C,C,0.0
EB4_RW,,2026-02-01 00:00:00,final_action,U,U,
EB4,2021-01-01,2026-02-01 00:00:00,final_action,01JAN21,F,5.084188911704312
EB3_OW,2021-09-01,2026-02-01 00:00:00,final_action,01SEP21,F,4.418891170431212
EB3,2023-06-01,2026-02-01 00:00:00,final_action,01JUN23,F,2.6721423682409307
EB2,2024-04-01,2026-02-01 00:00:00,final_action,01APR24,F,1.83709787816564
EB5_HIGHUNEMP,2026-02-01,2026-02-01 00:00:00,final_action,C,C,0.0
EB4_RW,2021-03-15,2026-01-01 00:00:00,dates_for_filing,15MAR21,F,4.799452429842574
EB3,2023-07-01,2026-01-01 00:00:00,dates_for_filing,01JUL23,F,2.5051334702258727
EB3_OW,2021-12-01,2026-01-01 00:00:00,dates_for_filing,01DEC21,F,4.084873374401095
EB4,2021-03-15,2026-01-01 00:00:00,dates_for_filing,15MAR21,F,4.799452429842574
EB1,2026-01-01,2026-01-01 00:00:00,dates_for_filing,C,C,0.0
EB5_UNRESERVED,2026-01-01,2026-01-01 00:00:00,dates_for_filing,C,C,0.0
EB5_RURAL,2026-01-01,2026-01-01 00:00:00,dates_for_filing,C,C,0.0
EB5_HIGHUNEMP,2026-01-01,2026-01-01 00:00:00,dates_for_filing,C,C,0.0
EB5_INFRA,2026-01-01,2026-01-01 00:00:00,dates_for_filing,C,C,0.0
EB2,2024-10-15,2026-01-01 00:00:00,dates_for_filing,15OCT24,F,1.212867898699521
EB4,2021-01-01,2026-01-01 00:00:00,final_action,01JAN21,F,4.999315537303217
EB5_INFRA,2026-01-01,2026-01-01 00:00:00,final_action,C,C,0.0
EB1,2026-01-01,2026-01-01 00:00:00,final_action,C,C,0.0
EB2,2024-04-01,2026-01-01 00:00:00,final_action,01APR24,F,1.7522245037645447
EB3,2023-04-22,2026-01-01 00:00:00,final_action,22APR23,F,2.6967830253251197
EB3_OW,2021-09-01,2026-01-01 00:00:00,final_action,01SEP21,F,4.334017796030117
EB5_HIGHUNEMP,2026-01-01,2026-01-01 00:00:00,final_action,C,C,0.0
EB4_RW,2021-01-01,2026-01-01 00:00:00,final_action,01JAN21,F,4.999315537303217
EB5_UNRESERVED,2026-01-01,2026-01-01 00:00:00,final_action,C,C,0.0
EB5_RURAL,2026-01-01,2026-01-01 00:00:00,final_action,C,C,0.0
EB2,2024-07-15,2025-12-01 00:00:00,dates_for_filing,15JUL24,F,1.379876796714579
EB5_INFRA,2025-12-01,2025-12-01 00:00:00,dates_for_filing,C,C,0.0
EB5_HIGHUNEMP,2025-12-01,2025-12-01 00:00:00,dates_for_filing,C,C,0.0
EB5_RURAL,2025-12-01,2025-12-01 00:00:00,dates_for_filing,C,C,0.0
EB5_UNRESERVED,2025-12-01,2025-12-01 00:00:00,dates_for_filing,C,C,0.0
EB4_RW,2021-02-15,2025-12-01 00:00:00,dates_for_filing,15FEB21,F,4.791238877481177
EB4,2021-02-15,2025-12-01 00:00:00,dates_for_filing,15FEB21,F,4.791238877481177
EB3_OW,2021-12-01,2025-12-01 00:00:00,dates_for_filing,01DEC21,F,4.0
EB3,2023-07-01,2025-12-01 00:00:00,dates_for_filing,01JUL23,F,2.4202600958247777
EB1,2025-12-01,2025-12-01 00:00:00,dates_for_filing,C,C,0.0
EB1,2025-12-01,2025-12-01 00:00:00,final_action,C,C,0.0
EB5_HIGHUNEMP,2025-12-01,2025-12-01 00:00:00,final_action,C,C,0.0
EB5_RURAL,2025-12-01,2025-12-01 00:00:00,final_action,C,C,0.0
EB5_UNRESERVED,2025-12-01,2025-12-01 00:00:00,final_action,C,C,0.0
EB4_RW,2020-09-01,2025-12-01 00:00:00,final_action,01SEP20,F,5.248459958932238
EB4,2020-09-01,2025-12-01 00:00:00,final_action,01SEP20,F,5.248459958932238
EB3_OW,2021-08-01,2025-12-01 00:00:00,final_action,01AUG21,F,4.334017796030117
EB3,2023-04-15,2025-12-01 00:00:00,final_action,15APR23,F,2.631074606433949
EB2,2024-02-01,2025-12-01 00:00:00,final_action,01FEB24,F,1.8316221765913758
EB5_INFRA,2025-12-01,2025-12-01 00:00:00,final_action,C,C,0.0
EB4_RW,,2025-11-01 00:00:00,dates_for_filing,U,U,
EB3,2023-07-01,2025-11-01 00:00:00,dates_for_filing,01JUL23,F,2.3381245722108144
EB3_OW,2021-12-01,2025-11-01 00:00:00,dates_for_filing,01DEC21,F,3.917864476386037
EB4,2021-02-15,2025-11-01 00:00:00,dates_for_filing,15FEB21,F,4.7091033538672145
EB1,2025-11-01,2025-11-01 00:00:00,dates_for_filing,C,C,0.0
EB5_UNRESERVED,2025-11-01,2025-11-01 00:00:00,dates_for_filing,C,C,0.0
EB5_RURAL,2025-11-01,2025-11-01 00:00:00,dates_for_filing,C,C,0.0
EB5_HIGHUNEMP,2025-11-01,2025-11-01 00:00:00,dates_for_filing,C,C,0.0
EB5_INFRA,2025-11-01,2025-11-01 00:00:00,dates_for_filing,C,C,0.0
EB2,2024-07-15,2025-11-01 00:00:00,dates_for_filing,15JUL24,F,1.297741273100616
EB1,2025-11-01,2025-11-01 00:00:00,final_action,C,C,0.0
EB5_INFRA,2025-11-01,2025-11-01 00:00:00,final_action,C,C,0.0
EB5_RURAL,2025-11-01,2025-11-01 00:00:00,final_action,C,C,0.0
EB5_UNRESERVED,2025-11-01,2025-11-01 00:00:00,final_action,C,C,0.0
EB4_RW,,2025-11-01 00:00:00,final_action,U,U,
EB4,2020-07-01,2025-11-01 00:00:00,final_action,01JUL20,F,5.336071184120465
EB3_OW,2021-07-15,2025-11-01 00:00:00,final_action,15JUL21,F,4.298425735797399
EB3,2023-04-01,2025-11-01 00:00:00,final_action,01APR23,F,2.5872689938398357
EB2,2023-12-01,2025-11-01 00:00:00,final_action,01DEC23,F,1.919233401779603
EB5_HIGHUNEMP,2025-11-01,2025-11-01 00:00:00,final_action,C,C,0.0
EB4_RW,,2025-10-01 00:00:00,dates_for_filing,U,U,
EB3,2023-07-01,2025-10-01 00:00:00,dates_for_filing,01JUL23,F,2.2532511978097194
EB3_OW,2021-12-01,2025-10-01 00:00:00,dates_for_filing,01DEC21,F,3.8329911019849416
EB4,2021-02-15,2025-10-01 00:00:00,dates_for_filing,15FEB21,F,4.6242299794661195
EB1,2025-10-01,2025-10-01 00:00:00,dates_for_filing,C,C,0.0
EB5_UNRESERVED,2025-10-01,2025-10-01 00:00:00,dates_for_filing,C,C,0.0
EB5_RURAL,2025-10-01,2025-10-01 00:00:00,dates_for_filing,C,C,0.0
EB5_HIGHUNEMP,2025-10-01,2025-10-01 00:00:00,dates_for_filing,C,C,0.0
EB5_INFRA,2025-10-01,2025-10-01 00:00:00,dates_for_filing,C,C,0.0
EB2,2024-07-15,2025-10-01 00:00:00,dates_for_filing,15JUL24,F,1.212867898699521
EB1,2025-10-01,2025-10-01 00:00:00,final_action,C,C,0.0
EB5_INFRA,2025-10-01,2025-10-01 00:00:00,final_action,C,C,0.0
EB5_RURAL,2025-10-01,2025-10-01 00:00:00,final_action,C,C,0.0
EB5_UNRESERVED,2025-10-01,2025-10-01 00:00:00,final_action,C,C,0.0
EB4_RW,,2025-10-01 00:00:00,final_action,U,U,
EB4,2020-07-01,2025-10-01 00:00:00,final_action,01JUL20,F,5.25119780971937
EB3_OW,2021-07-15,2025-10-01 00:00:00,final_action,15JUL21,F,4.213552361396304
EB3,2023-04-01,2025-10-01 00:00:00,final_action,01APR23,F,2.5023956194387407
EB2,2023-12-01,2025-10-01 00:00:00,final_action,01DEC23,F,1.834360027378508
EB5_HIGHUNEMP,2025-10-01,2025-10-01 00:00:00,final_action,C,C,0.0
EB4_RW,2021-02-01,2025-09-01 00:00:00,dates_for_filing,01FEB21,F,4.5804243668720055
EB3,2023-05-01,2025-09-01 00:00:00,dates_for_filing,01MAY23,F,2.3381245722108144
EB3_OW,2021-07-22,2025-09-01 00:00:00,dates_for_filing,22JUL21,F,4.112251882272417
EB4,2021-02-01,2025-09-01 00:00:00,dates_for_filing,01FEB21,F,4.5804243668720055
EB5_INFRA,2025-09-01,2025-09-01 00:00:00,dates_for_filing,C,C,0.0
EB5_UNRESERVED,2025-09-01,2025-09-01 00:00:00,dates_for_filing,C,C,0.0
EB5_RURAL,2025-09-01,2025-09-01 00:00:00,dates_for_filing,C,C,0.0
EB5_HIGHUNEMP,2025-09-01,2025-09-01 00:00:00,dates_for_filing,C,C,0.0
EB2,2023-11-15,2025-09-01 00:00:00,dates_for_filing,15NOV23,F,1.7960301163586585
EB1,2025-09-01,2025-09-01 00:00:00,dates_for_filing,C,C,0.0
EB5_INFRA,2025-09-01,2025-09-01 00:00:00,final_action,C,C,0.0
EB3_OW,2021-07-08,2025-09-01 00:00:00,final_action,08JUL21,F,4.1505817932922655
EB5_HIGHUNEMP,2025-09-01,2025-09-01 00:00:00,final_action,C,C,0.0
EB2,2023-09-01,2025-09-01 00:00:00,final_action,01SEP23,F,2.001368925393566
EB3,2023-04-01,2025-09-01 00:00:00,final_action,01APR23,F,2.4202600958247777
EB1,2025-09-01,2025-09-01 00:00:00,final_action,C,C,0.0
EB4,,2025-09-01 00:00:00,final_action,U,U,
EB4_RW,,2025-09-01 00:00:00,final_action,U,U,
EB5_UNRESERVED,2025-09-01,2025-09-01 00:00:00,final_action,C,C,0.0
EB5_RURAL,2025-09-01,2025-09-01 00:00:00,final_action,C,C,0.0
EB1,2025-08-01,2025-08-01 00:00:00,dates_for_filing,C,C,0.0
EB5_INFRA,2025-08-01,2025-08-01 00:00:00,dates_for_filing,C,C,0.0
EB5_HIGHUNEMP,2025-08-01,2025-08-01 00:00:00,dates_for_filing,C,C,0.0
EB5_RURAL,2025-08-01,2025-08-01 00:00:00,dates_for_filing,C,C,0.0
EB5_UNRESERVED,2025-08-01,2025-08-01 00:00:00,dates_for_filing,C,C,0.0
EB4_RW,2021-02-01,2025-08-01 00:00:00,dates_for_filing,01FEB21,F,4.4955509924709105
EB3_OW,2021-07-22,2025-08-01 00:00:00,dates_for_filing,22JUL21,F,4.027378507871321
EB3,2023-05-01,2025-08-01 00:00:00,dates_for_filing,01MAY23,F,2.2532511978097194
EB2,2023-11-15,2025-08-01 00:00:00,dates_for_filing,15NOV23,F,1.7111567419575633
EB4,2021-02-01,2025-08-01 00:00:00,dates_for_filing,01FEB21,F,4.4955509924709105
EB5_INFRA,2025-08-01,2025-08-01 00:00:00,final_action,C,C,0.0
EB4,,2025-08-01 00:00:00,final_action,U,U,
