F_level,final_action_dates,visa_bulletin_date,table_type,raw_value,status,visa_wait_time
1,2013-05-01,2026-06-01 00:00:00,final_action,01MAY13,F,13.084188911704311
2B,2013-04-08,2026-06-01 00:00:00,final_action,08APR13,F,13.14715947980835
3,2005-11-22,2026-06-01 00:00:00,final_action,22NOV05,F,20.522929500342233
4,2007-07-15,2026-06-01 00:00:00,final_action,15JUL07,F,18.88021902806297
1,2015-04-22,2026-06-01 00:00:00,dates_for_filing,22APR15,F,11.110198494182066
2A,2026-06-01,2026-06-01 00:00:00,dates_for_filing,C,C,0.0
2B,2013-10-01,2026-06-01 00:00:00,dates_for_filing,01OCT13,F,12.6652977412731
3,2006-08-08,2026-06-01 00:00:00,dates_for_filing,08AUG06,F,19.813826146475016
4,2008-03-22,2026-06-01 00:00:00,dates_for_filing,22MAR08,F,18.193018480492814
2A,2025-01-01,2026-06-01 00:00:00,final_action,01JAN25,F,1.4127310061601643
1,2015-04-22,2026-05-01 00:00:00,dates_for_filing,22APR15,F,11.025325119780971
4,2008-03-22,2026-05-01 00:00:00,dates_for_filing,22MAR08,F,18.10814510609172
3,2006-08-08,2026-05-01 00:00:00,dates_for_filing,08AUG06,F,19.72895277207392
2A,2026-05-01,2026-05-01 00:00:00,dates_for_filing,C,C,0.0
2B,2013-10-01,2026-05-01 00:00:00,dates_for_filing,01OCT13,F,12.580424366872005
4,2007-07-15,2026-05-01 00:00:00,final_action,15JUL07,F,18.795345653661876
3,2005-11-22,2026-05-01 00:00:00,final_action,22NOV05,F,20.438056125941138
1,2013-05-01,2026-05-01 00:00:00,final_action,01MAY13,F,12.999315537303216
2B,2013-04-08,2026-05-01 00:00:00,final_action,08APR13,F,13.062286105407255
2A,2024-08-01,2026-05-01 00:00:00,final_action,01AUG24,F,1.7467488021902806
4,2008-03-22,2026-04-01 00:00:00,dates_for_filing,22MAR08,F,18.026009582477755
3,2006-07-15,2026-04-01 00:00:00,dates_for_filing,15JUL06,F,19.71252566735113
2B,2013-10-01,2026-04-01 00:00:00,dates_for_filing,01OCT13,F,12.498288843258042
2A,2026-04-01,2026-04-01 00:00:00,dates_for_filing,C,C,0.0
1,2015-04-22,2026-04-01 00:00:00,dates_for_filing,22APR15,F,10.94318959616701
4,2007-02-01,2026-04-01 00:00:00,final_action,01FEB07,F,19.16221765913758
3,2005-07-01,2026-04-01 00:00:00,final_action,01JUL05,F,20.750171115674195
