EB_level,final_action_dates,visa_bulletin_date,raw_value,status,visa_wait_time
1,2026-06-01,2026-06-01 00:00:00,C,C,0.0
4,2022-07-15,2026-06-01 00:00:00,15JUL22,F,3.8795345653661877
2,2026-06-01,2026-06-01 00:00:00,C,C,0.0
3,2023-08-01,2026-06-01 00:00:00,01AUG23,F,2.833675564681725
2,2026-05-01,2026-05-01 00:00:00,C,C,0.0
3,2023-08-01,2026-05-01 00:00:00,01AUG23,F,2.74880219028063
4,2022-07-15,2026-05-01 00:00:00,15JUL22,F,3.7946611909650922
1,2026-05-01,2026-05-01 00:00:00,C,C,0.0
1,2026-04-01,2026-04-01 00:00:00,C,C,0.0
2,2026-04-01,2026-04-01 00:00:00,C,C,0.0
3,2023-08-01,2026-04-01 00:00:00,01AUG23,F,2.6666666666666665
4,2022-07-15,2026-04-01 00:00:00,15JUL22,F,3.7125256673511293
4,2021-07-15,2026-03-01 00:00:00,15JUL21,F,4.6269678302532515
3,2023-08-01,2026-03-01 00:00:00,01AUG23,F,2.5817932922655715
2,2024-10-15,2026-03-01 00:00:00,15OCT24,F,1.374401095140315
1,2026-03-01,2026-03-01 00:00:00,C,C,0.0
2,2024-04-01,2026-02-01 00:00:00,01APR24,F,1.83709787816564
3,2023-06-01,2026-02-01 00:00:00,01JUN23,F,2.6721423682409307
4,2021-01-01,2026-02-01 00:00:00,01JAN21,F,5.084188911704312
1,2026-02-01,2026-02-01 00:00:00,C,C,0.0
1,2026-01-01,2026-01-01 00:00:00,C,C,0.0
2,2024-04-01,2026-01-01 00:00:00,01APR24,F,1.7522245037645447
3,2023-04-22,2026-01-01 00:00:00,22APR23,F,2.6967830253251197
4,2021-01-01,2026-01-01 00:00:00,01JAN21,F,4.999315537303217
1,2025-12-01,2025-12-01 00:00:00,C,C,0.0
2,2024-02-01,2025-12-01 00:00:00,01FEB24,F,1.8316221765913758
3,2023-04-15,2025-12-01 00:00:00,15APR23,F,2.631074606433949
4,2020-09-01,2025-12-01 00:00:00,01SEP20,F,5.248459958932238
3,2023-04-01,2025-11-01 00:00:00,01APR23,F,2.5872689938398357
4,2020-07-01,2025-11-01 00:00:00,01JUL20,F,5.336071184120465
2,2023-12-01,2025-11-01 00:00:00,01DEC23,F,1.919233401779603
1,2025-11-01,2025-11-01 00:00:00,C,C,0.0
1,2025-10-01,2025-10-01 00:00:00,C,C,0.0
2,2023-12-01,2025-10-01 00:00:00,01DEC23,F,1.834360027378508
3,2023-04-01,2025-10-01 00:00:00,01APR23,F,2.5023956194387407
4,2020-07-01,2025-10-01 00:00:00,01JUL20,F,5.25119780971937
1,2025-09-01,2025-09-01 00:00:00,C,C,0.0
2,2023-09-01,2025-09-01 00:00:00,01SEP23,F,2.001368925393566
3,2023-02-08,2025-09-01 00:00:00,08FEB23,F,2.5626283367556466
4,,2025-09-01 00:00:00,U,U,
1,2025-08-01,2025-08-01 00:00:00,C,C,0.0
2,2023-09-01,2025-08-01 00:00:00,01SEP23,F,1.9164955509924708
3,2023-02-08,2025-08-01 00:00:00,08FEB23,F,2.4777549623545516
4,,2025-08-01 00:00:00,U,U,
4,,2025-07-01 00:00:00,U,U,
3,2023-02-08,2025-07-01 00:00:00,08FEB23,F,2.3928815879534566
2,2023-10-15,2025-07-01 00:00:00,15OCT23,F,1.7111567419575633
1,2025-07-01,2025-07-01 00:00:00,C,C,0.0
1,2025-06-01,2025-06-01 00:00:00,C,C,0.0
2,2023-10-15,2025-06-01 00:00:00,15OCT23,F,1.6290212183436004
3,2023-02-08,2025-06-01 00:00:00,08FEB23,F,2.3107460643394937
4,,2025-06-01 00:00:00,U,U,
1,2025-05-01,2025-05-01 00:00:00,C,C,0.0
2,2023-06-22,2025-05-01 00:00:00,22JUN23,F,1.8590006844626967
3,2023-01-01,2025-05-01 00:00:00,01JAN23,F,2.329911019849418
4,,2025-05-01 00:00:00,U,U,
1,2025-04-01,2025-04-01 00:00:00,C,C,0.0
2,2023-06-22,2025-04-01 00:00:00,22JUN23,F,1.7768651608487338
3,2023-01-01,2025-04-01 00:00:00,01JAN23,F,2.2477754962354553
4,,2025-04-01 00:00:00,U,U,
3,2022-12-01,2025-03-01 00:00:00,01DEC22,F,2.2477754962354553
4,2019-08-01,2025-03-01 00:00:00,01AUG19,F,5.582477754962355
