F_level,priority_date,visa_bulletin_date,table_type,raw_value,status,visa_wait_time,raw_category
1,2019-01-01,2026-07-01 00:00:00,dates_for_filing,01JAN19,F,7.496235455167693,F1
2A,2026-07-01,2026-07-01 00:00:00,dates_for_filing,C,C,0.0,F2A
2B,2018-06-08,2026-07-01 00:00:00,dates_for_filing,08JUN18,F,8.062970568104038,F2B
3,2012-12-08,2026-07-01 00:00:00,dates_for_filing,08DEC12,F,13.560574948665298,F3
4,2010-03-01,2026-07-01 00:00:00,dates_for_filing,01MAR10,F,16.334017796030118,F4
1,2018-02-01,2026-07-01 00:00:00,final_action,01FEB18,F,8.410677618069816,F1
2A,2025-01-01,2026-07-01 00:00:00,final_action,01JAN25,F,1.4948665297741273,F2A
2B,2017-11-22,2026-07-01 00:00:00,final_action,22NOV17,F,8.605065023956195,F2B
3,2012-04-15,2026-07-01 00:00:00,final_action,15APR12,F,14.209445585215606,F3
4,2009-01-01,2026-07-01 00:00:00,final_action,01JAN09,F,17.49486652977413,F4
1,2018-10-01,2026-06-01 00:00:00,dates_for_filing,01OCT18,F,7.665982203969883,F1
2A,2026-06-01,2026-06-01 00:00:00,dates_for_filing,C,C,0.0,F2A
2B,2018-03-22,2026-06-01 00:00:00,dates_for_filing,22MAR18,F,8.19438740588638,F2B
3,2012-12-08,2026-06-01 00:00:00,dates_for_filing,08DEC12,F,13.478439425051334,F3
4,2009-12-22,2026-06-01 00:00:00,dates_for_filing,22DEC09,F,16.44079397672827,F4
1,2017-09-01,2026-06-01 00:00:00,final_action,01SEP17,F,8.747433264887064,F1
2A,2025-01-01,2026-06-01 00:00:00,final_action,01JAN25,F,1.4127310061601643,F2A
2B,2017-09-22,2026-06-01 00:00:00,final_action,22SEP17,F,8.68993839835729,F2B
3,2012-02-15,2026-06-01 00:00:00,final_action,15FEB12,F,14.291581108829568,F3
4,2008-11-08,2026-06-01 00:00:00,final_action,08NOV08,F,17.560574948665298,F4
1,2018-10-01,2026-05-01 00:00:00,dates_for_filing,01OCT18,F,7.581108829568788,F1
2A,2026-05-01,2026-05-01 00:00:00,dates_for_filing,C,C,0.0,F2A
2B,2018-01-01,2026-05-01 00:00:00,dates_for_filing,01JAN18,F,8.328542094455852,F2B
3,2012-12-08,2026-05-01 00:00:00,dates_for_filing,08DEC12,F,13.39356605065024,F3
4,2009-09-01,2026-05-01 00:00:00,dates_for_filing,01SEP09,F,16.66255989048597,F4
1,2017-09-01,2026-05-01 00:00:00,final_action,01SEP17,F,8.66255989048597,F1
2A,2024-08-01,2026-05-01 00:00:00,final_action,01AUG24,F,1.7467488021902806,F2A
2B,2017-05-22,2026-05-01 00:00:00,final_action,22MAY17,F,8.941820670773442,F2B
3,2012-02-15,2026-05-01 00:00:00,final_action,15FEB12,F,14.206707734428473,F3
4,2008-09-15,2026-05-01 00:00:00,final_action,15SEP08,F,17.623545516769337,F4
1,2018-03-01,2026-04-01 00:00:00,dates_for_filing,01MAR18,F,8.084873374401095,F1
2A,2026-04-01,2026-04-01 00:00:00,dates_for_filing,C,C,0.0,F2A
2B,2017-08-08,2026-04-01 00:00:00,dates_for_filing,08AUG17,F,8.646132785763175,F2B
3,2012-11-22,2026-04-01 00:00:00,dates_for_filing,22NOV12,F,13.35523613963039,F3
4,2009-05-15,2026-04-01 00:00:00,dates_for_filing,15MAY09,F,16.878850102669404,F4
1,2017-05-01,2026-04-01 00:00:00,final_action,01MAY17,F,8.917180013689254,F1
2A,2024-02-01,2026-04-01 00:00:00,final_action,01FEB24,F,2.16290212183436,F2A
2B,2017-05-22,2026-04-01 00:00:00,final_action,22MAY17,F,8.85968514715948,F2B
3,2011-12-22,2026-04-01 00:00:00,final_action,22DEC11,F,14.275154004106776,F3
4,2008-06-08,2026-04-01 00:00:00,final_action,08JUN08,F,17.812457221081452,F4
1,2017-09-01,2026-03-01 00:00:00,dates_for_filing,01SEP17,F,8.49555099247091,F1
2A,2026-02-22,2026-03-01 00:00:00,dates_for_filing,22FEB26,F,0.019164955509924708,F2A
2B,2017-03-15,2026-03-01 00:00:00,dates_for_filing,15MAR17,F,8.960985626283367,F2B
3,2012-07-22,2026-03-01 00:00:00,dates_for_filing,22JUL12,F,13.607118412046544,F3
4,2009-03-01,2026-03-01 00:00:00,dates_for_filing,01MAR09,F,16.999315537303218,F4
1,2016-11-08,2026-03-01 00:00:00,final_action,08NOV16,F,9.308692676249144,F1
2A,2024-02-01,2026-03-01 00:00:00,final_action,01FEB24,F,2.078028747433265,F2A
2B,2016-12-01,2026-03-01 00:00:00,final_action,01DEC16,F,9.245722108145106,F2B
3,2011-09-08,2026-03-01 00:00:00,final_action,08SEP11,F,14.477754962354553,F3
4,2008-01-08,2026-03-01 00:00:00,final_action,08JAN08,F,18.143737166324435,F4
1,2017-09-01,2026-02-01 00:00:00,dates_for_filing,01SEP17,F,8.41889117043121,F1
2A,2026-01-22,2026-02-01 00:00:00,dates_for_filing,22JAN26,F,0.02737850787132101,F2A
2B,2017-03-15,2026-02-01 00:00:00,dates_for_filing,15MAR17,F,8.88432580424367,F2B
3,2012-07-22,2026-02-01 00:00:00,dates_for_filing,22JUL12,F,13.530458590006845,F3
4,2009-03-01,2026-02-01 00:00:00,dates_for_filing,01MAR09,F,16.922655715263517,F4
1,2016-11-08,2026-02-01 00:00:00,final_action,08NOV16,F,9.232032854209445,F1
2A,2024-02-01,2026-02-01 00:00:00,final_action,01FEB24,F,2.001368925393566,F2A
2B,2016-12-01,2026-02-01 00:00:00,final_action,01DEC16,F,9.169062286105408,F2B
3,2011-09-08,2026-02-01 00:00:00,final_action,08SEP11,F,14.401095140314853,F3
4,2008-01-08,2026-02-01 00:00:00,final_action,08JAN08,F,18.067077344284737,F4
1,2017-09-01,2026-01-01 00:00:00,dates_for_filing,01SEP17,F,8.334017796030116,F1
2A,2025-12-22,2026-01-01 00:00:00,dates_for_filing,22DEC25,F,0.02737850787132101,F2A
2B,2017-03-15,2026-01-01 00:00:00,dates_for_filing,15MAR17,F,8.799452429842573,F2B
3,2012-07-22,2026-01-01 00:00:00,dates_for_filing,22JUL12,F,13.44558521560575,F3
4,2009-03-01,2026-01-01 00:00:00,dates_for_filing,01MAR09,F,16.83778234086242,F4
1,2016-11-08,2026-01-01 00:00:00,final_action,08NOV16,F,9.14715947980835,F1
2A,2024-02-01,2026-01-01 00:00:00,final_action,01FEB24,F,1.9164955509924708,F2A
2B,2016-12-01,2026-01-01 00:00:00,final_action,01DEC16,F,9.084188911704311,F2B
3,2011-09-08,2026-01-01 00:00:00,final_action,08SEP11,F,14.316221765913758,F3
4,2008-01-08,2026-01-01 00:00:00,final_action,08JAN08,F,17.982203969883642,F4
1,2017-09-01,2025-12-01 00:00:00,dates_for_filing,01SEP17,F,8.24914442162902,F1
2A,2025-11-22,2025-12-01 00:00:00,dates_for_filing,22NOV25,F,0.024640657084188913,F2A
2B,2017-03-08,2025-12-01 00:00:00,dates_for_filing,08MAR17,F,8.733744010951403,F2B
3,2012-07-22,2025-12-01 00:00:00,dates_for_filing,22JUL12,F,13.360711841204655,F3
4,2009-03-01,2025-12-01 00:00:00,dates_for_filing,01MAR09,F,16.752908966461327,F4
1,2016-11-08,2025-12-01 00:00:00,final_action,08NOV16,F,9.062286105407255,F1
2A,2024-02-01,2025-12-01 00:00:00,final_action,01FEB24,F,1.8316221765913758,F2A
2B,2016-12-01,2025-12-01 00:00:00,final_action,01DEC16,F,8.999315537303216,F2B
3,2011-09-08,2025-12-01 00:00:00,final_action,08SEP11,F,14.231348391512663,F3
4,2008-01-08,2025-12-01 00:00:00,final_action,08JAN08,F,17.897330595482547,F4
1,2017-09-01,2025-11-01 00:00:00,dates_for_filing,01SEP17,F,8.167008898015059,F1
2A,2025-10-22,2025-11-01 00:00:00,dates_for_filing,22OCT25,F,0.02737850787132101,F2A
2B,2017-03-08,2025-11-01 00:00:00,dates_for_filing,08MAR17,F,8.65160848733744,F2B
3,2012-07-22,2025-11-01 00:00:00,dates_for_filing,22JUL12,F,13.27857631759069,F3
4,2009-03-01,2025-11-01 00:00:00,dates_for_filing,01MAR09,F,16.670773442847366,F4
1,2016-11-08,2025-11-01 00:00:00,final_action,08NOV16,F,8.980150581793293,F1
2A,2024-02-01,2025-11-01 00:00:00,final_action,01FEB24,F,1.7494866529774127,F2A
2B,2016-12-01,2025-11-01 00:00:00,final_action,01DEC16,F,8.917180013689254,F2B
3,2011-09-08,2025-11-01 00:00:00,final_action,08SEP11,F,14.149212867898699,F3
4,2008-01-08,2025-11-01 00:00:00,final_action,08JAN08,F,17.815195071868583,F4
1,2017-09-01,2025-10-01 00:00:00,dates_for_filing,01SEP17,F,8.082135523613964,F1
2A,2025-09-22,2025-10-01 00:00:00,dates_for_filing,22SEP25,F,0.024640657084188913,F2A
2B,2017-01-01,2025-10-01 00:00:00,dates_for_filing,01JAN17,F,8.747433264887064,F2B
3,2012-07-22,2025-10-01 00:00:00,dates_for_filing,22JUL12,F,13.193702943189596,F3
4,2009-03-01,2025-10-01 00:00:00,dates_for_filing,01MAR09,F,16.58590006844627,F4
1,2016-11-08,2025-10-01 00:00:00,final_action,08NOV16,F,8.895277207392198,F1
2A,2024-02-01,2025-10-01 00:00:00,final_action,01FEB24,F,1.6646132785763177,F2A
2B,2016-11-22,2025-10-01 00:00:00,final_action,22NOV16,F,8.856947296372347,F2B
3,2011-09-08,2025-10-01 00:00:00,final_action,08SEP11,F,14.064339493497604,F3
4,2008-01-08,2025-10-01 00:00:00,final_action,08JAN08,F,17.730321697467488,F4
1,2017-09-01,2025-09-01 00:00:00,dates_for_filing,01SEP17,F,8.0,F1
2A,2025-06-01,2025-09-01 00:00:00,dates_for_filing,01JUN25,F,0.2518822724161533,F2A
2B,2017-01-01,2025-09-01 00:00:00,dates_for_filing,01JAN17,F,8.6652977412731,F2B
3,2012-07-22,2025-09-01 00:00:00,dates_for_filing,22JUL12,F,13.111567419575634,F3
4,2009-01-01,2025-09-01 00:00:00,dates_for_filing,01JAN09,F,16.6652977412731,F4
1,2016-07-15,2025-09-01 00:00:00,final_action,15JUL16,F,9.130732375085557,F1
2A,2022-09-01,2025-09-01 00:00:00,final_action,01SEP22,F,3.0006844626967832,F2A
2B,2016-10-15,2025-09-01 00:00:00,final_action,15OCT16,F,8.878850102669405,F2B
3,2011-08-01,2025-09-01 00:00:00,final_action,01AUG11,F,14.08624229979466,F3
4,2008-01-01,2025-09-01 00:00:00,final_action,01JAN08,F,17.66735112936345,F4
1,2017-09-01,2025-08-01 00:00:00,dates_for_filing,01SEP17,F,7.915126625598905,F1
2A,2025-04-01,2025-08-01 00:00:00,dates_for_filing,01APR25,F,0.33401779603011633,F2A
2B,2017-01-01,2025-08-01 00:00:00,dates_for_filing,01JAN17,F,8.580424366872005,F2B
3,2012-07-22,2025-08-01 00:00:00,dates_for_filing,22JUL12,F,13.026694045174539,F3
4,2009-01-01,2025-08-01 00:00:00,dates_for_filing,01JAN09,F,16.580424366872005,F4
1,2016-07-15,2025-08-01 00:00:00,final_action,15JUL16,F,9.045859000684462,F1
2A,2022-09-01,2025-08-01 00:00:00,final_action,01SEP22,F,2.915811088295688,F2A
2B,2016-10-15,2025-08-01 00:00:00,final_action,15OCT16,F,8.793976728268309,F2B
3,2011-08-01,2025-08-01 00:00:00,final_action,01AUG11,F,14.001368925393566,F3
4,2008-01-01,2025-08-01 00:00:00,final_action,01JAN08,F,17.582477754962355,F4
1,2017-09-01,2025-07-01 00:00:00,dates_for_filing,01SEP17,F,7.83025325119781,F1
2A,2025-03-01,2025-07-01 00:00:00,dates_for_filing,01MAR25,F,0.33401779603011633,F2A
2B,2017-01-01,2025-07-01 00:00:00,dates_for_filing,01JAN17,F,8.49555099247091,F2B
3,2012-07-22,2025-07-01 00:00:00,dates_for_filing,22JUL12,F,12.941820670773442,F3
4,2008-09-08,2025-07-01 00:00:00,dates_for_filing,08SEP08,F,16.810403832991103,F4
1,2016-07-15,2025-07-01 00:00:00,final_action,15JUL16,F,8.960985626283367,F1
2A,2022-09-01,2025-07-01 00:00:00,final_action,01SEP22,F,2.830937713894593,F2A
2B,2016-10-15,2025-07-01 00:00:00,final_action,15OCT16,F,8.709103353867214,F2B
3,2011-08-01,2025-07-01 00:00:00,final_action,01AUG11,F,13.91649555099247,F3
4,2008-01-01,2025-07-01 00:00:00,final_action,01JAN08,F,17.49760438056126,F4
1,2017-09-01,2025-06-01 00:00:00,dates_for_filing,01SEP17,F,7.748117727583847,F1
2A,2025-02-01,2025-06-01 00:00:00,dates_for_filing,01FEB25,F,0.32854209445585214,F2A
2B,2017-01-01,2025-06-01 00:00:00,dates_for_filing,01JAN17,F,8.413415468856947,F2B
3,2012-07-22,2025-06-01 00:00:00,dates_for_filing,22JUL12,F,12.85968514715948,F3
4,2008-06-01,2025-06-01 00:00:00,dates_for_filing,01JUN08,F,16.999315537303218,F4
1,2016-06-08,2025-06-01 00:00:00,final_action,08JUN16,F,8.980150581793293,F1
2A,2022-01-01,2025-06-01 00:00:00,final_action,01JAN22,F,3.4140999315537304,F2A
2B,2016-09-22,2025-06-01 00:00:00,final_action,22SEP16,F,8.68993839835729,F2B
3,2011-06-22,2025-06-01 00:00:00,final_action,22JUN11,F,13.943874058863791,F3
4,2008-01-01,2025-06-01 00:00:00,final_action,01JAN08,F,17.415468856947296,F4
1,2017-09-01,2025-05-01 00:00:00,dates_for_filing,01SEP17,F,7.663244353182751,F1
2A,2025-02-01,2025-05-01 00:00:00,dates_for_filing,01FEB25,F,0.243668720054757,F2A
2B,2017-01-01,2025-05-01 00:00:00,dates_for_filing,01JAN17,F,8.328542094455852,F2B
3,2012-07-22,2025-05-01 00:00:00,dates_for_filing,22JUL12,F,12.774811772758385,F3
4,2008-06-01,2025-05-01 00:00:00,dates_for_filing,01JUN08,F,16.914442162902123,F4
1,2016-03-15,2025-05-01 00:00:00,final_action,15MAR16,F,9.127994524298426,F1
2A,2022-01-01,2025-05-01 00:00:00,final_action,01JAN22,F,3.3292265571526354,F2A
2B,2016-07-22,2025-05-01 00:00:00,final_action,22JUL16,F,8.774811772758385,F2B
3,2011-04-01,2025-05-01 00:00:00,final_action,01APR11,F,14.08350444900753,F3
4,2008-01-01,2025-05-01 00:00:00,final_action,01JAN08,F,17.3305954825462,F4
1,2017-09-01,2025-04-01 00:00:00,dates_for_filing,01SEP17,F,7.581108829568788,F1
2A,2024-10-15,2025-04-01 00:00:00,dates_for_filing,15OCT24,F,0.459958932238193,F2A
2B,2017-01-01,2025-04-01 00:00:00,dates_for_filing,01JAN17,F,8.24640657084189,F2B
3,2012-07-22,2025-04-01 00:00:00,dates_for_filing,22JUL12,F,12.692676249144421,F3
4,2008-04-01,2025-04-01 00:00:00,dates_for_filing,01APR08,F,16.999315537303218,F4
1,2016-03-15,2025-04-01 00:00:00,final_action,15MAR16,F,9.045859000684462,F1
2A,2022-01-01,2025-04-01 00:00:00,final_action,01JAN22,F,3.247091033538672,F2A
2B,2016-07-22,2025-04-01 00:00:00,final_action,22JUL16,F,8.692676249144421,F2B
3,2011-04-01,2025-04-01 00:00:00,final_action,01APR11,F,14.001368925393566,F3
4,2007-08-01,2025-04-01 00:00:00,final_action,01AUG07,F,17.66735112936345,F4
1,2017-09-01,2025-03-01 00:00:00,dates_for_filing,01SEP17,F,7.496235455167693,F1
