EB_level,priority_date,visa_bulletin_date,table_type,raw_value,status,visa_wait_time,raw_category
EB1,2023-12-01,2026-06-01 00:00:00,dates_for_filing,01DEC23,F,2.4996577686516086,1st
EB2,2022-01-01,2026-06-01 00:00:00,dates_for_filing,01JAN22,F,4.413415468856948,2nd
EB3,2022-01-01,2026-06-01 00:00:00,dates_for_filing,01JAN22,F,4.413415468856948,3rd
EB3_OW,2019-10-01,2026-06-01 00:00:00,dates_for_filing,01OCT19,F,6.666666666666667,Other Workers
EB4,2023-01-01,2026-06-01 00:00:00,dates_for_filing,01JAN23,F,3.4140999315537304,4th
EB4_RW,2023-01-01,2026-06-01 00:00:00,dates_for_filing,01JAN23,F,3.4140999315537304,Certain Religious Workers
EB5_HIGHUNEMP,2026-06-01,2026-06-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(High Unemployment: NH, RH - 10%)"
EB5_INFRA,2026-06-01,2026-06-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Infrastructure: RI - 2%)"
EB5_RURAL,2026-06-01,2026-06-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Rural: NR, RR - 20%)"
EB5_UNRESERVED,2017-03-01,2026-06-01 00:00:00,dates_for_filing,01MAR17,F,9.25119780971937,"5th Unreserved
(including C5, T5, I5, R5)"
EB1,2023-04-01,2026-06-01 00:00:00,final_action,01APR23,F,3.167693360711841,1st
EB2,2021-09-01,2026-06-01 00:00:00,final_action,01SEP21,F,4.747433264887063,2nd
EB3,2021-08-01,2026-06-01 00:00:00,final_action,01AUG21,F,4.832306639288158,3rd
EB3_OW,2019-04-01,2026-06-01 00:00:00,final_action,01APR19,F,7.167693360711842,Other Workers
EB4,2022-07-15,2026-06-01 00:00:00,final_action,15JUL22,F,3.8795345653661877,4th
EB4_RW,2022-07-15,2026-06-01 00:00:00,final_action,15JUL22,F,3.8795345653661877,Certain Religious Workers
