region,rank_cutoff,status,raw_value,exceptions,visa_bulletin_date
africa,55000,F,"55,000","Except: Algeria 40,000 Egypt 31,000",2026-07-01 00:00:00
asia,35000,F,"35,000","Except: Nepal 13,000",2026-07-01 00:00:00
europe,23000,F,"23,000",,2026-07-01 00:00:00
north_america,50,F,50,,2026-07-01 00:00:00
oceania,1700,F,"1,700",,2026-07-01 00:00:00
south_america_caribbean,3300,F,"3,300",,2026-07-01 00:00:00
africa,55000,F,"55,000","Except: Algeria 37,000 Egypt 30,000",2026-06-01 00:00:00
asia,35000,F,"35,000","Except: Nepal 11,000",2026-06-01 00:00:00
europe,20000,F,"20,000",,2026-06-01 00:00:00
north_america,50,F,50,,2026-06-01 00:00:00
oceania,1500,F,"1,500",,2026-06-01 00:00:00
south_america_caribbean,3000,F,"3,000",,2026-06-01 00:00:00
africa,55000,F,"55,000","Except: Algeria 37,000 Egypt 30,000",2026-05-01 00:00:00
asia,35000,F,"35,000","Except: Nepal 10,000",2026-05-01 00:00:00
europe,20000,F,"20,000",,2026-05-01 00:00:00
north_america,50,F,50,,2026-05-01 00:00:00
oceania,1500,F,"1,500",,2026-05-01 00:00:00
south_america_caribbean,3000,F,"3,000",,2026-05-01 00:00:00
africa,55000,F,"55,000","Except: Algeria 37,000 Egypt 30,000",2026-04-01 00:00:00
asia,35000,F,"35,000","Except: Nepal 10,000",2026-04-01 00:00:00
europe,20000,F,"20,000",,2026-04-01 00:00:00
north_america,50,F,50,,2026-04-01 00:00:00
oceania,1500,F,"1,500",,2026-04-01 00:00:00
south_america_caribbean,3000,F,"3,000",,2026-04-01 00:00:00
africa,45000,F,"45,000","Except: Algeria 37,000 Egypt 22,250",2026-03-01 00:00:00
asia,30000,F,"30,000","Except: Nepal 6,500",2026-03-01 00:00:00
europe,11000,F,"11,000",,2026-03-01 00:00:00
north_america,30,F,30,,2026-03-01 00:00:00
oceania,1200,F,"1,200",,2026-03-01 00:00:00
south_america_caribbean,2100,F,"2,100",,2026-03-01 00:00:00
africa,45000,F,"45,000","Except: Algeria 37,000 Egypt 21,000",2026-02-01 00:00:00
asia,30000,F,"30,000","Except: Nepal 6,500",2026-02-01 00:00:00
europe,11000,F,"11,000",,2026-02-01 00:00:00
north_america,25,F,25,,2026-02-01 00:00:00
oceania,1175,F,"1,175",,2026-02-01 00:00:00
south_america_caribbean,2000,F,"2,000",,2026-02-01 00:00:00
africa,35000,F,"35,000","Except: Algeria 20,000 Egypt 16,000",2026-01-01 00:00:00
asia,15000,F,"15,000","Except: Nepal 6,000",2026-01-01 00:00:00
europe,8500,F,"8,500",,2026-01-01 00:00:00
north_america,20,F,20,,2026-01-01 00:00:00
oceania,1100,F,"1,100",,2026-01-01 00:00:00
south_america_caribbean,1850,F,"1,850",,2026-01-01 00:00:00
africa,17500,F,"17,500","Except: Algeria 17,250 Egypt 16,000",2025-12-01 00:00:00
asia,10000,F,"10,000","Except: Nepal 6,000",2025-12-01 00:00:00
europe,7750,F,"7,750",,2025-12-01 00:00:00
north_america,20,F,20,,2025-12-01 00:00:00
oceania,1100,F,"1,100",,2025-12-01 00:00:00
south_america_caribbean,1850,F,"1,850",,2025-12-01 00:00:00
africa,17500,F,"17,500","Except: Algeria 14,500 Egypt 16,000",2025-11-01 00:00:00
asia,10000,F,"10,000","Except: Nepal 6,000",2025-11-01 00:00:00
europe,7750,F,"7,750",,2025-11-01 00:00:00
north_america,20,F,20,,2025-11-01 00:00:00
oceania,1100,F,"1,100",,2025-11-01 00:00:00
south_america_caribbean,1850,F,"1,850",,2025-11-01 00:00:00
africa,17500,F,"17,500","Except: Algeria 14,500 Egypt 16,000",2025-10-01 00:00:00
asia,10000,F,"10,000","Except: Nepal 6,000",2025-10-01 00:00:00
europe,7750,F,"7,750",,2025-10-01 00:00:00
north_america,20,F,20,,2025-10-01 00:00:00
oceania,1100,F,"1,100",,2025-10-01 00:00:00
south_america_caribbean,1850,F,"1,850",,2025-10-01 00:00:00
africa,58500.0,F,"58,500","Except: Algeria 54,500 Egypt 52,000 Morocco 40,500",2025-09-01 00:00:00
asia,14500.0,F,"14,500","Except: Iran 11,000 Nepal 14,450",2025-09-01 00:00:00
europe,23000.0,F,"23,000","Except: Russia 22,950 Uzbekistan 15,000",2025-09-01 00:00:00
north_america,,C,Current,,2025-09-01 00:00:00
oceania,1775.0,F,"1,775",,2025-09-01 00:00:00
south_america_caribbean,2825.0,F,"2,825",,2025-09-01 00:00:00
africa,50000.0,F,"50,000","Except: Algeria 49,950 Egypt 43,250 Morocco 40,500",2025-08-01 00:00:00
asia,11000.0,F,"11,000","Except: Iran 10,650 Nepal 10,650",2025-08-01 00:00:00
europe,22000.0,F,"22,000","Except: Russia 21,950 Uzbekistan 13,000",2025-08-01 00:00:00
north_america,,C,Current,,2025-08-01 00:00:00
oceania,1700.0,F,"1,700",,2025-08-01 00:00:00
south_america_caribbean,2600.0,F,"2,600",,2025-08-01 00:00:00
africa,45000,F,"45,000","Except: Algeria 44,950 Egypt 40,000 Morocco 34,500",2025-07-01 00:00:00
asia,9000,F,"9,000","Except: Iran 8,950 Nepal 8,950",2025-07-01 00:00:00
europe,19000,F,"19,000","Except: Russia 18,950 Uzbekistan 12,000",2025-07-01 00:00:00
north_america,20,F,20,,2025-07-01 00:00:00
oceania,1650,F,"1,650",,2025-07-01 00:00:00
south_america_caribbean,2450,F,"2,450",,2025-07-01 00:00:00
africa,42500,F,"42,500","Except: Algeria 42,250 Egypt 36,250 Morocco 30,000",2025-06-01 00:00:00
asia,8250,F,"8,250","Except: Iran 8,000 Nepal 8,000",2025-06-01 00:00:00
europe,17500,F,"17,500","Except: Russia 17,450 Uzbekistan 10,250",2025-06-01 00:00:00
north_america,20,F,20,,2025-06-01 00:00:00
oceania,1550,F,"1,550",,2025-06-01 00:00:00
south_america_caribbean,2300,F,"2,300",,2025-06-01 00:00:00
africa,35000,F,"35,000","Except: Algeria 34,500 Egypt 32,500 Morocco 30,000",2025-05-01 00:00:00
asia,6500,F,"6,500","Except: Iran 6,450 Nepal 6,450",2025-05-01 00:00:00
europe,16000,F,"16,000","Except: Russia 15,950 Uzbekistan 9,000",2025-05-01 00:00:00
north_america,20,F,20,,2025-05-01 00:00:00
oceania,1550,F,"1,550",,2025-05-01 00:00:00
south_america_caribbean,2250,F,"2,250",,2025-05-01 00:00:00
africa,30000,F,"30,000","Except: Algeria 29,950 Egypt 27,950 Morocco 27,950",2025-04-01 00:00:00
asia,6000,F,"6,000","Except: Iran 5,950 Nepal 5,950",2025-04-01 00:00:00
europe,16000,F,"16,000","Except: Russia 15,950 Uzbekistan 7,750",2025-04-01 00:00:00
north_america,20,F,20,,2025-04-01 00:00:00
oceania,1500,F,"1,500",,2025-04-01 00:00:00
south_america_caribbean,2200,F,"2,200",,2025-04-01 00:00:00
africa,25000,F,"25,000","Except: Algeria 24,500 Egypt 23,000 Morocco 22,000",2025-03-01 00:00:00
asia,6000,F,"6,000","Except: Iran 5,400 Nepal 4,500",2025-03-01 00:00:00
europe,13000,F,"13,000","Except: Russia 12,950 Uzbekistan 7,750",2025-03-01 00:00:00
north_america,20,F,20,,2025-03-01 00:00:00
oceania,1125,F,"1,125",,2025-03-01 00:00:00
south_america_caribbean,1800,F,"1,800",,2025-03-01 00:00:00
africa,22500,F,"22,500","Except: Algeria 22,000 Egypt 22,000 Morocco 22,000",2025-02-01 00:00:00
