F_level,priority_date,visa_bulletin_date,table_type,raw_value,status,visa_wait_time,raw_category
1,2008-10-01,2026-07-01 00:00:00,dates_for_filing,01OCT08,F,17.746748802190282,F1
2A,2026-07-01,2026-07-01 00:00:00,dates_for_filing,C,C,0.0,F2A
2B,2010-05-15,2026-07-01 00:00:00,dates_for_filing,15MAY10,F,16.128678986995208,F2B
3,2001-07-15,2026-07-01 00:00:00,dates_for_filing,15JUL01,F,24.960985626283367,F3
4,2001-04-30,2026-07-01 00:00:00,dates_for_filing,30APR01,F,25.169062286105408,F4
1,2007-11-08,2026-07-01 00:00:00,final_action,08NOV07,F,18.64476386036961,F1
2A,2024-01-01,2026-07-01 00:00:00,final_action,01JAN24,F,2.4969199178644765,F2A
2B,2009-02-15,2026-07-01 00:00:00,final_action,15FEB09,F,17.371663244353183,F2B
3,2001-06-01,2026-07-01 00:00:00,final_action,01JUN01,F,25.08145106091718,F3
4,2001-04-08,2026-07-01 00:00:00,final_action,08APR01,F,25.229295003422312,F4
1,2008-10-01,2026-06-01 00:00:00,dates_for_filing,01OCT08,F,17.66461327857632,F1
2A,2026-06-01,2026-06-01 00:00:00,dates_for_filing,C,C,0.0,F2A
2B,2010-05-15,2026-06-01 00:00:00,dates_for_filing,15MAY10,F,16.046543463381244,F2B
3,2001-07-15,2026-06-01 00:00:00,dates_for_filing,15JUL01,F,24.878850102669404,F3
4,2001-04-30,2026-06-01 00:00:00,dates_for_filing,30APR01,F,25.086926762491444,F4
1,2007-11-08,2026-06-01 00:00:00,final_action,08NOV07,F,18.562628336755647,F1
2A,2024-01-01,2026-06-01 00:00:00,final_action,01JAN24,F,2.414784394250513,F2A
2B,2009-02-15,2026-06-01 00:00:00,final_action,15FEB09,F,17.28952772073922,F2B
3,2001-05-01,2026-06-01 00:00:00,final_action,01MAY01,F,25.084188911704313,F3
4,2001-04-08,2026-06-01 00:00:00,final_action,08APR01,F,25.14715947980835,F4
1,2008-10-01,2026-05-01 00:00:00,dates_for_filing,01OCT08,F,17.579739904175224,F1
2A,2026-05-01,2026-05-01 00:00:00,dates_for_filing,C,C,0.0,F2A
2B,2010-05-15,2026-05-01 00:00:00,dates_for_filing,15MAY10,F,15.961670088980151,F2B
3,2001-07-15,2026-05-01 00:00:00,dates_for_filing,15JUL01,F,24.79397672826831,F3
4,2001-04-30,2026-05-01 00:00:00,dates_for_filing,30APR01,F,25.00205338809035,F4
1,2007-08-15,2026-05-01 00:00:00,final_action,15AUG07,F,18.71047227926078,F1
2A,2023-08-01,2026-05-01 00:00:00,final_action,01AUG23,F,2.74880219028063,F2A
2B,2009-02-15,2026-05-01 00:00:00,final_action,15FEB09,F,17.204654346338124,F2B
3,2001-05-01,2026-05-01 00:00:00,final_action,01MAY01,F,24.999315537303218,F3
