F_level,final_action_dates,visa_bulletin_date,table_type,raw_value,status,visa_wait_time
1,2017-09-01,2026-06-01,final_action,01SEP17,F,8.747433264887064
2B,2017-09-22,2026-06-01,final_action,22SEP17,F,8.68993839835729
3,2012-02-15,2026-06-01,final_action,15FEB12,F,14.291581108829568
4,2008-11-08,2026-06-01,final_action,08NOV08,F,17.560574948665298
1,2018-10-01,2026-06-01,dates_for_filing,01OCT18,F,7.665982203969883
2A,2026-06-01,2026-06-01,dates_for_filing,C,C,0.0
2B,2018-03-22,2026-06-01,dates_for_filing,22MAR18,F,8.19438740588638
3,2012-12-08,2026-06-01,dates_for_filing,08DEC12,F,13.478439425051334
4,2009-12-22,2026-06-01,dates_for_filing,22DEC09,F,16.44079397672827
2A,2025-01-01,2026-06-01,final_action,01JAN25,F,1.4127310061601643
1,2018-10-01,2026-05-01,dates_for_filing,01OCT18,F,7.581108829568788
4,2009-09-01,2026-05-01,dates_for_filing,01SEP09,F,16.66255989048597
3,2012-12-08,2026-05-01,dates_for_filing,08DEC12,F,13.39356605065024
2A,2026-05-01,2026-05-01,dates_for_filing,C,C,0.0
2B,2018-01-01,2026-05-01,dates_for_filing,01JAN18,F,8.328542094455852
4,2008-09-15,2026-05-01,final_action,15SEP08,F,17.623545516769337
1,2017-09-01,2026-05-01,final_action,01SEP17,F,8.66255989048597
2B,2017-05-22,2026-05-01,final_action,22MAY17,F,8.941820670773442
2A,2024-08-01,2026-05-01,final_action,01AUG24,F,1.7467488021902806
3,2012-02-15,2026-05-01,final_action,15FEB12,F,14.206707734428473
1,2018-03-01,2026-04-01,dates_for_filing,01MAR18,F,8.084873374401095
4,2009-05-15,2026-04-01,dates_for_filing,15MAY09,F,16.878850102669404
3,2012-11-22,2026-04-01,dates_for_filing,22NOV12,F,13.35523613963039
2B,2017-08-08,2026-04-01,dates_for_filing,08AUG17,F,8.646132785763175
2A,2026-04-01,2026-04-01,dates_for_filing,C,C,0.0
4,2008-06-08,2026-04-01,final_action,08JUN08,F,17.812457221081452
3,2011-12-22,2026-04-01,final_action,22DEC11,F,14.275154004106776
2B,2017-05-22,2026-04-01,final_action,22MAY17,F,8.85968514715948
2A,2024-02-01,2026-04-01,final_action,01FEB24,F,2.16290212183436
1,2017-05-01,2026-04-01,final_action,01MAY17,F,8.917180013689254
1,2017-09-01,2026-03-01,dates_for_filing,01SEP17,F,8.49555099247091
4,2009-03-01,2026-03-01,dates_for_filing,01MAR09,F,16.999315537303218
3,2012-07-22,2026-03-01,dates_for_filing,22JUL12,F,13.607118412046544
2A,2026-02-22,2026-03-01,dates_for_filing,22FEB26,F,0.019164955509924708
2B,2017-03-15,2026-03-01,dates_for_filing,15MAR17,F,8.960985626283367
4,2008-01-08,2026-03-01,final_action,08JAN08,F,18.143737166324435
2B,2016-12-01,2026-03-01,final_action,01DEC16,F,9.245722108145106
2A,2024-02-01,2026-03-01,final_action,01FEB24,F,2.078028747433265
3,2011-09-08,2026-03-01,final_action,08SEP11,F,14.477754962354553
1,2016-11-08,2026-03-01,final_action,08NOV16,F,9.308692676249144
1,2016-11-08,2026-02-01,final_action,08NOV16,F,9.232032854209445
2A,2024-02-01,2026-02-01,final_action,01FEB24,F,2.001368925393566
2B,2016-12-01,2026-02-01,final_action,01DEC16,F,9.169062286105408
3,2011-09-08,2026-02-01,final_action,08SEP11,F,14.401095140314853
4,2008-01-08,2026-02-01,final_action,08JAN08,F,18.067077344284737
2A,2026-01-22,2026-02-01,dates_for_filing,22JAN26,F,0.02737850787132101
2B,2017-03-15,2026-02-01,dates_for_filing,15MAR17,F,8.88432580424367
3,2012-07-22,2026-02-01,dates_for_filing,22JUL12,F,13.530458590006845
4,2009-03-01,2026-02-01,dates_for_filing,01MAR09,F,16.922655715263517
1,2017-09-01,2026-02-01,dates_for_filing,01SEP17,F,8.41889117043121
1,2017-09-01,2026-01-01,dates_for_filing,01SEP17,F,8.334017796030116
4,2009-03-01,2026-01-01,dates_for_filing,01MAR09,F,16.83778234086242
3,2012-07-22,2026-01-01,dates_for_filing,22JUL12,F,13.44558521560575
2B,2017-03-15,2026-01-01,dates_for_filing,15MAR17,F,8.799452429842573
2A,2025-12-22,2026-01-01,dates_for_filing,22DEC25,F,0.02737850787132101
4,2008-01-08,2026-01-01,final_action,08JAN08,F,17.982203969883642
3,2011-09-08,2026-01-01,final_action,08SEP11,F,14.316221765913758
2B,2016-12-01,2026-01-01,final_action,01DEC16,F,9.084188911704311
2A,2024-02-01,2026-01-01,final_action,01FEB24,F,1.9164955509924708
1,2016-11-08,2026-01-01,final_action,08NOV16,F,9.14715947980835
4,2009-03-01,2025-12-01,dates_for_filing,01MAR09,F,16.752908966461327
3,2012-07-22,2025-12-01,dates_for_filing,22JUL12,F,13.360711841204655
2B,2017-03-08,2025-12-01,dates_for_filing,08MAR17,F,8.733744010951403
2A,2025-11-22,2025-12-01,dates_for_filing,22NOV25,F,0.024640657084188913
1,2017-09-01,2025-12-01,dates_for_filing,01SEP17,F,8.24914442162902
4,2008-01-08,2025-12-01,final_action,08JAN08,F,17.897330595482547
3,2011-09-08,2025-12-01,final_action,08SEP11,F,14.231348391512663
2B,2016-12-01,2025-12-01,final_action,01DEC16,F,8.999315537303216
2A,2024-02-01,2025-12-01,final_action,01FEB24,F,1.8316221765913758
1,2016-11-08,2025-12-01,final_action,08NOV16,F,9.062286105407255
1,2017-09-01,2025-11-01,dates_for_filing,01SEP17,F,8.167008898015059
4,2009-03-01,2025-11-01,dates_for_filing,01MAR09,F,16.670773442847366
3,2012-07-22,2025-11-01,dates_for_filing,22JUL12,F,13.27857631759069
2A,2025-10-22,2025-11-01,dates_for_filing,22OCT25,F,0.02737850787132101
2B,2017-03-08,2025-11-01,dates_for_filing,08MAR17,F,8.65160848733744
4,2008-01-08,2025-11-01,final_action,08JAN08,F,17.815195071868583
2B,2016-12-01,2025-11-01,final_action,01DEC16,F,8.917180013689254
2A,2024-02-01,2025-11-01,final_action,01FEB24,F,1.7494866529774127
3,2011-09-08,2025-11-01,final_action,08SEP11,F,14.149212867898699
1,2016-11-08,2025-11-01,final_action,08NOV16,F,8.980150581793293
1,2016-11-08,2025-10-01,final_action,08NOV16,F,8.895277207392198
2A,2024-02-01,2025-10-01,final_action,01FEB24,F,1.6646132785763177
2B,2016-11-22,2025-10-01,final_action,22NOV16,F,8.856947296372347
3,2011-09-08,2025-10-01,final_action,08SEP11,F,14.064339493497604
4,2008-01-08,2025-10-01,final_action,08JAN08,F,17.730321697467488
2A,2025-09-22,2025-10-01,dates_for_filing,22SEP25,F,0.024640657084188913
2B,2017-01-01,2025-10-01,dates_for_filing,01JAN17,F,8.747433264887064
3,2012-07-22,2025-10-01,dates_for_filing,22JUL12,F,13.193702943189596
4,2009-03-01,2025-10-01,dates_for_filing,01MAR09,F,16.58590006844627
1,2017-09-01,2025-10-01,dates_for_filing,01SEP17,F,8.082135523613964
1,2017-09-01,2025-09-01,dates_for_filing,01SEP17,F,8.0
4,2009-01-01,2025-09-01,dates_for_filing,01JAN09,F,16.6652977412731
3,2012-07-22,2025-09-01,dates_for_filing,22JUL12,F,13.111567419575634
2B,2017-01-01,2025-09-01,dates_for_filing,01JAN17,F,8.6652977412731
2A,2025-06-01,2025-09-01,dates_for_filing,01JUN25,F,0.2518822724161533
4,2008-01-01,2025-09-01,final_action,01JAN08,F,17.66735112936345
3,2011-08-01,2025-09-01,final_action,01AUG11,F,14.08624229979466
2B,2016-10-15,2025-09-01,final_action,15OCT16,F,8.878850102669405
2A,2022-09-01,2025-09-01,final_action,01SEP22,F,3.0006844626967832
1,2016-07-15,2025-09-01,final_action,15JUL16,F,9.130732375085557
4,2009-01-01,2025-08-01,dates_for_filing,01JAN09,F,16.580424366872005
3,2012-07-22,2025-08-01,dates_for_filing,22JUL12,F,13.026694045174539
2B,2017-01-01,2025-08-01,dates_for_filing,01JAN17,F,8.580424366872005
2A,2025-04-01,2025-08-01,dates_for_filing,01APR25,F,0.33401779603011633
1,2017-09-01,2025-08-01,dates_for_filing,01SEP17,F,7.915126625598905
4,2008-01-01,2025-08-01,final_action,01JAN08,F,17.582477754962355
