country,category,table,order,hold_mase
all_chargeability,F1,FAD,"(2, 1, 3)",0.1513
all_chargeability,F2A,FAD,"(0, 1, 3)",0.1119
all_chargeability,F2B,FAD,"(1, 0, 3)",0.0665
all_chargeability,F3,FAD,"(1, 1, 3)",0.1572
all_chargeability,F4,FAD,"(1, 1, 3)",0.0987
china,F1,FAD,"(2, 1, 3)",0.1498
china,F2A,FAD,"(0, 1, 3)",0.1117
china,F2B,FAD,"(1, 0, 3)",0.0641
china,F3,FAD,"(1, 1, 3)",0.1559
china,F4,FAD,"(1, 1, 3)",0.1041
india,F1,FAD,"(3, 1, 2)",0.1126
india,F2A,FAD,"(0, 1, 3)",0.1103
india,F2B,FAD,"(1, 0, 3)",0.0637
india,F3,FAD,"(1, 1, 3)",0.1564
india,F4,FAD,"(2, 1, 3)",0.0592
mexico,F1,FAD,"(0, 1, 3)",0.6569
mexico,F2A,FAD,"(1, 1, 3)",0.0957
mexico,F2B,FAD,"(1, 1, 3)",0.3908
mexico,F3,FAD,"(3, 1, 3)",0.4219
mexico,F4,FAD,"(0, 1, 3)",0.0418
philippines,F1,FAD,"(0, 1, 3)",0.0432
philippines,F2A,FAD,"(0, 1, 3)",0.1142
philippines,F2B,FAD,"(3, 1, 3)",0.112
philippines,F3,FAD,"(2, 1, 3)",0.1689
philippines,F4,FAD,"(0, 1, 3)",0.1397
all_chargeability,F1,DFF,"(1, 1, 3)",0.0859
all_chargeability,F2A,DFF,"(1, 1, 3)",0.0756
all_chargeability,F2B,DFF,"(0, 1, 3)",0.0679
all_chargeability,F3,DFF,"(1, 1, 3)",0.2075
all_chargeability,F4,DFF,"(3, 1, 3)",0.1701
china,F1,DFF,"(1, 1, 3)",0.0859
china,F2A,DFF,"(1, 1, 3)",0.0756
china,F2B,DFF,"(0, 1, 3)",0.0679
china,F3,DFF,"(1, 1, 3)",0.2075
china,F4,DFF,"(3, 1, 3)",0.1701
india,F1,DFF,"(1, 1, 3)",0.0859
india,F2A,DFF,"(1, 1, 3)",0.0756
india,F2B,DFF,"(0, 1, 3)",0.0679
india,F3,DFF,"(1, 1, 3)",0.2075
india,F4,DFF,"(0, 1, 3)",0.0991
mexico,F1,DFF,"(1, 1, 3)",0.1448
mexico,F2A,DFF,"(1, 1, 3)",0.0756
mexico,F2B,DFF,"(1, 1, 3)",0.2128
mexico,F3,DFF,"(0, 1, 3)",0.0088
mexico,F4,DFF,"(0, 1, 3)",0.0003
philippines,F1,DFF,"(3, 1, 3)",0.0045
philippines,F2A,DFF,"(1, 1, 3)",0.0756
philippines,F2B,DFF,"(3, 1, 3)",0.0129
philippines,F3,DFF,"(1, 1, 3)",0.1032
philippines,F4,DFF,"(1, 1, 3)",0.0894
