unique_id,ds,y,control-bitcn
all_chargeability/employment/EB3,2024-10-01,17485.0,16799.12477874756
all_chargeability/employment/EB3,2024-11-01,17485.0,17514.94769668579
all_chargeability/employment/EB3,2024-12-01,17485.0,17513.580053329468
all_chargeability/employment/EB3,2025-01-01,17501.0,17514.72158241272
all_chargeability/employment/EB3,2025-02-01,17501.0,17527.937047958374
all_chargeability/employment/EB3,2025-03-01,17501.0,17528.451761245728
all_chargeability/employment/EB3,2025-04-01,17532.0,17515.92963409424
all_chargeability/employment/EB3,2025-05-01,17532.0,17547.363572120667
all_chargeability/employment/EB3,2025-06-01,17570.0,17538.75837802887
all_chargeability/employment/EB3,2025-07-01,17622.0,17576.276029586792
all_chargeability/employment/EB3,2025-08-01,17622.0,17629.631911754608
all_chargeability/employment/EB3,2025-09-01,17622.0,17621.895911619067
all_chargeability/employment/EB3,2025-10-01,17622.0,17622.929995954037
all_chargeability/employment/EB3,2025-11-01,17622.0,17622.706942796707
all_chargeability/employment/EB3,2025-12-01,17636.0,17623.301649212837
all_chargeability/employment/EB3,2026-01-01,17643.0,17637.44561100006
all_chargeability/employment/EB3,2026-02-01,17683.0,17643.57665258646
all_chargeability/employment/EB3,2026-03-01,17805.0,17683.71577268839
all_chargeability/employment/EB3,2026-04-01,18049.0,17803.690765619278
all_chargeability/employment/EB3,2026-05-01,18049.0,18047.949773788452
all_chargeability/employment/EB3,2026-06-01,18049.0,18049.140760451555
all_chargeability/employment/EB3,2026-07-01,18110.0,18047.915581941605
all_chargeability/employment/EB3,2026-08-01,18141.0,18110.11177673936
all_chargeability/employment/EB3,2026-09-01,18141.0,18141.372076004744
all_chargeability/employment/EB3_OW,2024-10-01,16771.0,16774.513428211212
all_chargeability/employment/EB3_OW,2024-11-01,16771.0,16774.08973622322
all_chargeability/employment/EB3_OW,2024-12-01,16771.0,16773.88697576523
all_chargeability/employment/EB3_OW,2025-01-01,16778.0,16774.097002744675
all_chargeability/employment/EB3_OW,2025-02-01,16778.0,16780.356613874435
all_chargeability/employment/EB3_OW,2025-03-01,16833.0,16779.838648319244
all_chargeability/employment/EB3_OW,2025-04-01,16943.0,16834.96355521679
all_chargeability/employment/EB3_OW,2025-05-01,16943.0,16943.86052107811
all_chargeability/employment/EB3_OW,2025-06-01,16974.0,16945.729845523834
all_chargeability/employment/EB3_OW,2025-07-01,16990.0,16975.28125989437
all_chargeability/employment/EB3_OW,2025-08-01,16990.0,16991.124326229095
all_chargeability/employment/EB3_OW,2025-09-01,16990.0,16991.333447813988
all_chargeability/employment/EB3_OW,2025-10-01,16997.0,16990.972574293613
all_chargeability/employment/EB3_OW,2025-11-01,16997.0,16997.606285750866
all_chargeability/employment/EB3_OW,2025-12-01,17014.0,16997.49076446891
all_chargeability/employment/EB3_OW,2026-01-01,17045.0,17014.393181174994
all_chargeability/employment/EB3_OW,2026-02-01,17045.0,17045.513672590256
all_chargeability/employment/EB3_OW,2026-03-01,17106.0,17045.374111890793
all_chargeability/employment/EB3_OW,2026-04-01,17106.0,17106.53628718853
all_chargeability/employment/EB3_OW,2026-05-01,17198.0,17106.414229631424
all_chargeability/employment/EB3_OW,2026-06-01,17198.0,17198.581739485264
all_chargeability/employment/EB3_OW,2026-07-01,17226.0,17198.461911052465
all_chargeability/employment/EB3_OW,2026-08-01,17257.0,17226.595142424107
all_chargeability/employment/EB3_OW,2026-09-01,17257.0,17257.529466807842
all_chargeability/family/F1,2024-10-01,14904.0,14904.532175958157
all_chargeability/family/F1,2024-11-01,14904.0,14904.36353263259
all_chargeability/family/F1,2024-12-01,14904.0,14904.3725925982
all_chargeability/family/F1,2025-01-01,14935.0,14904.377452850342
all_chargeability/family/F1,2025-02-01,14935.0,14935.349605709314
all_chargeability/family/F1,2025-03-01,14935.0,14935.442294746637
all_chargeability/family/F1,2025-04-01,15049.0,14935.309964239597
all_chargeability/family/F1,2025-05-01,15049.0,15049.667403876781
all_chargeability/family/F1,2025-06-01,15134.0,15049.40427839756
all_chargeability/family/F1,2025-07-01,15171.0,15134.684265971184
all_chargeability/family/F1,2025-08-01,15171.0,15171.491352707148
all_chargeability/family/F1,2025-09-01,15171.0,15171.519833028316
all_chargeability/family/F1,2025-10-01,15287.0,15171.528781473637
all_chargeability/family/F1,2025-11-01,15287.0,15287.64351016283
all_chargeability/family/F1,2025-12-01,15287.0,15287.586685657501
all_chargeability/family/F1,2026-01-01,15287.0,15287.747058391571
all_chargeability/family/F1,2026-02-01,15287.0,15287.627236127853
all_chargeability/family/F1,2026-03-01,15287.0,15287.595211923122
all_chargeability/family/F1,2026-04-01,15461.0,15287.595258891582
all_chargeability/family/F1,2026-05-01,15584.0,15461.767677009106
all_chargeability/family/F1,2026-06-01,15584.0,15584.754573047161
all_chargeability/family/F1,2026-07-01,15737.0,15584.718433916569
all_chargeability/family/F1,2026-08-01,16054.0,15738.128204703331
all_chargeability/family/F1,2026-09-01,16457.0,16055.15006840229
all_chargeability/family/F2A,2024-10-01,17127.0,17149.66246986389
all_chargeability/family/F2A,2024-11-01,17167.0,17156.90245437622
all_chargeability/family/F2A,2024-12-01,17167.0,17196.78715133667
all_chargeability/family/F2A,2025-01-01,17167.0,17196.60857772827
all_chargeability/family/F2A,2025-02-01,17167.0,17196.391666412354
all_chargeability/family/F2A,2025-03-01,17167.0,17196.84001350403
all_chargeability/family/F2A,2025-04-01,17167.0,17196.701765060425
all_chargeability/family/F2A,2025-05-01,17167.0,17196.275205612183
all_chargeability/family/F2A,2025-06-01,17167.0,17194.172538757324
all_chargeability/family/F2A,2025-07-01,17410.0,17173.90934896469
all_chargeability/family/F2A,2025-08-01,17410.0,17418.91757106781
all_chargeability/family/F2A,2025-09-01,17410.0,17410.587250232697
all_chargeability/family/F2A,2025-10-01,17928.0,17410.860139787197
all_chargeability/family/F2A,2025-11-01,17928.0,17928.318041861057
all_chargeability/family/F2A,2025-12-01,17928.0,17932.897824287415
all_chargeability/family/F2A,2026-01-01,17928.0,17932.949113845825
all_chargeability/family/F2A,2026-02-01,17928.0,17932.35414123535
all_chargeability/family/F2A,2026-03-01,17928.0,17930.95482993126
all_chargeability/family/F2A,2026-04-01,17928.0,17931.136357307434
all_chargeability/family/F2A,2026-05-01,18110.0,17930.1778383255
all_chargeability/family/F2A,2026-06-01,18263.0,18112.589111089706
all_chargeability/family/F2A,2026-07-01,18263.0,18264.43428313732
all_chargeability/family/F2A,2026-08-01,18830.0,18266.17539548874
all_chargeability/family/F2A,2026-09-01,18861.0,18832.19192290306
all_chargeability/family/F2B,2024-10-01,15096.0,15096.35560503602
all_chargeability/family/F2B,2024-11-01,15096.0,15096.280645012856
all_chargeability/family/F2B,2024-12-01,15096.0,15096.259517848492
all_chargeability/family/F2B,2025-01-01,15117.0,15096.286935329437
all_chargeability/family/F2B,2025-02-01,15117.0,15117.248835399747
all_chargeability/family/F2B,2025-03-01,15117.0,15117.346898883581
all_chargeability/family/F2B,2025-04-01,15178.0,15117.232422247529
all_chargeability/family/F2B,2025-05-01,15178.0,15178.447780698538
all_chargeability/family/F2B,2025-06-01,15240.0,15178.282890290022
all_chargeability/family/F2B,2025-07-01,15263.0,15240.431360840797
all_chargeability/family/F2B,2025-08-01,15263.0,15263.350400209427
all_chargeability/family/F2B,2025-09-01,15263.0,15263.371775180101
all_chargeability/family/F2B,2025-10-01,15301.0,15263.405384361744
all_chargeability/family/F2B,2025-11-01,15310.0,15301.431994378567
all_chargeability/family/F2B,2025-12-01,15310.0,15310.413521677256
all_chargeability/family/F2B,2026-01-01,15310.0,15310.499532580376
all_chargeability/family/F2B,2026-02-01,15310.0,15310.392447710037
all_chargeability/family/F2B,2026-03-01,15310.0,15310.375883668661
all_chargeability/family/F2B,2026-04-01,15482.0,15310.384331077337
all_chargeability/family/F2B,2026-05-01,15482.0,15482.555797278881
all_chargeability/family/F2B,2026-06-01,15605.0,15482.511567771435
all_chargeability/family/F2B,2026-07-01,15666.0,15605.685742080212
all_chargeability/family/F2B,2026-08-01,15706.0,15666.64546829462
