unique_id,ds,y,control-patchtst
all_chargeability/employment/EB3,2024-10-01,17485.0,16751.461013793945
all_chargeability/employment/EB3,2024-11-01,17485.0,17469.329566955566
all_chargeability/employment/EB3,2024-12-01,17485.0,17490.472206115723
all_chargeability/employment/EB3,2025-01-01,17501.0,17504.958389282227
all_chargeability/employment/EB3,2025-02-01,17501.0,17522.68025970459
all_chargeability/employment/EB3,2025-03-01,17501.0,17492.905067443848
all_chargeability/employment/EB3,2025-04-01,17532.0,17483.222034454346
all_chargeability/employment/EB3,2025-05-01,17532.0,17549.697805404663
all_chargeability/employment/EB3,2025-06-01,17570.0,17545.09133720398
all_chargeability/employment/EB3,2025-07-01,17622.0,17587.599937438965
all_chargeability/employment/EB3,2025-08-01,17622.0,17665.94059753418
all_chargeability/employment/EB3,2025-09-01,17622.0,17626.0223236084
all_chargeability/employment/EB3,2025-10-01,17622.0,17667.441383361816
all_chargeability/employment/EB3,2025-11-01,17622.0,17611.301300048828
all_chargeability/employment/EB3,2025-12-01,17636.0,17619.680215597153
all_chargeability/employment/EB3,2026-01-01,17643.0,17653.97786140442
all_chargeability/employment/EB3,2026-02-01,17683.0,17645.346162557602
all_chargeability/employment/EB3,2026-03-01,17805.0,17715.46746826172
all_chargeability/employment/EB3,2026-04-01,18049.0,17884.648880004883
all_chargeability/employment/EB3,2026-05-01,18049.0,18138.347999572754
all_chargeability/employment/EB3,2026-06-01,18049.0,18059.023202896118
all_chargeability/employment/EB3,2026-07-01,18110.0,18051.062646627426
all_chargeability/employment/EB3,2026-08-01,18141.0,18167.618770599365
all_chargeability/employment/EB3,2026-09-01,18141.0,18165.30970954895
all_chargeability/employment/EB3_OW,2024-10-01,16771.0,16754.108150482178
all_chargeability/employment/EB3_OW,2024-11-01,16771.0,16767.56035232544
all_chargeability/employment/EB3_OW,2024-12-01,16771.0,16766.736253261566
all_chargeability/employment/EB3_OW,2025-01-01,16778.0,16774.37573337555
all_chargeability/employment/EB3_OW,2025-02-01,16778.0,16776.046592593193
all_chargeability/employment/EB3_OW,2025-03-01,16833.0,16776.513639211655
all_chargeability/employment/EB3_OW,2025-04-01,16943.0,16872.749305725098
all_chargeability/employment/EB3_OW,2025-05-01,16943.0,17005.476860046387
all_chargeability/employment/EB3_OW,2025-06-01,16974.0,16945.431685209274
all_chargeability/employment/EB3_OW,2025-07-01,16990.0,17003.03841972351
all_chargeability/employment/EB3_OW,2025-08-01,16990.0,17008.52161216736
all_chargeability/employment/EB3_OW,2025-09-01,16990.0,16992.769087314606
all_chargeability/employment/EB3_OW,2025-10-01,16997.0,16996.109701633453
all_chargeability/employment/EB3_OW,2025-11-01,16997.0,17006.161982536316
all_chargeability/employment/EB3_OW,2025-12-01,17014.0,17001.52507686615
all_chargeability/employment/EB3_OW,2026-01-01,17045.0,17030.772954940796
all_chargeability/employment/EB3_OW,2026-02-01,17045.0,17072.149377822876
all_chargeability/employment/EB3_OW,2026-03-01,17106.0,17053.390278816223
all_chargeability/employment/EB3_OW,2026-04-01,17106.0,17144.157962799072
all_chargeability/employment/EB3_OW,2026-05-01,17198.0,17110.91257762909
all_chargeability/employment/EB3_OW,2026-06-01,17198.0,17226.435932159424
all_chargeability/employment/EB3_OW,2026-07-01,17226.0,17206.623691558838
all_chargeability/employment/EB3_OW,2026-08-01,17257.0,17250.47366142273
all_chargeability/employment/EB3_OW,2026-09-01,17257.0,17283.81290626526
all_chargeability/family/F1,2024-10-01,14904.0,14905.797700166702
all_chargeability/family/F1,2024-11-01,14904.0,14907.511828184128
all_chargeability/family/F1,2024-12-01,14904.0,14907.486500263214
all_chargeability/family/F1,2025-01-01,14935.0,14907.71757054329
all_chargeability/family/F1,2025-02-01,14935.0,14954.291770935059
all_chargeability/family/F1,2025-03-01,14935.0,14938.702064275742
all_chargeability/family/F1,2025-04-01,15049.0,14937.916178941727
all_chargeability/family/F1,2025-05-01,15049.0,15074.636577606201
all_chargeability/family/F1,2025-06-01,15134.0,15053.039943695068
all_chargeability/family/F1,2025-07-01,15171.0,15166.901462554932
all_chargeability/family/F1,2025-08-01,15171.0,15199.007209777832
all_chargeability/family/F1,2025-09-01,15171.0,15173.964761734009
all_chargeability/family/F1,2025-10-01,15287.0,15175.526978492737
all_chargeability/family/F1,2025-11-01,15287.0,15316.492120742798
all_chargeability/family/F1,2025-12-01,15287.0,15294.456921100616
all_chargeability/family/F1,2026-01-01,15287.0,15295.042603492737
all_chargeability/family/F1,2026-02-01,15287.0,15295.454361915588
all_chargeability/family/F1,2026-03-01,15287.0,15293.720261573792
all_chargeability/family/F1,2026-04-01,15461.0,15296.847776412964
all_chargeability/family/F1,2026-05-01,15584.0,15490.172359466553
all_chargeability/family/F1,2026-06-01,15584.0,15630.661827087402
all_chargeability/family/F1,2026-07-01,15737.0,15594.181656837463
all_chargeability/family/F1,2026-08-01,16054.0,15771.973537445068
all_chargeability/family/F1,2026-09-01,16457.0,16101.473735809326
all_chargeability/family/F2A,2024-10-01,17127.0,17152.710762023926
all_chargeability/family/F2A,2024-11-01,17167.0,17118.29252243042
all_chargeability/family/F2A,2024-12-01,17167.0,17192.567964553833
all_chargeability/family/F2A,2025-01-01,17167.0,17185.68313217163
all_chargeability/family/F2A,2025-02-01,17167.0,17166.0894241333
all_chargeability/family/F2A,2025-03-01,17167.0,17163.178707122803
all_chargeability/family/F2A,2025-04-01,17167.0,17157.197032928467
all_chargeability/family/F2A,2025-05-01,17167.0,17186.4121799469
all_chargeability/family/F2A,2025-06-01,17167.0,17171.098943710327
all_chargeability/family/F2A,2025-07-01,17410.0,17158.52507209778
all_chargeability/family/F2A,2025-08-01,17410.0,17485.759185791016
all_chargeability/family/F2A,2025-09-01,17410.0,17417.680605888367
all_chargeability/family/F2A,2025-10-01,17928.0,17411.878282546997
all_chargeability/family/F2A,2025-11-01,17928.0,18030.974731445312
all_chargeability/family/F2A,2025-12-01,17928.0,17935.223367214203
all_chargeability/family/F2A,2026-01-01,17928.0,17930.859409332275
all_chargeability/family/F2A,2026-02-01,17928.0,17926.787904024124
