unique_id,ds,y,deepar-legacy
all_chargeability/employment/EB3,2024-10-01,17485.0,16930.855
all_chargeability/employment/EB3,2024-11-01,17485.0,17547.906
all_chargeability/employment/EB3,2024-12-01,17485.0,17591.033
all_chargeability/employment/EB3,2025-01-01,17501.0,17555.148
all_chargeability/employment/EB3,2025-02-01,17501.0,17545.988
all_chargeability/employment/EB3,2025-03-01,17501.0,17494.943
all_chargeability/employment/EB3,2025-04-01,17532.0,17499.057
all_chargeability/employment/EB3,2025-05-01,17532.0,17469.898
all_chargeability/employment/EB3,2025-06-01,17570.0,17420.512
all_chargeability/employment/EB3,2025-07-01,17622.0,17568.666
all_chargeability/employment/EB3,2025-08-01,17622.0,17635.848
all_chargeability/employment/EB3,2025-09-01,17622.0,17654.691
all_chargeability/employment/EB3,2025-10-01,17622.0,17619.826
all_chargeability/employment/EB3,2025-11-01,17622.0,17622.14
all_chargeability/employment/EB3,2025-12-01,17636.0,17639.934
all_chargeability/employment/EB3,2026-01-01,17643.0,17664.773
all_chargeability/employment/EB3,2026-02-01,17683.0,17664.766
all_chargeability/employment/EB3,2026-03-01,17805.0,17724.512
all_chargeability/employment/EB3,2026-04-01,18049.0,17844.836
all_chargeability/employment/EB3,2026-05-01,18049.0,18088.443
all_chargeability/employment/EB3,2026-06-01,18049.0,18132.135
all_chargeability/employment/EB3,2026-07-01,18110.0,18139.39
all_chargeability/employment/EB3,2026-08-01,18141.0,18095.58
all_chargeability/employment/EB3,2026-09-01,18141.0,18160.95
all_chargeability/employment/EB3_OW,2024-10-01,16771.0,16786.076
all_chargeability/employment/EB3_OW,2024-11-01,16771.0,16762.07
all_chargeability/employment/EB3_OW,2024-12-01,16771.0,16785.535
all_chargeability/employment/EB3_OW,2025-01-01,16778.0,16793.762
all_chargeability/employment/EB3_OW,2025-02-01,16778.0,16797.348
all_chargeability/employment/EB3_OW,2025-03-01,16833.0,16798.613
all_chargeability/employment/EB3_OW,2025-04-01,16943.0,16857.86
all_chargeability/employment/EB3_OW,2025-05-01,16943.0,16987.969
all_chargeability/employment/EB3_OW,2025-06-01,16974.0,16955.0
all_chargeability/employment/EB3_OW,2025-07-01,16990.0,17000.348
all_chargeability/employment/EB3_OW,2025-08-01,16990.0,17033.922
all_chargeability/employment/EB3_OW,2025-09-01,16990.0,17020.336
all_chargeability/employment/EB3_OW,2025-10-01,16997.0,16985.102
all_chargeability/employment/EB3_OW,2025-11-01,16997.0,16998.64
all_chargeability/employment/EB3_OW,2025-12-01,17014.0,17011.857
all_chargeability/employment/EB3_OW,2026-01-01,17045.0,17000.543
all_chargeability/employment/EB3_OW,2026-02-01,17045.0,17064.3
all_chargeability/employment/EB3_OW,2026-03-01,17106.0,17034.066
all_chargeability/employment/EB3_OW,2026-04-01,17106.0,17161.52
all_chargeability/employment/EB3_OW,2026-05-01,17198.0,17135.145
all_chargeability/employment/EB3_OW,2026-06-01,17198.0,17258.691
all_chargeability/employment/EB3_OW,2026-07-01,17226.0,17269.09
all_chargeability/employment/EB3_OW,2026-08-01,17257.0,17280.732
all_chargeability/employment/EB3_OW,2026-09-01,17257.0,17288.166
all_chargeability/family/F1,2024-10-01,14904.0,14794.51
all_chargeability/family/F1,2024-11-01,14904.0,14816.174
all_chargeability/family/F1,2024-12-01,14904.0,14868.586
all_chargeability/family/F1,2025-01-01,14935.0,14910.252
all_chargeability/family/F1,2025-02-01,14935.0,14947.727
all_chargeability/family/F1,2025-03-01,14935.0,14931.689
all_chargeability/family/F1,2025-04-01,15049.0,14932.986
all_chargeability/family/F1,2025-05-01,15049.0,15072.243
all_chargeability/family/F1,2025-06-01,15134.0,15071.853
all_chargeability/family/F1,2025-07-01,15171.0,15192.871
all_chargeability/family/F1,2025-08-01,15171.0,15230.029
all_chargeability/family/F1,2025-09-01,15171.0,15214.251
all_chargeability/family/F1,2025-10-01,15287.0,15155.334
all_chargeability/family/F1,2025-11-01,15287.0,15345.918
all_chargeability/family/F1,2025-12-01,15287.0,15322.686
all_chargeability/family/F1,2026-01-01,15287.0,15290.687
all_chargeability/family/F1,2026-02-01,15287.0,15319.479
all_chargeability/family/F1,2026-03-01,15287.0,15266.373
all_chargeability/family/F1,2026-04-01,15461.0,15283.961
all_chargeability/family/F1,2026-05-01,15584.0,15534.951
all_chargeability/family/F1,2026-06-01,15584.0,15681.3125
all_chargeability/family/F1,2026-07-01,15737.0,15677.955
all_chargeability/family/F1,2026-08-01,16054.0,15829.482
all_chargeability/family/F1,2026-09-01,16457.0,16214.523
all_chargeability/family/F2A,2024-10-01,17127.0,17061.82
all_chargeability/family/F2A,2024-11-01,17167.0,16890.434
all_chargeability/family/F2A,2024-12-01,17167.0,17101.637
