unique_id,ds,y,deepar-robust-levels
all_chargeability/employment/EB3,2024-10-01,17485.0,17074.928
all_chargeability/employment/EB3,2024-11-01,17485.0,17292.27
all_chargeability/employment/EB3,2024-12-01,17485.0,17492.566
all_chargeability/employment/EB3,2025-01-01,17501.0,17577.463
all_chargeability/employment/EB3,2025-02-01,17501.0,17566.328
all_chargeability/employment/EB3,2025-03-01,17501.0,17517.172
all_chargeability/employment/EB3,2025-04-01,17532.0,17525.482
all_chargeability/employment/EB3,2025-05-01,17532.0,17531.938
all_chargeability/employment/EB3,2025-06-01,17570.0,17540.637
all_chargeability/employment/EB3,2025-07-01,17622.0,17577.438
all_chargeability/employment/EB3,2025-08-01,17622.0,17618.93
all_chargeability/employment/EB3,2025-09-01,17622.0,17652.547
all_chargeability/employment/EB3,2025-10-01,17622.0,17642.664
all_chargeability/employment/EB3,2025-11-01,17622.0,17633.186
all_chargeability/employment/EB3,2025-12-01,17636.0,17636.164
all_chargeability/employment/EB3,2026-01-01,17643.0,17651.945
all_chargeability/employment/EB3,2026-02-01,17683.0,17660.16
all_chargeability/employment/EB3,2026-03-01,17805.0,17698.273
all_chargeability/employment/EB3,2026-04-01,18049.0,17810.098
all_chargeability/employment/EB3,2026-05-01,18049.0,18035.0
all_chargeability/employment/EB3,2026-06-01,18049.0,18127.984
all_chargeability/employment/EB3,2026-07-01,18110.0,18112.527
all_chargeability/employment/EB3,2026-08-01,18141.0,18107.799
all_chargeability/employment/EB3,2026-09-01,18141.0,18152.113
all_chargeability/employment/EB3_OW,2024-10-01,16771.0,16802.504
all_chargeability/employment/EB3_OW,2024-11-01,16771.0,16776.277
all_chargeability/employment/EB3_OW,2024-12-01,16771.0,16781.574
all_chargeability/employment/EB3_OW,2025-01-01,16778.0,16785.512
all_chargeability/employment/EB3_OW,2025-02-01,16778.0,16787.95
all_chargeability/employment/EB3_OW,2025-03-01,16833.0,16787.496
all_chargeability/employment/EB3_OW,2025-04-01,16943.0,16828.422
all_chargeability/employment/EB3_OW,2025-05-01,16943.0,16949.29
all_chargeability/employment/EB3_OW,2025-06-01,16974.0,16984.324
all_chargeability/employment/EB3_OW,2025-07-01,16990.0,16995.754
all_chargeability/employment/EB3_OW,2025-08-01,16990.0,17007.836
all_chargeability/employment/EB3_OW,2025-09-01,16990.0,17008.402
all_chargeability/employment/EB3_OW,2025-10-01,16997.0,17005.168
all_chargeability/employment/EB3_OW,2025-11-01,16997.0,17012.566
all_chargeability/employment/EB3_OW,2025-12-01,17014.0,17016.527
