unique_id,ds,y,deepar-robust
all_chargeability/employment/EB3,2024-10-01,17485.0,16801.590534210205
all_chargeability/employment/EB3,2024-11-01,17485.0,17517.539588928223
all_chargeability/employment/EB3,2024-12-01,17485.0,17512.858087539673
all_chargeability/employment/EB3,2025-01-01,17501.0,17510.890830993652
all_chargeability/employment/EB3,2025-02-01,17501.0,17525.10007095337
all_chargeability/employment/EB3,2025-03-01,17501.0,17513.341215133667
all_chargeability/employment/EB3,2025-04-01,17532.0,17522.75689315796
all_chargeability/employment/EB3,2025-05-01,17532.0,17549.506233215332
all_chargeability/employment/EB3,2025-06-01,17570.0,17540.09282684326
all_chargeability/employment/EB3,2025-07-01,17622.0,17588.191759109497
all_chargeability/employment/EB3,2025-08-01,17622.0,17644.93281173706
all_chargeability/employment/EB3,2025-09-01,17622.0,17639.758083343506
all_chargeability/employment/EB3,2025-10-01,17622.0,17621.929612755775
all_chargeability/employment/EB3,2025-11-01,17622.0,17619.74838757515
all_chargeability/employment/EB3,2025-12-01,17636.0,17622.944779515266
all_chargeability/employment/EB3,2026-01-01,17643.0,17640.96229505539
all_chargeability/employment/EB3,2026-02-01,17683.0,17647.10635662079
all_chargeability/employment/EB3,2026-03-01,17805.0,17701.27296257019
all_chargeability/employment/EB3,2026-04-01,18049.0,17847.47666168213
all_chargeability/employment/EB3,2026-05-01,18049.0,18102.83918762207
all_chargeability/employment/EB3,2026-06-01,18049.0,18063.83758544922
all_chargeability/employment/EB3,2026-07-01,18110.0,18054.61239385605
all_chargeability/employment/EB3,2026-08-01,18141.0,18116.799810409546
all_chargeability/employment/EB3,2026-09-01,18141.0,18158.62205505371
all_chargeability/employment/EB3_OW,2024-10-01,16771.0,16769.286379098892
all_chargeability/employment/EB3_OW,2024-11-01,16771.0,16760.869837760925
all_chargeability/employment/EB3_OW,2024-12-01,16771.0,16784.542114257812
all_chargeability/employment/EB3_OW,2025-01-01,16778.0,16779.23103618622
all_chargeability/employment/EB3_OW,2025-02-01,16778.0,16775.054150104523
all_chargeability/employment/EB3_OW,2025-03-01,16833.0,16772.291873931885
all_chargeability/employment/EB3_OW,2025-04-01,16943.0,16824.989461898804
all_chargeability/employment/EB3_OW,2025-05-01,16943.0,17016.358253479004
all_chargeability/employment/EB3_OW,2025-06-01,16974.0,16957.573214530945
all_chargeability/employment/EB3_OW,2025-07-01,16990.0,16973.170881271362
all_chargeability/employment/EB3_OW,2025-08-01,16990.0,16997.63516139984
all_chargeability/employment/EB3_OW,2025-09-01,16990.0,16991.35554754734
all_chargeability/employment/EB3_OW,2025-10-01,16997.0,16987.01898241043
all_chargeability/employment/EB3_OW,2025-11-01,16997.0,16996.96292078495
all_chargeability/employment/EB3_OW,2025-12-01,17014.0,17001.316380500793
all_chargeability/employment/EB3_OW,2026-01-01,17045.0,17015.74032306671
all_chargeability/employment/EB3_OW,2026-02-01,17045.0,17062.49049758911
all_chargeability/employment/EB3_OW,2026-03-01,17106.0,17049.228533267975
all_chargeability/employment/EB3_OW,2026-04-01,17106.0,17138.44715499878
all_chargeability/employment/EB3_OW,2026-05-01,17198.0,17118.587838172913
all_chargeability/employment/EB3_OW,2026-06-01,17198.0,17225.715713500977
all_chargeability/employment/EB3_OW,2026-07-01,17226.0,17223.50931739807
all_chargeability/employment/EB3_OW,2026-08-01,17257.0,17242.779878616333
all_chargeability/employment/EB3_OW,2026-09-01,17257.0,17269.414361953735
all_chargeability/family/F1,2024-10-01,14904.0,14896.904031276703
all_chargeability/family/F1,2024-11-01,14904.0,14893.686504364014
all_chargeability/family/F1,2024-12-01,14904.0,14897.60859966278
all_chargeability/family/F1,2025-01-01,14935.0,14903.671847760677
all_chargeability/family/F1,2025-02-01,14935.0,14943.647472381592
all_chargeability/family/F1,2025-03-01,14935.0,14938.562151193619
all_chargeability/family/F1,2025-04-01,15049.0,14936.799073934555
all_chargeability/family/F1,2025-05-01,15049.0,15078.203672409058
all_chargeability/family/F1,2025-06-01,15134.0,15069.863529205322
all_chargeability/family/F1,2025-07-01,15171.0,15173.719932556152
all_chargeability/family/F1,2025-08-01,15171.0,15205.653263092041
all_chargeability/family/F1,2025-09-01,15171.0,15184.893614768982
