unique_id,ds,y,control-bitcn
all_chargeability/family/F2B,2024-10-01,15096.0,15094.361498594284
all_chargeability/family/F2B,2024-11-01,15096.0,15095.45144623518
all_chargeability/family/F2B,2024-12-01,15096.0,15094.764079928398
all_chargeability/family/F2B,2025-01-01,15117.0,15099.203649759293
all_chargeability/family/F2B,2025-02-01,15117.0,15121.386882305145
all_chargeability/family/F2B,2025-03-01,15117.0,15124.490398406982
all_chargeability/family/F2B,2025-04-01,15178.0,15119.75934958458
all_chargeability/family/F2B,2025-05-01,15178.0,15189.333999633789
all_chargeability/family/F2B,2025-06-01,15240.0,15182.145407676697
all_chargeability/family/F2B,2025-07-01,15263.0,15251.304242134094
all_chargeability/family/F2B,2025-08-01,15263.0,15272.031190872192
all_chargeability/family/F2B,2025-09-01,15263.0,15264.87325334549
all_chargeability/family/F2B,2025-10-01,15301.0,15264.911120891571
all_chargeability/family/F2B,2025-11-01,15310.0,15302.67399251461
all_chargeability/family/F2B,2025-12-01,15310.0,15314.2054438591
all_chargeability/family/F2B,2026-01-01,15310.0,15311.38024687767
all_chargeability/family/F2B,2026-02-01,15310.0,15312.668218374252
all_chargeability/family/F2B,2026-03-01,15310.0,15308.02139723301
all_chargeability/family/F2B,2026-04-01,15482.0,15309.00719666481
all_chargeability/family/F2B,2026-05-01,15482.0,15499.67500114441
all_chargeability/family/F2B,2026-06-01,15605.0,15495.466781616211
all_chargeability/family/F2B,2026-07-01,15666.0,15628.246772766113
all_chargeability/family/F2B,2026-08-01,15706.0,15686.904027938843
all_chargeability/family/F2B,2026-09-01,16304.0,15715.250979423523
all_chargeability/family/F3,2024-10-01,12874.0,12874.463543087244
all_chargeability/family/F3,2024-11-01,12888.0,12876.163495779037
all_chargeability/family/F3,2024-12-01,12888.0,12888.873035728931
all_chargeability/family/F3,2025-01-01,12965.0,12895.77412557602
all_chargeability/family/F3,2025-02-01,12965.0,12978.300026893616
all_chargeability/family/F3,2025-03-01,12965.0,12977.854345321655
all_chargeability/family/F3,2025-04-01,13239.0,12969.744226932526
all_chargeability/family/F3,2025-05-01,13239.0,13273.509777069092
all_chargeability/family/F3,2025-06-01,13321.0,13259.010553359985
all_chargeability/family/F3,2025-07-01,13361.0,13342.827642440796
all_chargeability/family/F3,2025-08-01,13361.0,13379.052490234375
all_chargeability/family/F3,2025-09-01,13361.0,13358.068080186844
all_chargeability/family/F3,2025-10-01,13399.0,13358.350531339645
all_chargeability/family/F3,2025-11-01,13399.0,13397.896246790886
all_chargeability/family/F3,2025-12-01,13399.0,13400.474663257599
all_chargeability/family/F3,2026-01-01,13399.0,13396.783606052399
all_chargeability/family/F3,2026-02-01,13399.0,13402.102652072906
all_chargeability/family/F3,2026-03-01,13399.0,13394.570243358612
all_chargeability/family/F3,2026-04-01,13504.0,13397.485468745232
all_chargeability/family/F3,2026-05-01,13559.0,13507.380109071732
all_chargeability/family/F3,2026-06-01,13559.0,13569.747721672058
all_chargeability/family/F3,2026-07-01,13619.0,13559.317734718323
all_chargeability/family/F3,2026-08-01,13649.0,13620.480285406113
all_chargeability/family/F3,2026-09-01,14539.0,13642.565400123596
all_chargeability/family/F4,2024-10-01,11900.0,11899.264932274818
all_chargeability/family/F4,2024-11-01,11900.0,11900.175818905234
all_chargeability/family/F4,2024-12-01,11900.0,11899.798465773463
all_chargeability/family/F4,2025-01-01,11900.0,11901.107168316841
all_chargeability/family/F4,2025-02-01,11900.0,11899.95376142487
all_chargeability/family/F4,2025-03-01,11900.0,11901.37879383564
