unique_id,ds,y,control-patchtst
all_chargeability/family/F2B,2024-10-01,15096.0,15087.568669319153
all_chargeability/family/F2B,2024-11-01,15096.0,15091.591623783112
all_chargeability/family/F2B,2024-12-01,15096.0,15100.980428695679
all_chargeability/family/F2B,2025-01-01,15117.0,15098.16585946083
all_chargeability/family/F2B,2025-02-01,15117.0,15132.84761428833
all_chargeability/family/F2B,2025-03-01,15117.0,15118.571300029755
all_chargeability/family/F2B,2025-04-01,15178.0,15116.237645149231
all_chargeability/family/F2B,2025-05-01,15178.0,15233.146816253662
all_chargeability/family/F2B,2025-06-01,15240.0,15178.338826954365
all_chargeability/family/F2B,2025-07-01,15263.0,15289.457344055176
all_chargeability/family/F2B,2025-08-01,15263.0,15285.439224243164
all_chargeability/family/F2B,2025-09-01,15263.0,15262.152265071869
all_chargeability/family/F2B,2025-10-01,15301.0,15261.537794470787
all_chargeability/family/F2B,2025-11-01,15310.0,15333.921615600586
all_chargeability/family/F2B,2025-12-01,15310.0,15319.386721611023
all_chargeability/family/F2B,2026-01-01,15310.0,15313.07157254219
all_chargeability/family/F2B,2026-02-01,15310.0,15315.139876365662
all_chargeability/family/F2B,2026-03-01,15310.0,15311.963100552559
all_chargeability/family/F2B,2026-04-01,15482.0,15313.391976356506
all_chargeability/family/F2B,2026-05-01,15482.0,15494.918201446533
all_chargeability/family/F2B,2026-06-01,15605.0,15493.478899002075
all_chargeability/family/F2B,2026-07-01,15666.0,15679.45140838623
all_chargeability/family/F2B,2026-08-01,15706.0,15712.306324005127
all_chargeability/family/F2B,2026-09-01,16304.0,15734.821950912476
all_chargeability/family/F3,2024-10-01,12874.0,12877.424602746964
all_chargeability/family/F3,2024-11-01,12888.0,12872.170159578323
all_chargeability/family/F3,2024-12-01,12888.0,12903.18874168396
all_chargeability/family/F3,2025-01-01,12965.0,12893.866078853607
all_chargeability/family/F3,2025-02-01,12965.0,13016.276599884033
all_chargeability/family/F3,2025-03-01,12965.0,12974.423956871033
all_chargeability/family/F3,2025-04-01,13239.0,12970.597612380981
all_chargeability/family/F3,2025-05-01,13239.0,13328.846504211426
all_chargeability/family/F3,2025-06-01,13321.0,13251.271649360657
all_chargeability/family/F3,2025-07-01,13361.0,13392.267074584961
all_chargeability/family/F3,2025-08-01,13361.0,13394.114501953125
all_chargeability/family/F3,2025-09-01,13361.0,13351.74359703064
all_chargeability/family/F3,2025-10-01,13399.0,13362.92008960247
all_chargeability/family/F3,2025-11-01,13399.0,13437.508651733398
all_chargeability/family/F3,2025-12-01,13399.0,13409.144241333008
all_chargeability/family/F3,2026-01-01,13399.0,13418.820482254028
all_chargeability/family/F3,2026-02-01,13399.0,13410.49158859253
all_chargeability/family/F3,2026-03-01,13399.0,13400.432310581207
all_chargeability/family/F3,2026-04-01,13504.0,13409.53395652771
all_chargeability/family/F3,2026-05-01,13559.0,13568.911437988281
all_chargeability/family/F3,2026-06-01,13559.0,13608.118648529053
all_chargeability/family/F3,2026-07-01,13619.0,13570.41403388977
all_chargeability/family/F3,2026-08-01,13649.0,13667.80969619751
all_chargeability/family/F3,2026-09-01,14539.0,13677.727756500244
all_chargeability/family/F4,2024-10-01,11900.0,11899.457923591137
all_chargeability/family/F4,2024-11-01,11900.0,11899.392279922962
all_chargeability/family/F4,2024-12-01,11900.0,11901.952931642532
all_chargeability/family/F4,2025-01-01,11900.0,11901.283131241798
all_chargeability/family/F4,2025-02-01,11900.0,11903.106803417206
all_chargeability/family/F4,2025-03-01,11900.0,11900.239893749356
all_chargeability/family/F4,2025-04-01,11900.0,11901.214337587357
all_chargeability/family/F4,2025-05-01,12053.0,11899.793129086494
all_chargeability/family/F4,2025-06-01,12053.0,12103.370235443115
all_chargeability/family/F4,2025-07-01,12053.0,12053.329846680164
all_chargeability/family/F4,2025-08-01,12053.0,12054.5668913126
all_chargeability/family/F4,2025-09-01,12053.0,12046.74003791809
all_chargeability/family/F4,2025-10-01,12060.0,12045.802000522614
all_chargeability/family/F4,2025-11-01,12060.0,12064.437310695648
all_chargeability/family/F4,2025-12-01,12060.0,12066.022575855255
all_chargeability/family/F4,2026-01-01,12060.0,12061.623395323753
all_chargeability/family/F4,2026-02-01,12060.0,12063.44489145279
all_chargeability/family/F4,2026-03-01,12060.0,12060.397594928741
all_chargeability/family/F4,2026-04-01,12212.0,12057.661222934723
all_chargeability/family/F4,2026-05-01,12311.0,12295.216857910156
all_chargeability/family/F4,2026-06-01,12365.0,12399.880386352539
all_chargeability/family/F4,2026-07-01,12419.0,12406.801982879639
all_chargeability/family/F4,2026-08-01,12662.0,12461.802032470703
all_chargeability/family/F4,2026-09-01,13443.0,12747.653335571289
china/family/F2B,2024-10-01,15096.0,15087.568669319153
china/family/F2B,2024-11-01,15096.0,15091.591623783112
china/family/F2B,2024-12-01,15096.0,15100.980428695679
china/family/F2B,2025-01-01,15117.0,15098.16585946083
china/family/F2B,2025-02-01,15117.0,15132.84761428833
china/family/F2B,2025-03-01,15117.0,15118.571300029755
china/family/F2B,2025-04-01,15178.0,15116.237645149231
china/family/F2B,2025-05-01,15178.0,15233.146816253662
china/family/F2B,2025-06-01,15240.0,15178.338826954365
china/family/F2B,2025-07-01,15263.0,15289.457344055176
china/family/F2B,2025-08-01,15263.0,15285.439224243164
