unique_id,ds,y,deepar-legacy
all_chargeability/family/F2B,2024-10-01,15096.0,14991.816
all_chargeability/family/F2B,2024-11-01,15096.0,15029.74
all_chargeability/family/F2B,2024-12-01,15096.0,15105.553
all_chargeability/family/F2B,2025-01-01,15117.0,15125.008
all_chargeability/family/F2B,2025-02-01,15117.0,15142.106
all_chargeability/family/F2B,2025-03-01,15117.0,15118.801
all_chargeability/family/F2B,2025-04-01,15178.0,15075.729
all_chargeability/family/F2B,2025-05-01,15178.0,15166.766
all_chargeability/family/F2B,2025-06-01,15240.0,15175.332
all_chargeability/family/F2B,2025-07-01,15263.0,15265.096
all_chargeability/family/F2B,2025-08-01,15263.0,15301.076
all_chargeability/family/F2B,2025-09-01,15263.0,15272.684
all_chargeability/family/F2B,2025-10-01,15301.0,15251.686
all_chargeability/family/F2B,2025-11-01,15310.0,15319.287
all_chargeability/family/F2B,2025-12-01,15310.0,15325.842
all_chargeability/family/F2B,2026-01-01,15310.0,15328.755
all_chargeability/family/F2B,2026-02-01,15310.0,15324.135
all_chargeability/family/F2B,2026-03-01,15310.0,15320.0
all_chargeability/family/F2B,2026-04-01,15482.0,15311.693
all_chargeability/family/F2B,2026-05-01,15482.0,15548.25
all_chargeability/family/F2B,2026-06-01,15605.0,15520.827
all_chargeability/family/F2B,2026-07-01,15666.0,15695.357
all_chargeability/family/F2B,2026-08-01,15706.0,15726.424
all_chargeability/family/F2B,2026-09-01,16304.0,15723.119
all_chargeability/family/F3,2024-10-01,12874.0,12839.203
all_chargeability/family/F3,2024-11-01,12888.0,12865.786
all_chargeability/family/F3,2024-12-01,12888.0,12916.31
all_chargeability/family/F3,2025-01-01,12965.0,12876.76
all_chargeability/family/F3,2025-02-01,12965.0,12993.684
all_chargeability/family/F3,2025-03-01,12965.0,12890.979
all_chargeability/family/F3,2025-04-01,13239.0,12974.829
all_chargeability/family/F3,2025-05-01,13239.0,13323.626
all_chargeability/family/F3,2025-06-01,13321.0,13329.664
all_chargeability/family/F3,2025-07-01,13361.0,13400.302
all_chargeability/family/F3,2025-08-01,13361.0,13389.219
all_chargeability/family/F3,2025-09-01,13361.0,13298.132
all_chargeability/family/F3,2025-10-01,13399.0,13340.48
all_chargeability/family/F3,2025-11-01,13399.0,13451.555
all_chargeability/family/F3,2025-12-01,13399.0,13423.377
all_chargeability/family/F3,2026-01-01,13399.0,13440.174
all_chargeability/family/F3,2026-02-01,13399.0,13432.287
all_chargeability/family/F3,2026-03-01,13399.0,13414.49
all_chargeability/family/F3,2026-04-01,13504.0,13394.311
all_chargeability/family/F3,2026-05-01,13559.0,13551.3
all_chargeability/family/F3,2026-06-01,13559.0,13622.301
