unique_id,ds,y,deepar-robust-levels
all_chargeability/family/F2B,2024-10-01,15096.0,15100.395
all_chargeability/family/F2B,2024-11-01,15096.0,15090.708
all_chargeability/family/F2B,2024-12-01,15096.0,15098.432
all_chargeability/family/F2B,2025-01-01,15117.0,15108.764
all_chargeability/family/F2B,2025-02-01,15117.0,15124.254
all_chargeability/family/F2B,2025-03-01,15117.0,15137.328
all_chargeability/family/F2B,2025-04-01,15178.0,15135.221
all_chargeability/family/F2B,2025-05-01,15178.0,15176.553
all_chargeability/family/F2B,2025-06-01,15240.0,15211.929
all_chargeability/family/F2B,2025-07-01,15263.0,15254.777
all_chargeability/family/F2B,2025-08-01,15263.0,14952.688
all_chargeability/family/F2B,2025-09-01,15263.0,14952.904
all_chargeability/family/F2B,2025-10-01,15301.0,15275.908
all_chargeability/family/F2B,2025-11-01,15310.0,15293.034
all_chargeability/family/F2B,2025-12-01,15310.0,15329.401
all_chargeability/family/F2B,2026-01-01,15310.0,15338.479
all_chargeability/family/F2B,2026-02-01,15310.0,15330.434
all_chargeability/family/F2B,2026-03-01,15310.0,15325.701
all_chargeability/family/F2B,2026-04-01,15482.0,15319.558
all_chargeability/family/F2B,2026-05-01,15482.0,15435.131
all_chargeability/family/F2B,2026-06-01,15605.0,15533.463
all_chargeability/family/F2B,2026-07-01,15666.0,15639.579
all_chargeability/family/F2B,2026-08-01,15706.0,15715.697
all_chargeability/family/F2B,2026-09-01,16304.0,15750.277
all_chargeability/family/F3,2024-10-01,12874.0,12890.545
all_chargeability/family/F3,2024-11-01,12888.0,12877.15
all_chargeability/family/F3,2024-12-01,12888.0,12518.82
all_chargeability/family/F3,2025-01-01,12965.0,12515.641
all_chargeability/family/F3,2025-02-01,12965.0,12644.008
all_chargeability/family/F3,2025-03-01,12965.0,12773.301
all_chargeability/family/F3,2025-04-01,13239.0,12804.121
all_chargeability/family/F3,2025-05-01,13239.0,12798.391
all_chargeability/family/F3,2025-06-01,13321.0,12798.17
all_chargeability/family/F3,2025-07-01,13361.0,12785.197
all_chargeability/family/F3,2025-08-01,13361.0,13403.496
all_chargeability/family/F3,2025-09-01,13361.0,13390.363
all_chargeability/family/F3,2025-10-01,13399.0,13386.673
all_chargeability/family/F3,2025-11-01,13399.0,13421.797
all_chargeability/family/F3,2025-12-01,13399.0,13439.223
all_chargeability/family/F3,2026-01-01,13399.0,13446.281
all_chargeability/family/F3,2026-02-01,13399.0,13444.366
all_chargeability/family/F3,2026-03-01,13399.0,13435.031
all_chargeability/family/F3,2026-04-01,13504.0,13417.701
all_chargeability/family/F3,2026-05-01,13559.0,13493.229
all_chargeability/family/F3,2026-06-01,13559.0,13588.959
all_chargeability/family/F3,2026-07-01,13619.0,13623.935
all_chargeability/family/F3,2026-08-01,13649.0,13631.627
all_chargeability/family/F3,2026-09-01,14539.0,13663.059
all_chargeability/family/F4,2024-10-01,11900.0,11900.852
all_chargeability/family/F4,2024-11-01,11900.0,11899.361
all_chargeability/family/F4,2024-12-01,11900.0,11896.393
all_chargeability/family/F4,2025-01-01,11900.0,11898.129
all_chargeability/family/F4,2025-02-01,11900.0,11907.582
all_chargeability/family/F4,2025-03-01,11900.0,11908.529
all_chargeability/family/F4,2025-04-01,11900.0,11908.592
all_chargeability/family/F4,2025-05-01,12053.0,11907.748
all_chargeability/family/F4,2025-06-01,12053.0,11975.6875
all_chargeability/family/F4,2025-07-01,12053.0,12006.939
all_chargeability/family/F4,2025-08-01,12053.0,12104.3545
all_chargeability/family/F4,2025-09-01,12053.0,12068.645
all_chargeability/family/F4,2025-10-01,12060.0,12045.309
all_chargeability/family/F4,2025-11-01,12060.0,12047.742
all_chargeability/family/F4,2025-12-01,12060.0,12071.9375
all_chargeability/family/F4,2026-01-01,12060.0,12078.802
all_chargeability/family/F4,2026-02-01,12060.0,12076.624
all_chargeability/family/F4,2026-03-01,12060.0,12066.611
all_chargeability/family/F4,2026-04-01,12212.0,12066.748
all_chargeability/family/F4,2026-05-01,12311.0,12173.285
all_chargeability/family/F4,2026-06-01,12365.0,12324.025
all_chargeability/family/F4,2026-07-01,12419.0,12406.52
all_chargeability/family/F4,2026-08-01,12662.0,12444.225
all_chargeability/family/F4,2026-09-01,13443.0,12530.189
china/family/F2B,2024-10-01,15096.0,15100.119
china/family/F2B,2024-11-01,15096.0,15092.639
china/family/F2B,2024-12-01,15096.0,15099.498
china/family/F2B,2025-01-01,15117.0,15108.654
china/family/F2B,2025-02-01,15117.0,15122.76
china/family/F2B,2025-03-01,15117.0,15139.387
china/family/F2B,2025-04-01,15178.0,15139.761
china/family/F2B,2025-05-01,15178.0,15176.885
china/family/F2B,2025-06-01,15240.0,15209.952
china/family/F2B,2025-07-01,15263.0,15254.391
china/family/F2B,2025-08-01,15263.0,14950.916
china/family/F2B,2025-09-01,15263.0,14955.932
china/family/F2B,2025-10-01,15301.0,15277.264
china/family/F2B,2025-11-01,15310.0,15296.856
china/family/F2B,2025-12-01,15310.0,15333.086
china/family/F2B,2026-01-01,15310.0,15339.865
china/family/F2B,2026-02-01,15310.0,15340.214
china/family/F2B,2026-03-01,15310.0,15325.498
china/family/F2B,2026-04-01,15482.0,15319.876
china/family/F2B,2026-05-01,15482.0,15440.977
china/family/F2B,2026-06-01,15605.0,15537.779
china/family/F2B,2026-07-01,15666.0,15639.573
china/family/F2B,2026-08-01,15706.0,15715.52
china/family/F2B,2026-09-01,16304.0,15756.206
china/family/F3,2024-10-01,12874.0,12888.29
china/family/F3,2024-11-01,12888.0,12875.961
china/family/F3,2024-12-01,12888.0,12518.762
china/family/F3,2025-01-01,12965.0,12515.979
china/family/F3,2025-02-01,12965.0,12651.852
china/family/F3,2025-03-01,12965.0,12773.443
china/family/F3,2025-04-01,13239.0,12802.417
china/family/F3,2025-05-01,13239.0,12790.659
china/family/F3,2025-06-01,13321.0,12794.553
china/family/F3,2025-07-01,13361.0,12782.582
china/family/F3,2025-08-01,13361.0,13389.488
china/family/F3,2025-09-01,13361.0,13389.035
china/family/F3,2025-10-01,13399.0,13395.643
china/family/F3,2025-11-01,13399.0,13418.932
china/family/F3,2025-12-01,13399.0,13450.668
china/family/F3,2026-01-01,13399.0,13448.006
china/family/F3,2026-02-01,13399.0,13449.929
china/family/F3,2026-03-01,13399.0,13432.91
china/family/F3,2026-04-01,13504.0,13432.043
china/family/F3,2026-05-01,13559.0,13482.285
china/family/F3,2026-06-01,13559.0,13577.137
china/family/F3,2026-07-01,13619.0,13613.1875
china/family/F3,2026-08-01,13649.0,13632.068
china/family/F3,2026-09-01,14539.0,13659.697
india/family/F2B,2024-10-01,15096.0,15103.654
india/family/F2B,2024-11-01,15096.0,15090.873
india/family/F2B,2024-12-01,15096.0,15098.482
india/family/F2B,2025-01-01,15117.0,15111.566
india/family/F2B,2025-02-01,15117.0,15126.822
india/family/F2B,2025-03-01,15117.0,15139.531
india/family/F2B,2025-04-01,15178.0,15137.044
india/family/F2B,2025-05-01,15178.0,15179.124
india/family/F2B,2025-06-01,15240.0,15206.154
india/family/F2B,2025-07-01,15263.0,15256.106
india/family/F2B,2025-08-01,15263.0,14950.531
india/family/F2B,2025-09-01,15263.0,14952.434
india/family/F2B,2025-10-01,15301.0,15268.98
india/family/F2B,2025-11-01,15310.0,15286.404
india/family/F2B,2025-12-01,15310.0,15326.594
india/family/F2B,2026-01-01,15310.0,15338.681
india/family/F2B,2026-02-01,15310.0,15331.191
india/family/F2B,2026-03-01,15310.0,15327.934
india/family/F2B,2026-04-01,15482.0,15319.56
india/family/F2B,2026-05-01,15482.0,15437.59
india/family/F2B,2026-06-01,15605.0,15534.1875
