unique_id,ds,y,deepar-robust
all_chargeability/family/F2B,2024-10-01,15096.0,15092.277700662613
all_chargeability/family/F2B,2024-11-01,15096.0,15094.52118575573
all_chargeability/family/F2B,2024-12-01,15096.0,15097.934359073639
all_chargeability/family/F2B,2025-01-01,15117.0,15099.49291753769
all_chargeability/family/F2B,2025-02-01,15117.0,15130.567783355713
all_chargeability/family/F2B,2025-03-01,15117.0,15123.152875900269
all_chargeability/family/F2B,2025-04-01,15178.0,15117.110921144485
all_chargeability/family/F2B,2025-05-01,15178.0,15214.988361358643
all_chargeability/family/F2B,2025-06-01,15240.0,15192.911351203918
all_chargeability/family/F2B,2025-07-01,15263.0,15277.237781524658
all_chargeability/family/F2B,2025-08-01,15263.0,15282.802711486816
all_chargeability/family/F2B,2025-09-01,15263.0,15263.592548847198
all_chargeability/family/F2B,2025-10-01,15301.0,15257.180646896362
all_chargeability/family/F2B,2025-11-01,15310.0,15320.836820602417
all_chargeability/family/F2B,2025-12-01,15310.0,15320.206353187561
all_chargeability/family/F2B,2026-01-01,15310.0,15311.380105018616
all_chargeability/family/F2B,2026-02-01,15310.0,15306.43036031723
all_chargeability/family/F2B,2026-03-01,15310.0,15308.82294857502
all_chargeability/family/F2B,2026-04-01,15482.0,15308.112637877464
all_chargeability/family/F2B,2026-05-01,15482.0,15556.120498657227
all_chargeability/family/F2B,2026-06-01,15605.0,15505.274795532227
all_chargeability/family/F2B,2026-07-01,15666.0,15677.398735046387
all_chargeability/family/F2B,2026-08-01,15706.0,15714.09700012207
all_chargeability/family/F2B,2026-09-01,16304.0,15722.65470123291
all_chargeability/family/F3,2024-10-01,12874.0,12872.06052017212
all_chargeability/family/F3,2024-11-01,12888.0,12868.959560871124
all_chargeability/family/F3,2024-12-01,12888.0,12895.712917804718
all_chargeability/family/F3,2025-01-01,12965.0,12886.650197982788
all_chargeability/family/F3,2025-02-01,12965.0,13010.653114318848
all_chargeability/family/F3,2025-03-01,12965.0,12974.434558868408
all_chargeability/family/F3,2025-04-01,13239.0,12968.333935022354
all_chargeability/family/F3,2025-05-01,13239.0,13366.36068725586
all_chargeability/family/F3,2025-06-01,13321.0,13288.385307312012
all_chargeability/family/F3,2025-07-01,13361.0,13354.846664428711
all_chargeability/family/F3,2025-08-01,13361.0,13392.22057723999
all_chargeability/family/F3,2025-09-01,13361.0,13358.964953184128
all_chargeability/family/F3,2025-10-01,13399.0,13352.638067245483
all_chargeability/family/F3,2025-11-01,13399.0,13421.969774246216
all_chargeability/family/F3,2025-12-01,13399.0,13398.910170912743
all_chargeability/family/F3,2026-01-01,13399.0,13396.171170711517
all_chargeability/family/F3,2026-02-01,13399.0,13397.39002776146
all_chargeability/family/F3,2026-03-01,13399.0,13398.381671786308
all_chargeability/family/F3,2026-04-01,13504.0,13390.83983707428
all_chargeability/family/F3,2026-05-01,13559.0,13560.692813873291
all_chargeability/family/F3,2026-06-01,13559.0,13612.552925109863
all_chargeability/family/F3,2026-07-01,13619.0,13573.293132781982
all_chargeability/family/F3,2026-08-01,13649.0,13638.251689910889
all_chargeability/family/F3,2026-09-01,14539.0,13663.934817314148
all_chargeability/family/F4,2024-10-01,11900.0,11898.598445177078
all_chargeability/family/F4,2024-11-01,11900.0,11898.437368512154
all_chargeability/family/F4,2024-12-01,11900.0,11900.175255805254
all_chargeability/family/F4,2025-01-01,11900.0,11900.943676412106
all_chargeability/family/F4,2025-02-01,11900.0,11899.385814964771
all_chargeability/family/F4,2025-03-01,11900.0,11900.465702474117
all_chargeability/family/F4,2025-04-01,11900.0,11900.706669151783
all_chargeability/family/F4,2025-05-01,12053.0,11899.780190855265
all_chargeability/family/F4,2025-06-01,12053.0,12113.21688079834
all_chargeability/family/F4,2025-07-01,12053.0,12071.70865058899
all_chargeability/family/F4,2025-08-01,12053.0,12057.045937538147
all_chargeability/family/F4,2025-09-01,12053.0,12050.09343290329
all_chargeability/family/F4,2025-10-01,12060.0,12050.966126918793
all_chargeability/family/F4,2025-11-01,12060.0,12060.001398086548
all_chargeability/family/F4,2025-12-01,12060.0,12060.75844502449
all_chargeability/family/F4,2026-01-01,12060.0,12062.477867126465
all_chargeability/family/F4,2026-02-01,12060.0,12065.082776069641
all_chargeability/family/F4,2026-03-01,12060.0,12056.07851266861
all_chargeability/family/F4,2026-04-01,12212.0,12060.40983465314
all_chargeability/family/F4,2026-05-01,12311.0,12284.18588256836
all_chargeability/family/F4,2026-06-01,12365.0,12397.793563842773
all_chargeability/family/F4,2026-07-01,12419.0,12401.085556030273
all_chargeability/family/F4,2026-08-01,12662.0,12448.313144683838
all_chargeability/family/F4,2026-09-01,13443.0,12779.116790771484
china/family/F2B,2024-10-01,15096.0,15091.99977350235
china/family/F2B,2024-11-01,15096.0,15095.703463494778
china/family/F2B,2024-12-01,15096.0,15098.862901687622
china/family/F2B,2025-01-01,15117.0,15099.67799949646
china/family/F2B,2025-02-01,15117.0,15129.560779571533
china/family/F2B,2025-03-01,15117.0,15125.847653388977
china/family/F2B,2025-04-01,15178.0,15120.294562339783
china/family/F2B,2025-05-01,15178.0,15215.469535827637
