unique_id,ds,y,control-bitcn
all_chargeability/employment/EB3,2024-10-01,17485.0,16798.961519241333
all_chargeability/employment/EB3,2024-11-01,17485.0,17514.532316207886
all_chargeability/employment/EB3,2024-12-01,17485.0,17513.278659820557
all_chargeability/employment/EB3,2025-01-01,17501.0,17514.442443847656
all_chargeability/employment/EB3,2025-02-01,17501.0,17528.02370262146
all_chargeability/employment/EB3,2025-03-01,17501.0,17528.44340324402
all_chargeability/employment/EB3,2025-04-01,17532.0,17515.752603530884
all_chargeability/employment/EB3,2025-05-01,17532.0,17547.36599254608
all_chargeability/employment/EB3,2025-06-01,17570.0,17538.85226202011
all_chargeability/employment/EB3,2025-07-01,17622.0,17576.309834957123
all_chargeability/employment/EB3,2025-08-01,17622.0,17629.378368854523
all_chargeability/employment/EB3,2025-09-01,17622.0,17622.06730557233
all_chargeability/employment/EB3,2025-10-01,17622.0,17622.692134678364
all_chargeability/employment/EB3,2025-11-01,17622.0,17623.04482150078
all_chargeability/employment/EB3,2025-12-01,17636.0,17623.370653271675
all_chargeability/employment/EB3,2026-01-01,17643.0,17637.501472592354
all_chargeability/employment/EB3,2026-02-01,17683.0,17643.176032871008
all_chargeability/employment/EB3,2026-03-01,17805.0,17683.71441668272
all_chargeability/employment/EB3,2026-04-01,18049.0,17803.45795238018
all_chargeability/employment/EB3,2026-05-01,18049.0,18047.92596399784
all_chargeability/employment/EB3,2026-06-01,18049.0,18048.701277077198
all_chargeability/employment/EB3,2026-07-01,18110.0,18048.026779294014
all_chargeability/employment/EB3,2026-08-01,18141.0,18110.10925362259
all_chargeability/employment/EB3,2026-09-01,18141.0,18141.23025904596
all_chargeability/employment/EB3_OW,2024-10-01,16771.0,16774.780037879944
all_chargeability/employment/EB3_OW,2024-11-01,16771.0,16774.3295814991
all_chargeability/employment/EB3_OW,2024-12-01,16771.0,16774.069170475006
all_chargeability/employment/EB3_OW,2025-01-01,16778.0,16774.156054258347
all_chargeability/employment/EB3_OW,2025-02-01,16778.0,16780.618396043777
all_chargeability/employment/EB3_OW,2025-03-01,16833.0,16779.91615474224
all_chargeability/employment/EB3_OW,2025-04-01,16943.0,16834.92537200451
all_chargeability/employment/EB3_OW,2025-05-01,16943.0,16944.111141085625
all_chargeability/employment/EB3_OW,2025-06-01,16974.0,16945.728375434875
all_chargeability/employment/EB3_OW,2025-07-01,16990.0,16975.33980357647
all_chargeability/employment/EB3_OW,2025-08-01,16990.0,16991.2215924263
all_chargeability/employment/EB3_OW,2025-09-01,16990.0,16991.318338751793
all_chargeability/employment/EB3_OW,2025-10-01,16997.0,16991.092376351357
all_chargeability/employment/EB3_OW,2025-11-01,16997.0,16997.6273778677
all_chargeability/employment/EB3_OW,2025-12-01,17014.0,16997.523125827312
all_chargeability/employment/EB3_OW,2026-01-01,17045.0,17014.451782166958
all_chargeability/employment/EB3_OW,2026-02-01,17045.0,17045.55560594797
all_chargeability/employment/EB3_OW,2026-03-01,17106.0,17045.415526151657
all_chargeability/employment/EB3_OW,2026-04-01,17106.0,17106.547325968742
all_chargeability/employment/EB3_OW,2026-05-01,17198.0,17106.45177447796
all_chargeability/employment/EB3_OW,2026-06-01,17198.0,17198.603663682938
all_chargeability/employment/EB3_OW,2026-07-01,17226.0,17198.505060493946
all_chargeability/employment/EB3_OW,2026-08-01,17257.0,17226.61437124014
all_chargeability/employment/EB3_OW,2026-09-01,17257.0,17257.551193535328
all_chargeability/family/F1,2024-10-01,14904.0,14904.531038582325
all_chargeability/family/F1,2024-11-01,14904.0,14904.401985436678
all_chargeability/family/F1,2024-12-01,14904.0,14904.398412644863
all_chargeability/family/F1,2025-01-01,14935.0,14904.416097134352
all_chargeability/family/F1,2025-02-01,14935.0,14935.397679775953
all_chargeability/family/F1,2025-03-01,14935.0,14935.459461301565
all_chargeability/family/F1,2025-04-01,15049.0,14935.360568195581
