unique_id,ds,y,control-patchtst
all_chargeability/employment/EB3,2024-10-01,17485.0,16838.843841552734
all_chargeability/employment/EB3,2024-11-01,17485.0,17470.36838531494
all_chargeability/employment/EB3,2024-12-01,17485.0,17497.811628341675
all_chargeability/employment/EB3,2025-01-01,17501.0,17517.50576400757
all_chargeability/employment/EB3,2025-02-01,17501.0,17522.1457157135
all_chargeability/employment/EB3,2025-03-01,17501.0,17479.289024353027
all_chargeability/employment/EB3,2025-04-01,17532.0,17426.893196105957
all_chargeability/employment/EB3,2025-05-01,17532.0,17544.550437927246
all_chargeability/employment/EB3,2025-06-01,17570.0,17551.9910030365
all_chargeability/employment/EB3,2025-07-01,17622.0,17565.91510105133
all_chargeability/employment/EB3,2025-08-01,17622.0,17639.281106948853
all_chargeability/employment/EB3,2025-09-01,17622.0,17622.5380333066
all_chargeability/employment/EB3,2025-10-01,17622.0,17747.11309814453
all_chargeability/employment/EB3,2025-11-01,17622.0,17616.62025785446
all_chargeability/employment/EB3,2025-12-01,17636.0,17600.487810134888
all_chargeability/employment/EB3,2026-01-01,17643.0,17644.2585811615
all_chargeability/employment/EB3,2026-02-01,17683.0,17649.521015167236
all_chargeability/employment/EB3,2026-03-01,17805.0,17701.693422317505
all_chargeability/employment/EB3,2026-04-01,18049.0,17863.116832733154
all_chargeability/employment/EB3,2026-05-01,18049.0,18119.563079833984
all_chargeability/employment/EB3,2026-06-01,18049.0,18063.34376525879
all_chargeability/employment/EB3,2026-07-01,18110.0,18046.19893336296
all_chargeability/employment/EB3,2026-08-01,18141.0,18159.793922424316
all_chargeability/employment/EB3,2026-09-01,18141.0,18159.354551315308
all_chargeability/employment/EB3_OW,2024-10-01,16771.0,16757.728326797485
all_chargeability/employment/EB3_OW,2024-11-01,16771.0,16761.69615650177
all_chargeability/employment/EB3_OW,2024-12-01,16771.0,16760.54988861084
all_chargeability/employment/EB3_OW,2025-01-01,16778.0,16771.783987879753
all_chargeability/employment/EB3_OW,2025-02-01,16778.0,16764.22298526764
all_chargeability/employment/EB3_OW,2025-03-01,16833.0,16774.129596471786
all_chargeability/employment/EB3_OW,2025-04-01,16943.0,16864.4248046875
all_chargeability/employment/EB3_OW,2025-05-01,16943.0,16990.090629577637
all_chargeability/employment/EB3_OW,2025-06-01,16974.0,16943.682565033436
all_chargeability/employment/EB3_OW,2025-07-01,16990.0,17003.315603256226
all_chargeability/employment/EB3_OW,2025-08-01,16990.0,17008.660829544067
all_chargeability/employment/EB3_OW,2025-09-01,16990.0,16991.958001971245
all_chargeability/employment/EB3_OW,2025-10-01,16997.0,16997.245886802673
all_chargeability/employment/EB3_OW,2025-11-01,16997.0,17007.43073272705
all_chargeability/employment/EB3_OW,2025-12-01,17014.0,17004.159253120422
all_chargeability/employment/EB3_OW,2026-01-01,17045.0,17029.869915008545
all_chargeability/employment/EB3_OW,2026-02-01,17045.0,17070.214990615845
all_chargeability/employment/EB3_OW,2026-03-01,17106.0,17058.01901626587
all_chargeability/employment/EB3_OW,2026-04-01,17106.0,17151.189693450928
all_chargeability/employment/EB3_OW,2026-05-01,17198.0,17112.153250694275
all_chargeability/employment/EB3_OW,2026-06-01,17198.0,17226.30497932434
all_chargeability/employment/EB3_OW,2026-07-01,17226.0,17209.22595310211
all_chargeability/employment/EB3_OW,2026-08-01,17257.0,17247.884784698486
all_chargeability/employment/EB3_OW,2026-09-01,17257.0,17280.053216934204
all_chargeability/family/F1,2024-10-01,14904.0,14904.389202922583
all_chargeability/family/F1,2024-11-01,14904.0,14908.721165657043
all_chargeability/family/F1,2024-12-01,14904.0,14907.237911701202
all_chargeability/family/F1,2025-01-01,14935.0,14909.04533624649
all_chargeability/family/F1,2025-02-01,14935.0,14951.198316574097
all_chargeability/family/F1,2025-03-01,14935.0,14937.319395303726
all_chargeability/family/F1,2025-04-01,15049.0,14938.522135734558
all_chargeability/family/F1,2025-05-01,15049.0,15075.884754180908
all_chargeability/family/F1,2025-06-01,15134.0,15054.657713413239
all_chargeability/family/F1,2025-07-01,15171.0,15168.870082855225
all_chargeability/family/F1,2025-08-01,15171.0,15195.701845169067
all_chargeability/family/F1,2025-09-01,15171.0,15174.925781726837
all_chargeability/family/F1,2025-10-01,15287.0,15176.073690891266
all_chargeability/family/F1,2025-11-01,15287.0,15312.784173965454
all_chargeability/family/F1,2025-12-01,15287.0,15294.455068588257
all_chargeability/family/F1,2026-01-01,15287.0,15300.584476470947
all_chargeability/family/F1,2026-02-01,15287.0,15296.132645606995
all_chargeability/family/F1,2026-03-01,15287.0,15295.023097038269
all_chargeability/family/F1,2026-04-01,15461.0,15304.777235031128
all_chargeability/family/F1,2026-05-01,15584.0,15488.223993301392
all_chargeability/family/F1,2026-06-01,15584.0,15630.801078796387
all_chargeability/family/F1,2026-07-01,15737.0,15598.169878959656
all_chargeability/family/F1,2026-08-01,16054.0,15770.00634765625
all_chargeability/family/F1,2026-09-01,16457.0,16078.74499130249
all_chargeability/family/F2A,2024-10-01,17127.0,17215.854209899902
all_chargeability/family/F2A,2024-11-01,17167.0,17123.736095428467
all_chargeability/family/F2A,2024-12-01,17167.0,17174.225677490234
all_chargeability/family/F2A,2025-01-01,17167.0,17198.069692611694
all_chargeability/family/F2A,2025-02-01,17167.0,17166.567779541016
all_chargeability/family/F2A,2025-03-01,17167.0,17155.013820648193
all_chargeability/family/F2A,2025-04-01,17167.0,17141.1368560791
all_chargeability/family/F2A,2025-05-01,17167.0,17195.555404663086
all_chargeability/family/F2A,2025-06-01,17167.0,17183.776260375977
all_chargeability/family/F2A,2025-07-01,17410.0,17141.912929534912
all_chargeability/family/F2A,2025-08-01,17410.0,17464.759742736816
all_chargeability/family/F2A,2025-09-01,17410.0,17412.625589370728
all_chargeability/family/F2A,2025-10-01,17928.0,17418.322918891907
all_chargeability/family/F2A,2025-11-01,17928.0,18028.764030456543
all_chargeability/family/F2A,2025-12-01,17928.0,17932.144205093384
all_chargeability/family/F2A,2026-01-01,17928.0,17932.80722475052
all_chargeability/family/F2A,2026-02-01,17928.0,17927.944903999567
all_chargeability/family/F2A,2026-03-01,17928.0,17921.87303876877
all_chargeability/family/F2A,2026-04-01,17928.0,17922.797178268433
all_chargeability/family/F2A,2026-05-01,18110.0,17936.72983264923
all_chargeability/family/F2A,2026-06-01,18263.0,18234.541870117188
all_chargeability/family/F2A,2026-07-01,18263.0,18383.692825317383
all_chargeability/family/F2A,2026-08-01,18830.0,18285.5115070343
all_chargeability/family/F2A,2026-09-01,18861.0,18870.35245513916
china/employment/EB1,2024-10-01,17478.0,17478.283665180206
china/employment/EB1,2024-11-01,17478.0,17483.042759895325
china/employment/EB1,2024-12-01,17478.0,17483.26331949234
