unique_id,ds,y,deepar-legacy
all_chargeability/employment/EB3,2024-10-01,17485.0,16935.664
all_chargeability/employment/EB3,2024-11-01,17485.0,17572.055
all_chargeability/employment/EB3,2024-12-01,17485.0,17627.59
all_chargeability/employment/EB3,2025-01-01,17501.0,17542.861
all_chargeability/employment/EB3,2025-02-01,17501.0,17483.727
all_chargeability/employment/EB3,2025-03-01,17501.0,17386.45
all_chargeability/employment/EB3,2025-04-01,17532.0,17412.459
all_chargeability/employment/EB3,2025-05-01,17532.0,17465.75
all_chargeability/employment/EB3,2025-06-01,17570.0,17491.75
all_chargeability/employment/EB3,2025-07-01,17622.0,17563.44
all_chargeability/employment/EB3,2025-08-01,17622.0,17621.906
all_chargeability/employment/EB3,2025-09-01,17622.0,17623.775
all_chargeability/employment/EB3,2025-10-01,17622.0,17632.547
all_chargeability/employment/EB3,2025-11-01,17622.0,17636.527
all_chargeability/employment/EB3,2025-12-01,17636.0,17641.64
all_chargeability/employment/EB3,2026-01-01,17643.0,17633.64
all_chargeability/employment/EB3,2026-02-01,17683.0,17679.21
all_chargeability/employment/EB3,2026-03-01,17805.0,17690.998
all_chargeability/employment/EB3,2026-04-01,18049.0,17851.727
all_chargeability/employment/EB3,2026-05-01,18049.0,18141.584
all_chargeability/employment/EB3,2026-06-01,18049.0,18119.938
all_chargeability/employment/EB3,2026-07-01,18110.0,18097.512
all_chargeability/employment/EB3,2026-08-01,18141.0,18075.79
all_chargeability/employment/EB3,2026-09-01,18141.0,18128.332
all_chargeability/employment/EB3_OW,2024-10-01,16771.0,16761.54
all_chargeability/employment/EB3_OW,2024-11-01,16771.0,16774.203
all_chargeability/employment/EB3_OW,2024-12-01,16771.0,16782.453
all_chargeability/employment/EB3_OW,2025-01-01,16778.0,16783.863
all_chargeability/employment/EB3_OW,2025-02-01,16778.0,16772.22
all_chargeability/employment/EB3_OW,2025-03-01,16833.0,16785.064
all_chargeability/employment/EB3_OW,2025-04-01,16943.0,16848.475
all_chargeability/employment/EB3_OW,2025-05-01,16943.0,16974.562
all_chargeability/employment/EB3_OW,2025-06-01,16974.0,16953.016
all_chargeability/employment/EB3_OW,2025-07-01,16990.0,16975.617
all_chargeability/employment/EB3_OW,2025-08-01,16990.0,16968.973
all_chargeability/employment/EB3_OW,2025-09-01,16990.0,17000.512
all_chargeability/employment/EB3_OW,2025-10-01,16997.0,17001.416
all_chargeability/employment/EB3_OW,2025-11-01,16997.0,16944.035
all_chargeability/employment/EB3_OW,2025-12-01,17014.0,16988.61
all_chargeability/employment/EB3_OW,2026-01-01,17045.0,17001.21
all_chargeability/employment/EB3_OW,2026-02-01,17045.0,17051.602
all_chargeability/employment/EB3_OW,2026-03-01,17106.0,17055.707
all_chargeability/employment/EB3_OW,2026-04-01,17106.0,17147.934
all_chargeability/employment/EB3_OW,2026-05-01,17198.0,17134.996
all_chargeability/employment/EB3_OW,2026-06-01,17198.0,17228.502
all_chargeability/employment/EB3_OW,2026-07-01,17226.0,17204.2
all_chargeability/employment/EB3_OW,2026-08-01,17257.0,17218.973
all_chargeability/employment/EB3_OW,2026-09-01,17257.0,17251.037
all_chargeability/family/F1,2024-10-01,14904.0,14988.1
all_chargeability/family/F1,2024-11-01,14904.0,14850.723
all_chargeability/family/F1,2024-12-01,14904.0,14904.479
all_chargeability/family/F1,2025-01-01,14935.0,14906.361
all_chargeability/family/F1,2025-02-01,14935.0,14922.988
all_chargeability/family/F1,2025-03-01,14935.0,14941.247
all_chargeability/family/F1,2025-04-01,15049.0,14933.3125
all_chargeability/family/F1,2025-05-01,15049.0,15075.471
all_chargeability/family/F1,2025-06-01,15134.0,15057.066
all_chargeability/family/F1,2025-07-01,15171.0,15161.428
all_chargeability/family/F1,2025-08-01,15171.0,15244.126
all_chargeability/family/F1,2025-09-01,15171.0,15208.247
all_chargeability/family/F1,2025-10-01,15287.0,15202.568
all_chargeability/family/F1,2025-11-01,15287.0,15358.955
all_chargeability/family/F1,2025-12-01,15287.0,15322.422
all_chargeability/family/F1,2026-01-01,15287.0,15299.99
all_chargeability/family/F1,2026-02-01,15287.0,15282.4
all_chargeability/family/F1,2026-03-01,15287.0,15277.175
all_chargeability/family/F1,2026-04-01,15461.0,15284.761
all_chargeability/family/F1,2026-05-01,15584.0,15524.209
all_chargeability/family/F1,2026-06-01,15584.0,15657.841
all_chargeability/family/F1,2026-07-01,15737.0,15625.561
all_chargeability/family/F1,2026-08-01,16054.0,15790.107
all_chargeability/family/F1,2026-09-01,16457.0,16162.85
all_chargeability/family/F2A,2024-10-01,17127.0,17053.05
all_chargeability/family/F2A,2024-11-01,17167.0,16953.031
all_chargeability/family/F2A,2024-12-01,17167.0,17149.36
all_chargeability/family/F2A,2025-01-01,17167.0,17228.947
all_chargeability/family/F2A,2025-02-01,17167.0,17245.959
all_chargeability/family/F2A,2025-03-01,17167.0,17197.602
all_chargeability/family/F2A,2025-04-01,17167.0,17173.127
all_chargeability/family/F2A,2025-05-01,17167.0,17172.438
all_chargeability/family/F2A,2025-06-01,17167.0,17167.078
all_chargeability/family/F2A,2025-07-01,17410.0,17168.41
all_chargeability/family/F2A,2025-08-01,17410.0,17451.902
all_chargeability/family/F2A,2025-09-01,17410.0,17410.3
all_chargeability/family/F2A,2025-10-01,17928.0,17414.637
all_chargeability/family/F2A,2025-11-01,17928.0,17957.238
all_chargeability/family/F2A,2025-12-01,17928.0,17991.79
all_chargeability/family/F2A,2026-01-01,17928.0,17958.076
all_chargeability/family/F2A,2026-02-01,17928.0,17960.783
all_chargeability/family/F2A,2026-03-01,17928.0,17938.719
all_chargeability/family/F2A,2026-04-01,17928.0,17867.008
all_chargeability/family/F2A,2026-05-01,18110.0,17965.531
all_chargeability/family/F2A,2026-06-01,18263.0,18177.664
all_chargeability/family/F2A,2026-07-01,18263.0,18373.812
all_chargeability/family/F2A,2026-08-01,18830.0,18306.219
