unique_id,ds,y,deepar-robust-levels
all_chargeability/employment/EB3,2024-10-01,17485.0,17012.664
all_chargeability/employment/EB3,2024-11-01,17485.0,17349.742
all_chargeability/employment/EB3,2024-12-01,17485.0,17575.045
all_chargeability/employment/EB3,2025-01-01,17501.0,17521.697
all_chargeability/employment/EB3,2025-02-01,17501.0,17485.994
all_chargeability/employment/EB3,2025-03-01,17501.0,17488.809
all_chargeability/employment/EB3,2025-04-01,17532.0,17503.633
all_chargeability/employment/EB3,2025-05-01,17532.0,17539.053
all_chargeability/employment/EB3,2025-06-01,17570.0,17543.477
all_chargeability/employment/EB3,2025-07-01,17622.0,17577.887
all_chargeability/employment/EB3,2025-08-01,17622.0,17637.184
all_chargeability/employment/EB3,2025-09-01,17622.0,17646.078
all_chargeability/employment/EB3,2025-10-01,17622.0,17634.207
all_chargeability/employment/EB3,2025-11-01,17622.0,17631.736
all_chargeability/employment/EB3,2025-12-01,17636.0,17636.41
all_chargeability/employment/EB3,2026-01-01,17643.0,17646.111
all_chargeability/employment/EB3,2026-02-01,17683.0,17662.346
all_chargeability/employment/EB3,2026-03-01,17805.0,17692.545
all_chargeability/employment/EB3,2026-04-01,18049.0,17821.293
all_chargeability/employment/EB3,2026-05-01,18049.0,18056.143
all_chargeability/employment/EB3,2026-06-01,18049.0,18125.742
all_chargeability/employment/EB3,2026-07-01,18110.0,18097.434
all_chargeability/employment/EB3,2026-08-01,18141.0,18119.303
all_chargeability/employment/EB3,2026-09-01,18141.0,18161.805
all_chargeability/employment/EB3_OW,2024-10-01,16771.0,16782.34
all_chargeability/employment/EB3_OW,2024-11-01,16771.0,16774.385
all_chargeability/employment/EB3_OW,2024-12-01,16771.0,16782.842
all_chargeability/employment/EB3_OW,2025-01-01,16778.0,16782.441
all_chargeability/employment/EB3_OW,2025-02-01,16778.0,16781.783
all_chargeability/employment/EB3_OW,2025-03-01,16833.0,16784.543
all_chargeability/employment/EB3_OW,2025-04-01,16943.0,16839.941
all_chargeability/employment/EB3_OW,2025-05-01,16943.0,16958.76
all_chargeability/employment/EB3_OW,2025-06-01,16974.0,16976.39
