unique_id,ds,y,deepar-robust
all_chargeability/employment/EB3,2024-10-01,17485.0,16801.949012756348
all_chargeability/employment/EB3,2024-11-01,17485.0,17516.150466918945
all_chargeability/employment/EB3,2024-12-01,17485.0,17515.895725250244
all_chargeability/employment/EB3,2025-01-01,17501.0,17491.944304943085
all_chargeability/employment/EB3,2025-02-01,17501.0,17511.06717300415
all_chargeability/employment/EB3,2025-03-01,17501.0,17499.72302865982
all_chargeability/employment/EB3,2025-04-01,17532.0,17509.704063415527
all_chargeability/employment/EB3,2025-05-01,17532.0,17541.301233291626
all_chargeability/employment/EB3,2025-06-01,17570.0,17540.248222351074
all_chargeability/employment/EB3,2025-07-01,17622.0,17583.568959236145
all_chargeability/employment/EB3,2025-08-01,17622.0,17643.745399475098
all_chargeability/employment/EB3,2025-09-01,17622.0,17636.13161468506
all_chargeability/employment/EB3,2025-10-01,17622.0,17626.96882724762
all_chargeability/employment/EB3,2025-11-01,17622.0,17621.638200998306
all_chargeability/employment/EB3,2025-12-01,17636.0,17621.464008390903
all_chargeability/employment/EB3,2026-01-01,17643.0,17633.00915503502
all_chargeability/employment/EB3,2026-02-01,17683.0,17650.418823719025
all_chargeability/employment/EB3,2026-03-01,17805.0,17690.30859851837
all_chargeability/employment/EB3,2026-04-01,18049.0,17836.434953689575
all_chargeability/employment/EB3,2026-05-01,18049.0,18096.671447753906
all_chargeability/employment/EB3,2026-06-01,18049.0,18072.54705619812
all_chargeability/employment/EB3,2026-07-01,18110.0,18062.23069667816
all_chargeability/employment/EB3,2026-08-01,18141.0,18120.55449104309
all_chargeability/employment/EB3,2026-09-01,18141.0,18155.063367843628
all_chargeability/employment/EB3_OW,2024-10-01,16771.0,16770.027286946774
all_chargeability/employment/EB3_OW,2024-11-01,16771.0,16782.075715065002
all_chargeability/employment/EB3_OW,2024-12-01,16771.0,16783.352242469788
all_chargeability/employment/EB3_OW,2025-01-01,16778.0,16783.737540245056
all_chargeability/employment/EB3_OW,2025-02-01,16778.0,16777.49711227417
all_chargeability/employment/EB3_OW,2025-03-01,16833.0,16788.454179763794
all_chargeability/employment/EB3_OW,2025-04-01,16943.0,16862.004280090332
all_chargeability/employment/EB3_OW,2025-05-01,16943.0,16994.881561279297
all_chargeability/employment/EB3_OW,2025-06-01,16974.0,16975.52300262451
all_chargeability/employment/EB3_OW,2025-07-01,16990.0,17002.942420959473
all_chargeability/employment/EB3_OW,2025-08-01,16990.0,17007.530868530273
all_chargeability/employment/EB3_OW,2025-09-01,16990.0,17011.484045028687
all_chargeability/employment/EB3_OW,2025-10-01,16997.0,17008.330936431885
all_chargeability/employment/EB3_OW,2025-11-01,16997.0,17001.842688560486
all_chargeability/employment/EB3_OW,2025-12-01,17014.0,16999.444296598434
all_chargeability/employment/EB3_OW,2026-01-01,17045.0,17016.484601020813
all_chargeability/employment/EB3_OW,2026-02-01,17045.0,17053.752838134766
all_chargeability/employment/EB3_OW,2026-03-01,17106.0,17052.93582725525
all_chargeability/employment/EB3_OW,2026-04-01,17106.0,17124.951175689697
all_chargeability/employment/EB3_OW,2026-05-01,17198.0,17121.224472999573
all_chargeability/employment/EB3_OW,2026-06-01,17198.0,17223.011754989624
all_chargeability/employment/EB3_OW,2026-07-01,17226.0,17214.439205169678
all_chargeability/employment/EB3_OW,2026-08-01,17257.0,17239.85180091858
all_chargeability/employment/EB3_OW,2026-09-01,17257.0,17269.839282989502
all_chargeability/family/F1,2024-10-01,14904.0,14931.383247375488
all_chargeability/family/F1,2024-11-01,14904.0,14901.936266899109
all_chargeability/family/F1,2024-12-01,14904.0,14910.046154022217
all_chargeability/family/F1,2025-01-01,14935.0,14909.55269908905
all_chargeability/family/F1,2025-02-01,14935.0,14936.257988929749
all_chargeability/family/F1,2025-03-01,14935.0,14945.639705657959
all_chargeability/family/F1,2025-04-01,15049.0,14942.109044075012
all_chargeability/family/F1,2025-05-01,15049.0,15079.958200454712
all_chargeability/family/F1,2025-06-01,15134.0,15068.32091331482
all_chargeability/family/F1,2025-07-01,15171.0,15163.526113510132
all_chargeability/family/F1,2025-08-01,15171.0,15220.454109191895
all_chargeability/family/F1,2025-09-01,15171.0,15196.300380706787
all_chargeability/family/F1,2025-10-01,15287.0,15186.96114063263
all_chargeability/family/F1,2025-11-01,15287.0,15327.359588623047
all_chargeability/family/F1,2025-12-01,15287.0,15314.445983886719
all_chargeability/family/F1,2026-01-01,15287.0,15305.04055404663
all_chargeability/family/F1,2026-02-01,15287.0,15295.95316028595
all_chargeability/family/F1,2026-03-01,15287.0,15289.885666370392
all_chargeability/family/F1,2026-04-01,15461.0,15289.357721805573
all_chargeability/family/F1,2026-05-01,15584.0,15501.025077819824
all_chargeability/family/F1,2026-06-01,15584.0,15637.985786437988
all_chargeability/family/F1,2026-07-01,15737.0,15623.01252746582
all_chargeability/family/F1,2026-08-01,16054.0,15787.990364074707
all_chargeability/family/F1,2026-09-01,16457.0,16165.059295654297
all_chargeability/family/F2A,2024-10-01,17127.0,17153.42710876465
all_chargeability/family/F2A,2024-11-01,17167.0,17135.61184501648
all_chargeability/family/F2A,2024-12-01,17167.0,17192.093864440918
all_chargeability/family/F2A,2025-01-01,17167.0,17195.051456451416
all_chargeability/family/F2A,2025-02-01,17167.0,17193.262311935425
all_chargeability/family/F2A,2025-03-01,17167.0,17184.134517669678
all_chargeability/family/F2A,2025-04-01,17167.0,17177.62355041504
all_chargeability/family/F2A,2025-05-01,17167.0,17175.749658584595
all_chargeability/family/F2A,2025-06-01,17167.0,17173.931414604187
