unique_id,ds,y,BiTCN
all_chargeability/family/F1,2024-08-01,14904.0,14941.13338470459
all_chargeability/family/F1,2024-09-01,14904.0,14903.668759346008
all_chargeability/family/F1,2024-10-01,14904.0,14898.985221862793
all_chargeability/family/F1,2024-11-01,14904.0,14900.785675048828
all_chargeability/family/F1,2024-12-01,14904.0,14905.806807994843
all_chargeability/family/F1,2025-01-01,14935.0,14905.894763469696
all_chargeability/family/F1,2025-02-01,14935.0,14958.95853805542
all_chargeability/family/F1,2025-03-01,14935.0,14939.67580461502
all_chargeability/family/F1,2025-04-01,15049.0,14935.394450187683
all_chargeability/family/F1,2025-05-01,15049.0,15086.94351196289
all_chargeability/family/F1,2025-06-01,15134.0,15051.162237167358
all_chargeability/family/F1,2025-07-01,15171.0,15169.424263000488
all_chargeability/family/F1,2025-08-01,15171.0,15200.492809295654
all_chargeability/family/F1,2025-09-01,15171.0,15170.141496658325
all_chargeability/family/F1,2025-10-01,15287.0,15168.759742736816
all_chargeability/family/F1,2025-11-01,15287.0,15338.106483459473
all_chargeability/family/F1,2025-12-01,15287.0,15293.412992477417
all_chargeability/family/F1,2026-01-01,15287.0,15284.90573310852
all_chargeability/family/F1,2026-02-01,15287.0,15273.338510513306
all_chargeability/family/F1,2026-03-01,15287.0,15287.915393829346
all_chargeability/family/F1,2026-04-01,15461.0,15280.656261444092
all_chargeability/family/F1,2026-05-01,15584.0,15513.34088897705
all_chargeability/family/F1,2026-06-01,15584.0,15678.738479614258
all_chargeability/family/F1,2026-07-01,15737.0,15597.03662109375
all_chargeability/family/F2A,2024-08-01,17120.0,17160.572582244873
all_chargeability/family/F2A,2024-09-01,17120.0,17136.707801818848
all_chargeability/family/F2A,2024-10-01,17127.0,17126.18585205078
all_chargeability/family/F2A,2024-11-01,17167.0,17137.048502922058
all_chargeability/family/F2A,2024-12-01,17167.0,17211.81329345703
all_chargeability/family/F2A,2025-01-01,17167.0,17191.044174194336
all_chargeability/family/F2A,2025-02-01,17167.0,17174.37393951416
all_chargeability/family/F2A,2025-03-01,17167.0,17175.54732322693
all_chargeability/family/F2A,2025-04-01,17167.0,17170.99437904358
all_chargeability/family/F2A,2025-05-01,17167.0,17165.15124130249
all_chargeability/family/F2A,2025-06-01,17167.0,17166.87971305847
all_chargeability/family/F2A,2025-07-01,17410.0,17164.405614852905
all_chargeability/family/F2A,2025-08-01,17410.0,17516.326301574707
all_chargeability/family/F2A,2025-09-01,17410.0,17435.128030776978
all_chargeability/family/F2A,2025-10-01,17928.0,17410.671562194824
all_chargeability/family/F2A,2025-11-01,17928.0,18105.138702392578
all_chargeability/family/F2A,2025-12-01,17928.0,17924.401725769043
all_chargeability/family/F2A,2026-01-01,17928.0,17922.41304397583
all_chargeability/family/F2A,2026-02-01,17928.0,17934.76986694336
all_chargeability/family/F2A,2026-03-01,17928.0,17940.54676437378
all_chargeability/family/F2A,2026-04-01,17928.0,17930.446453094482
all_chargeability/family/F2A,2026-05-01,18110.0,17934.047746658325
all_chargeability/family/F2A,2026-06-01,18263.0,18224.411529541016
all_chargeability/family/F2A,2026-07-01,18263.0,18402.27281188965
all_chargeability/family/F2B,2024-08-01,15096.0,15113.295923233032
all_chargeability/family/F2B,2024-09-01,15096.0,15096.110954761505
all_chargeability/family/F2B,2024-10-01,15096.0,15095.76120376587
all_chargeability/family/F2B,2024-11-01,15096.0,15096.079068660736
all_chargeability/family/F2B,2024-12-01,15096.0,15098.268226385117
all_chargeability/family/F2B,2025-01-01,15117.0,15096.519548892975
all_chargeability/family/F2B,2025-02-01,15117.0,15132.09601688385
all_chargeability/family/F2B,2025-03-01,15117.0,15120.32686829567
all_chargeability/family/F2B,2025-04-01,15178.0,15117.188393115997
all_chargeability/family/F2B,2025-05-01,15178.0,15201.756231307983
all_chargeability/family/F2B,2025-06-01,15240.0,15178.153438568115
all_chargeability/family/F2B,2025-07-01,15263.0,15263.748119354248
all_chargeability/family/F2B,2025-08-01,15263.0,15282.276287078857
