unique_id,ds,y,AutoBiTCN
all_chargeability/family/F1,2024-08-01,14904.0,14911.145458221436
all_chargeability/family/F1,2024-09-01,14904.0,14910.206599235535
all_chargeability/family/F1,2024-10-01,14904.0,14903.095079123974
all_chargeability/family/F1,2024-11-01,14904.0,14903.042482197285
all_chargeability/family/F1,2024-12-01,14904.0,14901.916621208191
all_chargeability/family/F1,2025-01-01,14935.0,14902.140672206879
all_chargeability/family/F1,2025-02-01,14935.0,14936.948394060135
all_chargeability/family/F1,2025-03-01,14935.0,14937.161257266998
all_chargeability/family/F1,2025-04-01,15049.0,14934.93183413893
all_chargeability/family/F1,2025-05-01,15049.0,15056.732012748718
all_chargeability/family/F1,2025-06-01,15134.0,15052.807747602463
all_chargeability/family/F1,2025-07-01,15171.0,15139.368486404419
all_chargeability/family/F1,2025-08-01,15171.0,15179.261629104614
all_chargeability/family/F1,2025-09-01,15171.0,15170.035816848278
all_chargeability/family/F1,2025-10-01,15287.0,15167.836319446564
all_chargeability/family/F1,2025-11-01,15287.0,15291.152992248535
all_chargeability/family/F1,2025-12-01,15287.0,15288.85363805294
all_chargeability/family/F1,2026-01-01,15287.0,15285.19736790657
all_chargeability/family/F1,2026-02-01,15287.0,15288.738369822502
all_chargeability/family/F1,2026-03-01,15287.0,15284.650430440903
all_chargeability/family/F1,2026-04-01,15461.0,15283.036487340927
all_chargeability/family/F1,2026-05-01,15584.0,15468.531370162964
all_chargeability/family/F1,2026-06-01,15584.0,15597.755306243896
all_chargeability/family/F1,2026-07-01,15737.0,15590.98087978363
all_chargeability/family/F2A,2024-08-01,17120.0,17176.303009033203
all_chargeability/family/F2A,2024-09-01,17120.0,17136.70051383972
all_chargeability/family/F2A,2024-10-01,17127.0,17123.690409183502
all_chargeability/family/F2A,2024-11-01,17167.0,17126.66175341606
all_chargeability/family/F2A,2024-12-01,17167.0,17173.421092510223
all_chargeability/family/F2A,2025-01-01,17167.0,17176.409447669983
all_chargeability/family/F2A,2025-02-01,17167.0,17172.562747001648
all_chargeability/family/F2A,2025-03-01,17167.0,17171.399879455566
all_chargeability/family/F2A,2025-04-01,17167.0,17156.54193687439
all_chargeability/family/F2A,2025-05-01,17167.0,17158.763696670532
all_chargeability/family/F2A,2025-06-01,17167.0,17160.33131504059
all_chargeability/family/F2A,2025-07-01,17410.0,17160.68386554718
all_chargeability/family/F2A,2025-08-01,17410.0,17420.1961479187
all_chargeability/family/F2A,2025-09-01,17410.0,17418.258423805237
all_chargeability/family/F2A,2025-10-01,17928.0,17410.342276990414
all_chargeability/family/F2A,2025-11-01,17928.0,17956.070667266846
all_chargeability/family/F2A,2025-12-01,17928.0,17941.228573799133
all_chargeability/family/F2A,2026-01-01,17928.0,17929.44102358818
all_chargeability/family/F2A,2026-02-01,17928.0,17934.866330623627
all_chargeability/family/F2A,2026-03-01,17928.0,17923.716928958893
all_chargeability/family/F2A,2026-04-01,17928.0,17918.16966342926
all_chargeability/family/F2A,2026-05-01,18110.0,17926.208948731422
all_chargeability/family/F2A,2026-06-01,18263.0,18124.355887413025
all_chargeability/family/F2A,2026-07-01,18263.0,18285.94375228882
all_chargeability/family/F2B,2024-08-01,15096.0,15098.988362073898
all_chargeability/family/F2B,2024-09-01,15096.0,15098.697311878204
all_chargeability/family/F2B,2024-10-01,15096.0,15094.811289072037
all_chargeability/family/F2B,2024-11-01,15096.0,15094.953696250916
all_chargeability/family/F2B,2024-12-01,15096.0,15094.967900276184
all_chargeability/family/F2B,2025-01-01,15117.0,15095.440414965153
all_chargeability/family/F2B,2025-02-01,15117.0,15118.514553308487
all_chargeability/family/F2B,2025-03-01,15117.0,15118.330164551735
all_chargeability/family/F2B,2025-04-01,15178.0,15116.765378132463
all_chargeability/family/F2B,2025-05-01,15178.0,15182.587567329407
all_chargeability/family/F2B,2025-06-01,15240.0,15179.952081084251
all_chargeability/family/F2B,2025-07-01,15263.0,15243.71149468422
all_chargeability/family/F2B,2025-08-01,15263.0,15268.353083133698
all_chargeability/family/F2B,2025-09-01,15263.0,15262.451592504978
all_chargeability/family/F2B,2025-10-01,15301.0,15261.144442677498
all_chargeability/family/F2B,2025-11-01,15310.0,15301.751119315624
all_chargeability/family/F2B,2025-12-01,15310.0,15310.998530566692
all_chargeability/family/F2B,2026-01-01,15310.0,15309.398186087608
all_chargeability/family/F2B,2026-02-01,15310.0,15310.736992657185
all_chargeability/family/F2B,2026-03-01,15310.0,15309.094930231571
all_chargeability/family/F2B,2026-04-01,15482.0,15307.88787651062
all_chargeability/family/F2B,2026-05-01,15482.0,15488.898881912231
all_chargeability/family/F2B,2026-06-01,15605.0,15487.755473136902
all_chargeability/family/F2B,2026-07-01,15666.0,15613.370761871338
all_chargeability/family/F3,2024-08-01,12874.0,12877.673887014389
all_chargeability/family/F3,2024-09-01,12874.0,12875.730174541473
all_chargeability/family/F3,2024-10-01,12874.0,12872.768374919891
all_chargeability/family/F3,2024-11-01,12888.0,12870.981434106827
all_chargeability/family/F3,2024-12-01,12888.0,12885.561141729355
all_chargeability/family/F3,2025-01-01,12965.0,12886.435160636902
all_chargeability/family/F3,2025-02-01,12965.0,12969.057444095612
all_chargeability/family/F3,2025-03-01,12965.0,12968.359324455261
all_chargeability/family/F3,2025-04-01,13239.0,12963.798142790794
all_chargeability/family/F3,2025-05-01,13239.0,13252.002442359924
all_chargeability/family/F3,2025-06-01,13321.0,13244.215926647186
all_chargeability/family/F3,2025-07-01,13361.0,13324.387803077698
all_chargeability/family/F3,2025-08-01,13361.0,13369.4915933609
all_chargeability/family/F3,2025-09-01,13361.0,13358.608076334
