unique_id,ds,y,AutoBiTCN
all_chargeability/family/F1,2024-08-01,14904.0,14936.2038230896
all_chargeability/family/F1,2024-09-01,14904.0,14916.901366233826
all_chargeability/family/F1,2024-10-01,14904.0,14909.889960289001
all_chargeability/family/F1,2024-11-01,14904.0,14899.726068973541
all_chargeability/family/F1,2024-12-01,14904.0,14904.68726581335
all_chargeability/family/F1,2025-01-01,14935.0,14903.220525979996
all_chargeability/family/F1,2025-02-01,14935.0,14946.255458831787
all_chargeability/family/F1,2025-03-01,14935.0,14942.427791118622
all_chargeability/family/F1,2025-04-01,15049.0,14938.771166563034
all_chargeability/family/F1,2025-05-01,15049.0,15078.318899154663
all_chargeability/family/F1,2025-06-01,15134.0,15067.248538970947
all_chargeability/family/F1,2025-07-01,15171.0,15160.645084381104
all_chargeability/family/F1,2025-08-01,15171.0,15192.754056930542
all_chargeability/family/F1,2025-09-01,15171.0,15181.939845085144
all_chargeability/family/F1,2025-10-01,15287.0,15164.954926490784
all_chargeability/family/F1,2025-11-01,15287.0,15315.901082992554
all_chargeability/family/F1,2025-12-01,15287.0,15300.807417869568
all_chargeability/family/F1,2026-01-01,15287.0,15289.225491285324
all_chargeability/family/F1,2026-02-01,15287.0,15287.477427184582
all_chargeability/family/F1,2026-03-01,15287.0,15290.477952480316
all_chargeability/family/F1,2026-04-01,15461.0,15283.24565410614
all_chargeability/family/F1,2026-05-01,15584.0,15501.040344238281
all_chargeability/family/F1,2026-06-01,15584.0,15637.61120223999
all_chargeability/family/F1,2026-07-01,15737.0,15608.656387329102
all_chargeability/family/F2A,2024-08-01,17120.0,17175.527767181396
all_chargeability/family/F2A,2024-09-01,17120.0,17143.96671485901
all_chargeability/family/F2A,2024-10-01,17127.0,17131.698685646057
all_chargeability/family/F2A,2024-11-01,17167.0,17130.437276124954
all_chargeability/family/F2A,2024-12-01,17167.0,17184.657512664795
all_chargeability/family/F2A,2025-01-01,17167.0,17172.81963634491
all_chargeability/family/F2A,2025-02-01,17167.0,17172.75756263733
all_chargeability/family/F2A,2025-03-01,17167.0,17167.66133260727
all_chargeability/family/F2A,2025-04-01,17167.0,17162.667982578278
