unique_id,ds,y,AutoNHITS
all_chargeability/family/F1,2024-08-01,14904.0,14954.612411499023
all_chargeability/family/F1,2024-09-01,14904.0,14903.52830991149
all_chargeability/family/F1,2024-10-01,14904.0,14898.931886196136
all_chargeability/family/F1,2024-11-01,14904.0,14899.458768367767
all_chargeability/family/F1,2024-12-01,14904.0,14903.640319287777
all_chargeability/family/F1,2025-01-01,14935.0,14908.650664806366
all_chargeability/family/F1,2025-02-01,14935.0,14974.11637878418
all_chargeability/family/F1,2025-03-01,14935.0,14944.844646453857
all_chargeability/family/F1,2025-04-01,15049.0,14936.86407673359
all_chargeability/family/F1,2025-05-01,15049.0,15102.855480194092
all_chargeability/family/F1,2025-06-01,15134.0,15058.612790107727
all_chargeability/family/F1,2025-07-01,15171.0,15175.251243591309
all_chargeability/family/F1,2025-08-01,15171.0,15212.200050354004
all_chargeability/family/F1,2025-09-01,15171.0,15167.874445199966
all_chargeability/family/F1,2025-10-01,15287.0,15167.371394634247
all_chargeability/family/F1,2025-11-01,15287.0,15364.674812316895
all_chargeability/family/F1,2025-12-01,15287.0,15299.283725738525
all_chargeability/family/F1,2026-01-01,15287.0,15296.55788230896
all_chargeability/family/F1,2026-02-01,15287.0,15290.19285440445
all_chargeability/family/F1,2026-03-01,15287.0,15290.475080490112
all_chargeability/family/F1,2026-04-01,15461.0,15280.265142917633
all_chargeability/family/F1,2026-05-01,15584.0,15530.007064819336
all_chargeability/family/F1,2026-06-01,15584.0,15701.023902893066
all_chargeability/family/F1,2026-07-01,15737.0,15605.106914520264
all_chargeability/family/F2A,2024-08-01,17120.0,17127.8876953125
all_chargeability/family/F2A,2024-09-01,17120.0,17107.614528656006
all_chargeability/family/F2A,2024-10-01,17127.0,17145.316688537598
all_chargeability/family/F2A,2024-11-01,17167.0,17172.88561630249
all_chargeability/family/F2A,2024-12-01,17167.0,17180.46167564392
all_chargeability/family/F2A,2025-01-01,17167.0,17150.423734664917
all_chargeability/family/F2A,2025-02-01,17167.0,17182.888050079346
all_chargeability/family/F2A,2025-03-01,17167.0,17171.694725990295
all_chargeability/family/F2A,2025-04-01,17167.0,17142.00366973877
all_chargeability/family/F2A,2025-05-01,17167.0,17137.5922870636
all_chargeability/family/F2A,2025-06-01,17167.0,17167.79016518593
all_chargeability/family/F2A,2025-07-01,17410.0,17177.91823196411
all_chargeability/family/F2A,2025-08-01,17410.0,17605.152404785156
all_chargeability/family/F2A,2025-09-01,17410.0,17423.01585674286
all_chargeability/family/F2A,2025-10-01,17928.0,17421.230256080627
all_chargeability/family/F2A,2025-11-01,17928.0,18254.511138916016
all_chargeability/family/F2A,2025-12-01,17928.0,17947.56724357605
all_chargeability/family/F2A,2026-01-01,17928.0,17955.109888076782
all_chargeability/family/F2A,2026-02-01,17928.0,17913.213654518127
all_chargeability/family/F2A,2026-03-01,17928.0,17945.80704498291
all_chargeability/family/F2A,2026-04-01,17928.0,17914.370798110962
all_chargeability/family/F2A,2026-05-01,18110.0,17936.662569999695
all_chargeability/family/F2A,2026-06-01,18263.0,18259.998443603516
all_chargeability/family/F2A,2026-07-01,18263.0,18409.333114624023
all_chargeability/family/F2B,2024-08-01,15096.0,15116.870082855225
all_chargeability/family/F2B,2024-09-01,15096.0,15096.204658061266
all_chargeability/family/F2B,2024-10-01,15096.0,15098.316876411438
all_chargeability/family/F2B,2024-11-01,15096.0,15100.191352844238
all_chargeability/family/F2B,2024-12-01,15096.0,15099.017148256302
all_chargeability/family/F2B,2025-01-01,15117.0,15099.787775039673
all_chargeability/family/F2B,2025-02-01,15117.0,15141.72873878479
all_chargeability/family/F2B,2025-03-01,15117.0,15120.544380664825
all_chargeability/family/F2B,2025-04-01,15178.0,15117.830235660076
all_chargeability/family/F2B,2025-05-01,15178.0,15223.612934112549
all_chargeability/family/F2B,2025-06-01,15240.0,15180.042451620102
all_chargeability/family/F2B,2025-07-01,15263.0,15274.02490234375
all_chargeability/family/F2B,2025-08-01,15263.0,15290.749872207642
all_chargeability/family/F2B,2025-09-01,15263.0,15262.806817129254
all_chargeability/family/F2B,2025-10-01,15301.0,15261.473030686378
all_chargeability/family/F2B,2025-11-01,15310.0,15335.208312988281
all_chargeability/family/F2B,2025-12-01,15310.0,15326.713348388672
all_chargeability/family/F2B,2026-01-01,15310.0,15317.658174991608
all_chargeability/family/F2B,2026-02-01,15310.0,15309.65699365735
all_chargeability/family/F2B,2026-03-01,15310.0,15310.551055669785
all_chargeability/family/F2B,2026-04-01,15482.0,15305.203026294708
all_chargeability/family/F2B,2026-05-01,15482.0,15515.450698852539
all_chargeability/family/F2B,2026-06-01,15605.0,15490.15283870697
all_chargeability/family/F2B,2026-07-01,15666.0,15679.748733520508
all_chargeability/family/F3,2024-08-01,12874.0,12901.245986938477
all_chargeability/family/F3,2024-09-01,12874.0,12877.520040273666
all_chargeability/family/F3,2024-10-01,12874.0,12874.307298153639
all_chargeability/family/F3,2024-11-01,12888.0,12877.101123809814
all_chargeability/family/F3,2024-12-01,12888.0,12909.820363998413
all_chargeability/family/F3,2025-01-01,12965.0,12896.866638183594
all_chargeability/family/F3,2025-02-01,12965.0,13044.013542175293
all_chargeability/family/F3,2025-03-01,12965.0,12969.689959049225
all_chargeability/family/F3,2025-04-01,13239.0,12966.180178880692
all_chargeability/family/F3,2025-05-01,13239.0,13344.017166137695
all_chargeability/family/F3,2025-06-01,13321.0,13254.089002609253
all_chargeability/family/F3,2025-07-01,13361.0,13385.020721435547
all_chargeability/family/F3,2025-08-01,13361.0,13378.934656143188
all_chargeability/family/F3,2025-09-01,13361.0,13360.62763401866
all_chargeability/family/F3,2025-10-01,13399.0,13358.273859262466
all_chargeability/family/F3,2025-11-01,13399.0,13449.224262237549
all_chargeability/family/F3,2025-12-01,13399.0,13409.989631652832
all_chargeability/family/F3,2026-01-01,13399.0,13404.781574249268
all_chargeability/family/F3,2026-02-01,13399.0,13400.751205682755
all_chargeability/family/F3,2026-03-01,13399.0,13399.362943649292
all_chargeability/family/F3,2026-04-01,13504.0,13393.429757595062
all_chargeability/family/F3,2026-05-01,13559.0,13574.363609313965
all_chargeability/family/F3,2026-06-01,13559.0,13611.367210388184
all_chargeability/family/F3,2026-07-01,13619.0,13571.95002746582
all_chargeability/family/F4,2024-08-01,11900.0,11904.96245098114
all_chargeability/family/F4,2024-09-01,11900.0,11896.353332996368
all_chargeability/family/F4,2024-10-01,11900.0,11898.593902468681
all_chargeability/family/F4,2024-11-01,11900.0,11899.259876668453
all_chargeability/family/F4,2024-12-01,11900.0,11902.15959596634
all_chargeability/family/F4,2025-01-01,11900.0,11902.34299826622
all_chargeability/family/F4,2025-02-01,11900.0,11902.487354516983
all_chargeability/family/F4,2025-03-01,11900.0,11901.939701199532
all_chargeability/family/F4,2025-04-01,11900.0,11899.400990664959
all_chargeability/family/F4,2025-05-01,12053.0,11899.373628914356
all_chargeability/family/F4,2025-06-01,12053.0,12090.683460235596
all_chargeability/family/F4,2025-07-01,12053.0,12062.617886543274
all_chargeability/family/F4,2025-08-01,12053.0,12052.847734585404
all_chargeability/family/F4,2025-09-01,12053.0,12051.462706804276
all_chargeability/family/F4,2025-10-01,12060.0,12055.631974458694
all_chargeability/family/F4,2025-11-01,12060.0,12064.243305683136
all_chargeability/family/F4,2025-12-01,12060.0,12061.279153347015
all_chargeability/family/F4,2026-01-01,12060.0,12062.305234909058
all_chargeability/family/F4,2026-02-01,12060.0,12060.523705542088
all_chargeability/family/F4,2026-03-01,12060.0,12058.19247686863
all_chargeability/family/F4,2026-04-01,12212.0,12061.678972005844
all_chargeability/family/F4,2026-05-01,12311.0,12260.063007354736
all_chargeability/family/F4,2026-06-01,12365.0,12402.995903015137
all_chargeability/family/F4,2026-07-01,12419.0,12412.617511749268
china/family/F1,2024-08-01,14904.0,14954.612411499023
china/family/F1,2024-09-01,14904.0,14903.52830991149
china/family/F1,2024-10-01,14904.0,14898.931886196136
china/family/F1,2024-11-01,14904.0,14899.458768367767
china/family/F1,2024-12-01,14904.0,14903.640319287777
china/family/F1,2025-01-01,14935.0,14908.650664806366
china/family/F1,2025-02-01,14935.0,14974.11637878418
china/family/F1,2025-03-01,14935.0,14944.844646453857
