unique_id,ds,y,AutoBiTCN
all_chargeability/family/F1,2024-08-01,14904.0,14935.590999603271
all_chargeability/family/F1,2024-09-01,14904.0,14917.348932266235
all_chargeability/family/F1,2024-10-01,14904.0,14911.56942987442
all_chargeability/family/F1,2024-11-01,14904.0,14898.216365814209
all_chargeability/family/F1,2024-12-01,14904.0,14899.551343917847
all_chargeability/family/F1,2025-01-01,14935.0,14899.439724445343
all_chargeability/family/F1,2025-02-01,14935.0,14941.93061542511
all_chargeability/family/F1,2025-03-01,14935.0,14941.536666870117
all_chargeability/family/F1,2025-04-01,15049.0,14941.068818569183
all_chargeability/family/F1,2025-05-01,15049.0,15074.587329864502
all_chargeability/family/F1,2025-06-01,15134.0,15066.138862609863
all_chargeability/family/F1,2025-07-01,15171.0,15157.63892173767
all_chargeability/family/F1,2025-08-01,15171.0,15193.152673721313
all_chargeability/family/F1,2025-09-01,15171.0,15180.357563018799
all_chargeability/family/F1,2025-10-01,15287.0,15164.88461446762
all_chargeability/family/F1,2025-11-01,15287.0,15310.299806594849
all_chargeability/family/F1,2025-12-01,15287.0,15298.651748657227
all_chargeability/family/F1,2026-01-01,15287.0,15291.271964073181
all_chargeability/family/F1,2026-02-01,15287.0,15287.1326905936
all_chargeability/family/F1,2026-03-01,15287.0,15288.48119521141
all_chargeability/family/F1,2026-04-01,15461.0,15281.98456287384
all_chargeability/family/F1,2026-05-01,15584.0,15490.355236053467
all_chargeability/family/F1,2026-06-01,15584.0,15631.066047668457
all_chargeability/family/F1,2026-07-01,15737.0,15613.132442474365
all_chargeability/family/F2A,2024-08-01,17120.0,17186.64430999756
all_chargeability/family/F2A,2024-09-01,17120.0,17129.355127334595
all_chargeability/family/F2A,2024-10-01,17127.0,17111.69069671631
all_chargeability/family/F2A,2024-11-01,17167.0,17134.999306201935
all_chargeability/family/F2A,2024-12-01,17167.0,17179.482922554016
all_chargeability/family/F2A,2025-01-01,17167.0,17168.30038690567
all_chargeability/family/F2A,2025-02-01,17167.0,17167.836351394653
all_chargeability/family/F2A,2025-03-01,17167.0,17171.36469745636
all_chargeability/family/F2A,2025-04-01,17167.0,17166.603675931692
all_chargeability/family/F2A,2025-05-01,17167.0,17156.194625854492
all_chargeability/family/F2A,2025-06-01,17167.0,17159.477380275726
all_chargeability/family/F2A,2025-07-01,17410.0,17162.140367507935
all_chargeability/family/F2A,2025-08-01,17410.0,17454.402908325195
all_chargeability/family/F2A,2025-09-01,17410.0,17438.94082069397
all_chargeability/family/F2A,2025-10-01,17928.0,17424.129452705383
all_chargeability/family/F2A,2025-11-01,17928.0,18021.9164352417
all_chargeability/family/F2A,2025-12-01,17928.0,17987.349208831787
all_chargeability/family/F2A,2026-01-01,17928.0,17947.43208694458
all_chargeability/family/F2A,2026-02-01,17928.0,17920.93972158432
all_chargeability/family/F2A,2026-03-01,17928.0,17928.56261354685
all_chargeability/family/F2A,2026-04-01,17928.0,17907.072620391846
all_chargeability/family/F2A,2026-05-01,18110.0,17921.458907604218
all_chargeability/family/F2A,2026-06-01,18263.0,18161.31360244751
all_chargeability/family/F2A,2026-07-01,18263.0,18330.99444580078
all_chargeability/family/F2B,2024-08-01,15096.0,15112.250345230103
all_chargeability/family/F2B,2024-09-01,15096.0,15098.308420181274
all_chargeability/family/F2B,2024-10-01,15096.0,15097.634141921997
all_chargeability/family/F2B,2024-11-01,15096.0,15091.657492637634
all_chargeability/family/F2B,2024-12-01,15096.0,15092.63297200203
all_chargeability/family/F2B,2025-01-01,15117.0,15094.856822371483
all_chargeability/family/F2B,2025-02-01,15117.0,15123.076808452606
all_chargeability/family/F2B,2025-03-01,15117.0,15121.873961925507
all_chargeability/family/F2B,2025-04-01,15178.0,15121.437616348267
all_chargeability/family/F2B,2025-05-01,15178.0,15191.869597434998
all_chargeability/family/F2B,2025-06-01,15240.0,15188.035639762878
all_chargeability/family/F2B,2025-07-01,15263.0,15256.22869682312
