unique_id,ds,y,BiTCN
all_chargeability/family/F1,2024-08-01,14904.0,14934.198261260986
all_chargeability/family/F1,2024-09-01,14904.0,14902.110140800476
all_chargeability/family/F1,2024-10-01,14904.0,14898.728262901306
all_chargeability/family/F1,2024-11-01,14904.0,14901.615285873413
all_chargeability/family/F1,2024-12-01,14904.0,14902.024448394775
all_chargeability/family/F1,2025-01-01,14935.0,14903.464393615723
all_chargeability/family/F1,2025-02-01,14935.0,14956.441734313965
all_chargeability/family/F1,2025-03-01,14935.0,14937.368753433228
all_chargeability/family/F1,2025-04-01,15049.0,14932.358617782593
all_chargeability/family/F1,2025-05-01,15049.0,15077.423110961914
all_chargeability/family/F1,2025-06-01,15134.0,15044.74810218811
all_chargeability/family/F1,2025-07-01,15171.0,15160.514850616455
all_chargeability/family/F1,2025-08-01,15171.0,15195.185787200928
all_chargeability/family/F1,2025-09-01,15171.0,15170.84380531311
all_chargeability/family/F1,2025-10-01,15287.0,15168.596450805664
all_chargeability/family/F1,2025-11-01,15287.0,15322.248748779297
all_chargeability/family/F1,2025-12-01,15287.0,15285.219741821289
all_chargeability/family/F1,2026-01-01,15287.0,15285.547618865967
all_chargeability/family/F1,2026-02-01,15287.0,15278.00923538208
all_chargeability/family/F1,2026-03-01,15287.0,15283.296022415161
all_chargeability/family/F1,2026-04-01,15461.0,15282.982118606567
all_chargeability/family/F1,2026-05-01,15584.0,15508.370979309082
all_chargeability/family/F1,2026-06-01,15584.0,15668.040451049805
all_chargeability/family/F1,2026-07-01,15737.0,15592.428586959839
all_chargeability/family/F2A,2024-08-01,17120.0,17168.86050415039
all_chargeability/family/F2A,2024-09-01,17120.0,17129.21551322937
all_chargeability/family/F2A,2024-10-01,17127.0,17125.463051319122
all_chargeability/family/F2A,2024-11-01,17167.0,17129.76128435135
all_chargeability/family/F2A,2024-12-01,17167.0,17197.997074127197
all_chargeability/family/F2A,2025-01-01,17167.0,17186.13617706299
all_chargeability/family/F2A,2025-02-01,17167.0,17166.200369119644
all_chargeability/family/F2A,2025-03-01,17167.0,17166.455875992775
all_chargeability/family/F2A,2025-04-01,17167.0,17167.888969659805
all_chargeability/family/F2A,2025-05-01,17167.0,17152.500776290894
all_chargeability/family/F2A,2025-06-01,17167.0,17163.264785289764
all_chargeability/family/F2A,2025-07-01,17410.0,17159.527629852295
all_chargeability/family/F2A,2025-08-01,17410.0,17524.698097229004
all_chargeability/family/F2A,2025-09-01,17410.0,17435.10357093811
all_chargeability/family/F2A,2025-10-01,17928.0,17416.174807548523
all_chargeability/family/F2A,2025-11-01,17928.0,18124.516983032227
all_chargeability/family/F2A,2025-12-01,17928.0,17949.811599731445
all_chargeability/family/F2A,2026-01-01,17928.0,17924.845511436462
all_chargeability/family/F2A,2026-02-01,17928.0,17929.5899810791
all_chargeability/family/F2A,2026-03-01,17928.0,17927.121275901794
all_chargeability/family/F2A,2026-04-01,17928.0,17924.831709861755
all_chargeability/family/F2A,2026-05-01,18110.0,17924.315753936768
all_chargeability/family/F2A,2026-06-01,18263.0,18208.704292297363
all_chargeability/family/F2A,2026-07-01,18263.0,18427.729614257812
all_chargeability/family/F2B,2024-08-01,15096.0,15109.052534103394
all_chargeability/family/F2B,2024-09-01,15096.0,15097.76527929306
all_chargeability/family/F2B,2024-10-01,15096.0,15096.006178379059
all_chargeability/family/F2B,2024-11-01,15096.0,15095.114719867706
all_chargeability/family/F2B,2024-12-01,15096.0,15095.497817993164
all_chargeability/family/F2B,2025-01-01,15117.0,15095.352192878723
all_chargeability/family/F2B,2025-02-01,15117.0,15131.557747840881
all_chargeability/family/F2B,2025-03-01,15117.0,15118.378140449524
all_chargeability/family/F2B,2025-04-01,15178.0,15116.435579299927
all_chargeability/family/F2B,2025-05-01,15178.0,15196.711654663086
all_chargeability/family/F2B,2025-06-01,15240.0,15176.833170890808
all_chargeability/family/F2B,2025-07-01,15263.0,15258.480125427246
all_chargeability/family/F2B,2025-08-01,15263.0,15278.034816741943
all_chargeability/family/F2B,2025-09-01,15263.0,15262.698803901672
all_chargeability/family/F2B,2025-10-01,15301.0,15260.90628528595
all_chargeability/family/F2B,2025-11-01,15310.0,15318.706909179688
all_chargeability/family/F2B,2025-12-01,15310.0,15318.454233169556
all_chargeability/family/F2B,2026-01-01,15310.0,15314.808455467224
all_chargeability/family/F2B,2026-02-01,15310.0,15306.28502368927
all_chargeability/family/F2B,2026-03-01,15310.0,15308.943123817444
all_chargeability/family/F2B,2026-04-01,15482.0,15308.269017219543
all_chargeability/family/F2B,2026-05-01,15482.0,15517.107517242432
all_chargeability/family/F2B,2026-06-01,15605.0,15488.236817359924
all_chargeability/family/F2B,2026-07-01,15666.0,15643.058311462402
all_chargeability/family/F3,2024-08-01,12874.0,12900.93190574646
all_chargeability/family/F3,2024-09-01,12874.0,12876.470122337341
all_chargeability/family/F3,2024-10-01,12874.0,12871.736530303955
all_chargeability/family/F3,2024-11-01,12888.0,12868.211992263794
all_chargeability/family/F3,2024-12-01,12888.0,12897.185415267944
all_chargeability/family/F3,2025-01-01,12965.0,12890.305216789246
all_chargeability/family/F3,2025-02-01,12965.0,13001.382026672363
all_chargeability/family/F3,2025-03-01,12965.0,12969.393674850464
all_chargeability/family/F3,2025-04-01,13239.0,12962.223638534546
all_chargeability/family/F3,2025-05-01,13239.0,13288.679313659668
all_chargeability/family/F3,2025-06-01,13321.0,13238.231658935547
all_chargeability/family/F3,2025-07-01,13361.0,13350.120582580566
all_chargeability/family/F3,2025-08-01,13361.0,13392.220125198364
all_chargeability/family/F3,2025-09-01,13361.0,13363.836259841919
all_chargeability/family/F3,2025-10-01,13399.0,13356.35326385498
all_chargeability/family/F3,2025-11-01,13399.0,13421.916337966919
all_chargeability/family/F3,2025-12-01,13399.0,13399.459976196289
all_chargeability/family/F3,2026-01-01,13399.0,13401.79676437378
all_chargeability/family/F3,2026-02-01,13399.0,13391.561372756958
all_chargeability/family/F3,2026-03-01,13399.0,13396.118417739868
all_chargeability/family/F3,2026-04-01,13504.0,13395.721464157104
all_chargeability/family/F3,2026-05-01,13559.0,13545.249591827393
