number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_size,params_input_size,params_learning_rate,params_scaler_type,user_attrs_ALL_PARAMS,user_attrs_METRICS,state
0,69.18836212158203,2026-07-04 04:32:28.089221,2026-07-04 04:32:44.937775,0 days 00:00:16.848554,0.16164502020100707,32,24,0.0004024066464714613,standard,"{'input_size': 24, 'learning_rate': 0.0004024066464714613, 'scaler_type': 'standard', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 32, 'dropout': 0.16164502020100707, 'h': 1}","{'loss': 69.18836212158203, 'train_loss': 3.273346185684204}",COMPLETE
1,66.13347625732422,2026-07-04 04:32:44.938096,2026-07-04 04:32:52.784571,0 days 00:00:07.846475,0.05943044672546363,16,24,0.005704727088203684,robust,"{'input_size': 24, 'learning_rate': 0.005704727088203684, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 16, 'dropout': 0.05943044672546363, 'h': 1}","{'loss': 66.13347625732422, 'train_loss': 5.133877754211426}",COMPLETE
2,65.92935943603516,2026-07-04 04:32:52.784931,2026-07-04 04:32:59.241603,0 days 00:00:06.456672,0.2634427510288239,32,24,0.0024246286430387822,robust,"{'input_size': 24, 'learning_rate': 0.0024246286430387822, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 32, 'dropout': 0.2634427510288239, 'h': 1}","{'loss': 65.92935943603516, 'train_loss': 5.233885765075684}",COMPLETE
3,64.09687805175781,2026-07-04 04:32:59.241789,2026-07-04 04:33:20.413929,0 days 00:00:21.172140,0.22504329448349022,16,36,0.0011650124592172252,standard,"{'input_size': 36, 'learning_rate': 0.0011650124592172252, 'scaler_type': 'standard', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 16, 'dropout': 0.22504329448349022, 'h': 1}","{'loss': 64.09687805175781, 'train_loss': 1.7933032512664795}",COMPLETE
4,65.00545501708984,2026-07-04 04:33:20.414284,2026-07-04 04:33:28.235791,0 days 00:00:07.821507,0.039008571635483304,8,18,0.0037892970949022498,robust,"{'input_size': 18, 'learning_rate': 0.0037892970949022498, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 8, 'dropout': 0.039008571635483304, 'h': 1}","{'loss': 65.00545501708984, 'train_loss': 7.406853675842285}",COMPLETE
5,67.48621368408203,2026-07-04 04:33:28.236008,2026-07-04 04:33:52.104548,0 days 00:00:23.868540,0.20992750800627935,32,24,0.0003396982571910356,standard,"{'input_size': 24, 'learning_rate': 0.0003396982571910356, 'scaler_type': 'standard', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 32, 'dropout': 0.20992750800627935, 'h': 1}","{'loss': 67.48621368408203, 'train_loss': 0.8335955142974854}",COMPLETE
6,65.35914611816406,2026-07-04 04:33:52.104731,2026-07-04 04:34:00.865707,0 days 00:00:08.760976,0.17596651215059786,32,36,0.0006735324727887581,robust,"{'input_size': 36, 'learning_rate': 0.0006735324727887581, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 32, 'dropout': 0.17596651215059786, 'h': 1}","{'loss': 65.35914611816406, 'train_loss': 2.674143075942993}",COMPLETE
7,70.03019714355469,2026-07-04 04:34:00.865924,2026-07-04 04:34:11.316231,0 days 00:00:10.450307,0.21779939560513542,8,18,0.004118912607048066,standard,"{'input_size': 18, 'learning_rate': 0.004118912607048066, 'scaler_type': 'standard', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 8, 'dropout': 0.21779939560513542, 'h': 1}","{'loss': 70.03019714355469, 'train_loss': 2.1142208576202393}",COMPLETE
8,63.192596435546875,2026-07-04 04:34:11.316420,2026-07-04 04:34:21.003150,0 days 00:00:09.686730,0.18650871606273653,16,18,0.000498650988104503,robust,"{'input_size': 18, 'learning_rate': 0.000498650988104503, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 16, 'dropout': 0.18650871606273653, 'h': 1}","{'loss': 63.192596435546875, 'train_loss': 4.122809410095215}",COMPLETE
9,67.52252960205078,2026-07-04 04:34:21.003441,2026-07-04 04:34:46.766274,0 days 00:00:25.762833,0.18514347408621715,8,24,0.0014347598955915173,standard,"{'input_size': 24, 'learning_rate': 0.0014347598955915173, 'scaler_type': 'standard', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 8, 'dropout': 0.18514347408621715, 'h': 1}","{'loss': 67.52252960205078, 'train_loss': 1.940335750579834}",COMPLETE
10,63.660457611083984,2026-07-04 04:34:46.766453,2026-07-04 04:34:58.346902,0 days 00:00:11.580449,0.18560559329203485,16,18,0.00037400206353429335,robust,"{'input_size': 18, 'learning_rate': 0.00037400206353429335, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 16, 'dropout': 0.18560559329203485, 'h': 1}","{'loss': 63.660457611083984, 'train_loss': 2.845722198486328}",COMPLETE
