number,value,datetime_start,datetime_complete,duration,params_decoder_output_dim,params_dropout,params_hidden_size,params_input_size,params_learning_rate,params_scaler_type,user_attrs_ALL_PARAMS,user_attrs_METRICS,state
0,73.08953857421875,2026-07-04 04:29:41.220128,2026-07-04 04:29:57.785055,0 days 00:00:16.564927,32,0.06133567491945523,128,24,0.0004024066464714613,standard,"{'input_size': 24, 'learning_rate': 0.0004024066464714613, 'scaler_type': 'standard', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 128, 'decoder_output_dim': 32, 'dropout': 0.06133567491945523, 'h': 1}","{'loss': 73.08953857421875, 'train_loss': 3.1053123474121094}",COMPLETE
1,79.25261688232422,2026-07-04 04:29:57.785316,2026-07-04 04:30:09.000572,0 days 00:00:11.215256,32,0.2683819990511542,128,18,0.0006832971428089614,standard,"{'input_size': 18, 'learning_rate': 0.0006832971428089614, 'scaler_type': 'standard', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 128, 'decoder_output_dim': 32, 'dropout': 0.2683819990511542, 'h': 1}","{'loss': 79.25261688232422, 'train_loss': 2.262848377227783}",COMPLETE
2,65.11689758300781,2026-07-04 04:30:09.000998,2026-07-04 04:30:19.277769,0 days 00:00:10.276771,32,0.005486483203257541,32,36,0.005705385668376793,robust,"{'input_size': 36, 'learning_rate': 0.005705385668376793, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 32, 'decoder_output_dim': 32, 'dropout': 0.005486483203257541, 'h': 1}","{'loss': 65.11689758300781, 'train_loss': 4.713611602783203}",COMPLETE
3,73.75774383544922,2026-07-04 04:30:19.277964,2026-07-04 04:30:41.866372,0 days 00:00:22.588408,8,0.2036506598819673,64,24,0.00036382118505408,standard,"{'input_size': 24, 'learning_rate': 0.00036382118505408, 'scaler_type': 'standard', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 64, 'decoder_output_dim': 8, 'dropout': 0.2036506598819673, 'h': 1}","{'loss': 73.75774383544922, 'train_loss': 1.1187511682510376}",COMPLETE
4,72.33431243896484,2026-07-04 04:30:41.866563,2026-07-04 04:31:16.158462,0 days 00:00:34.291899,16,0.014986037683826147,64,36,0.00012785717080546089,standard,"{'input_size': 36, 'learning_rate': 0.00012785717080546089, 'scaler_type': 'standard', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 64, 'decoder_output_dim': 16, 'dropout': 0.014986037683826147, 'h': 1}","{'loss': 72.33431243896484, 'train_loss': 1.8230268955230713}",COMPLETE
5,62.38149642944336,2026-07-04 04:31:16.158650,2026-07-04 04:31:30.145588,0 days 00:00:13.986938,32,0.10432975792365197,128,24,0.007747998214789683,robust,"{'input_size': 24, 'learning_rate': 0.007747998214789683, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 128, 'decoder_output_dim': 32, 'dropout': 0.10432975792365197, 'h': 1}","{'loss': 62.38149642944336, 'train_loss': 4.488337993621826}",COMPLETE
6,77.27113342285156,2026-07-04 04:31:30.145777,2026-07-04 04:31:35.132284,0 days 00:00:04.986507,8,0.03442379188601256,64,36,0.001767438919753729,standard,"{'input_size': 36, 'learning_rate': 0.001767438919753729, 'scaler_type': 'standard', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 64, 'decoder_output_dim': 8, 'dropout': 0.03442379188601256, 'h': 1}","{'loss': 77.27113342285156, 'train_loss': 2.286531686782837}",COMPLETE
7,62.107154846191406,2026-07-04 04:31:35.132504,2026-07-04 04:32:04.226275,0 days 00:00:29.093771,32,0.10718092800074992,128,18,0.0006550487247952089,robust,"{'input_size': 18, 'learning_rate': 0.0006550487247952089, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 128, 'decoder_output_dim': 32, 'dropout': 0.10718092800074992, 'h': 1}","{'loss': 62.107154846191406, 'train_loss': 4.137217998504639}",COMPLETE
8,61.35673141479492,2026-07-04 04:32:04.226643,2026-07-04 04:32:11.528115,0 days 00:00:07.301472,32,0.2261628565383739,128,18,0.007225609176928375,robust,"{'input_size': 18, 'learning_rate': 0.007225609176928375, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 128, 'decoder_output_dim': 32, 'dropout': 0.2261628565383739, 'h': 1}","{'loss': 61.35673141479492, 'train_loss': 6.33136510848999}",COMPLETE
9,63.66244888305664,2026-07-04 04:32:11.528317,2026-07-04 04:32:52.336276,0 days 00:00:40.807959,16,0.08375510370334184,64,18,0.00010958731027416023,robust,"{'input_size': 18, 'learning_rate': 0.00010958731027416023, 'scaler_type': 'robust', 'max_steps': 2000, 'early_stop_patience_steps': 10, 'val_check_steps': 25, 'logger': False, 'accelerator': 'mps', 'hidden_size': 64, 'decoder_output_dim': 16, 'dropout': 0.08375510370334184, 'h': 1}","{'loss': 63.66244888305664, 'train_loss': 6.3645524978637695}",COMPLETE
