number,value,datetime_start,datetime_complete,duration,params_depth,params_l2_leaf_reg,params_lags,params_learning_rate,params_n_estimators,params_subsample,state
0,0.09712955065005337,2026-07-06 03:45:11.930785,2026-07-06 03:45:23.081318,0 days 00:00:11.150533,10,12.057126287443763,18,0.024479668704186594,318,0.5779972601681014,COMPLETE
1,0.10042546992640469,2026-07-06 03:45:23.152950,2026-07-06 03:45:26.441549,0 days 00:00:03.288599,9,7.725378389307352,12,0.03592774284371348,128,0.9849549260809971,COMPLETE
2,0.10092572556601151,2026-07-06 03:45:26.506068,2026-07-06 03:45:30.716055,0 days 00:00:04.209987,4,1.8559980846490576,36,0.005707213043685121,526,0.762378215816119,COMPLETE
3,0.09762310462706544,2026-07-06 03:45:30.785116,2026-07-06 03:45:35.063979,0 days 00:00:04.278863,5,8.012737503998538,24,0.004892755234081989,509,0.6831809216468459,COMPLETE
4,0.11461118966021952,2026-07-06 03:45:35.131394,2026-07-06 03:46:04.722691,0 days 00:00:29.591297,9,1.9721610970573997,24,0.018206981506056836,929,0.5232252063599989,COMPLETE
5,0.15082814960871568,2026-07-06 03:46:04.785580,2026-07-06 03:46:13.397880,0 days 00:00:08.612300,4,1.2476394272569447,30,0.08359087496329688,1452,0.9041986740582306,COMPLETE
6,0.1007021678700897,2026-07-06 03:46:13.460335,2026-07-06 03:46:15.160122,0 days 00:00:01.699787,3,10.249322216924156,18,0.014041714290623834,270,0.7475884550556351,COMPLETE
7,0.14727412667499573,2026-07-06 03:46:15.222095,2026-07-06 03:46:31.390083,0 days 00:00:16.167988,10,2.411289811529197,12,0.030624031290072545,536,0.7600340105889054,COMPLETE
8,0.10818689499087358,2026-07-06 03:46:31.453993,2026-07-06 03:46:38.833043,0 days 00:00:07.379050,4,27.05166881899929,24,0.045452163074850664,1416,0.9474136752138245,COMPLETE
9,0.09374455952354345,2026-07-06 03:46:38.898830,2026-07-06 03:46:47.980797,0 days 00:00:09.081967,10,1.3511829476450818,24,0.005964573440645618,163,0.6626651653816322,COMPLETE
10,0.09589178344083626,2026-07-06 03:46:48.050419,2026-07-06 03:46:56.183790,0 days 00:00:08.133371,8,1.854175581358065,30,0.0043474117711693175,311,0.7789330953513087,COMPLETE
11,0.09565768922860561,2026-07-06 03:46:56.253039,2026-07-06 03:47:03.852552,0 days 00:00:07.599513,10,1.723129732677378,24,0.00760432668571051,143,0.6139932807212174,COMPLETE
12,0.08916946686532319,2026-07-06 03:47:03.918171,2026-07-06 03:47:08.318800,0 days 00:00:04.400629,10,1.2057031913150662,12,0.007051208249528264,120,0.6650004268459201,COMPLETE
13,0.09107954850653478,2026-07-06 03:47:08.383919,2026-07-06 03:47:12.270413,0 days 00:00:03.886494,9,1.2108966863768926,12,0.003277635979662134,154,0.720382010075921,COMPLETE
14,0.091166443701359,2026-07-06 03:47:12.332966,2026-07-06 03:47:17.838816,0 days 00:00:05.505850,10,1.8172109482185206,12,0.005315200186572871,161,0.8853906599854247,COMPLETE
15,0.12540960402281442,2026-07-06 03:47:17.907354,2026-07-06 03:47:20.253899,0 days 00:00:02.346545,8,1.1023707671234655,12,0.024052541174103045,412,0.5720113764588869,PRUNED
16,0.09362852951582532,2026-07-06 03:47:20.323342,2026-07-06 03:47:22.765474,0 days 00:00:02.442132,6,1.6714564300429573,12,0.0036896364095855183,228,0.7802453386492192,COMPLETE
17,0.09549245413409159,2026-07-06 03:47:22.830094,2026-07-06 03:47:25.979250,0 days 00:00:03.149156,7,3.9889335186614487,12,0.006136975365143388,259,0.5993385864287941,COMPLETE
18,0.11915270533479669,2026-07-06 03:47:26.046791,2026-07-06 03:47:53.778517,0 days 00:00:27.731726,10,1.5336374106906203,12,0.0073890044467100945,935,0.6415889532127081,COMPLETE
19,0.09334190458149969,2026-07-06 03:47:53.837158,2026-07-06 03:47:59.278468,0 days 00:00:05.441310,10,1.3136428904623008,12,0.009514456856801239,158,0.6452041177448287,COMPLETE
20,0.09411932759271775,2026-07-06 03:47:59.348894,2026-07-06 03:48:16.063767,0 days 00:00:16.714873,10,1.3124055763129057,12,0.0030436170798816857,554,0.6264663257025025,COMPLETE
21,0.09925852561945592,2026-07-06 03:48:16.124188,2026-07-06 03:48:28.443220,0 days 00:00:12.319032,9,1.298325096328303,18,0.005715810632403757,496,0.9276819294350122,COMPLETE
22,0.09446815690748743,2026-07-06 03:48:28.503494,2026-07-06 03:48:35.550811,0 days 00:00:07.047317,10,3.346434938473163,18,0.003971828620112826,172,0.9471824654937585,COMPLETE
23,0.09222792413348085,2026-07-06 03:48:35.623914,2026-07-06 03:48:40.796563,0 days 00:00:05.172649,9,3.0381873544859475,12,0.003667599738058652,212,0.7886709897141636,COMPLETE
24,0.09005184702259686,2026-07-06 03:48:40.869287,2026-07-06 03:48:45.092745,0 days 00:00:04.223458,9,1.1604885730429186,12,0.004469531680555842,160,0.7067379391804678,COMPLETE
25,0.09140124959954761,2026-07-06 03:48:45.166844,2026-07-06 03:48:51.122254,0 days 00:00:05.955410,9,1.1393122352589615,12,0.004947985109903889,252,0.6886603702600771,COMPLETE
26,0.15725843227032751,2026-07-06 03:48:51.185077,2026-07-06 03:48:54.386251,0 days 00:00:03.201174,6,3.2980537876501725,12,0.07094298679809141,1277,0.6819184444984365,PRUNED
27,0.10737938495528837,2026-07-06 03:48:54.450882,2026-07-06 03:49:10.898854,0 days 00:00:16.447972,7,2.2489142781837996,30,0.008047871793610915,1077,0.9501074183915024,COMPLETE
28,0.09804716876910988,2026-07-06 03:49:10.976350,2026-07-06 03:49:16.605368,0 days 00:00:05.629018,4,7.537714586356802,12,0.003793508501257267,1345,0.8247492868340891,COMPLETE
29,0.15132357931302926,2026-07-06 03:49:16.679617,2026-07-06 03:49:25.478440,0 days 00:00:08.798823,5,1.5144239590421646,36,0.0488816770510337,913,0.605101413203496,COMPLETE
30,0.12174673845377512,2026-07-06 03:49:25.550825,2026-07-06 03:49:31.050848,0 days 00:00:05.500023,3,16.79559830500493,24,0.02507302463997631,1298,0.6186195164011914,COMPLETE
