unique_id,ds,y,BiTCN,BiTCN-lo-95,BiTCN-lo-90,BiTCN-lo-80,BiTCN-lo-50,BiTCN-hi-50,BiTCN-hi-80,BiTCN-hi-90,BiTCN-hi-95
all_chargeability/family/F1,2024-08-01,14904.0,14919.491836547852,14789.571122533083,14807.698132526875,14869.997556257247,14915.33279633522,14923.650876760483,14968.986116838456,15031.285540568828,15049.41255056262
all_chargeability/family/F1,2024-09-01,14904.0,14904.099440574646,14778.338354873656,14798.01762495041,14858.61568222046,14897.520835876465,14910.678045272827,14949.583198928833,15010.181256198883,15029.860526275635
all_chargeability/family/F1,2024-10-01,14904.0,14906.881272315979,14780.591328126193,14800.867545330524,14861.554631447792,14898.20035457611,14915.562190055847,14952.207913184166,15012.894999301434,15033.171216505765
all_chargeability/family/F1,2024-11-01,14904.0,14903.827179908752,14779.569080626965,14800.123678278924,14859.03209028244,14894.852177619934,14912.80218219757,14948.622269535064,15007.530681538581,15028.08527919054
all_chargeability/family/F1,2024-12-01,14904.0,14902.864656448364,14778.276201224327,14799.456422758103,14857.848711705208,14894.423882246017,14911.305430650711,14947.88060119152,15006.272890138625,15027.453111672401
all_chargeability/family/F1,2025-01-01,14935.0,14902.502388000488,14780.5957198143,14803.721537590027,14857.67640748024,14896.586815595627,14908.41796040535,14947.328368520737,15001.28323841095,15024.409056186676
all_chargeability/family/F1,2025-02-01,14935.0,14941.591308116913,14824.102029824257,14846.867579984664,14902.744121837615,14935.486319541931,14947.696296691895,14980.43849439621,15036.315036249161,15059.08058640957
all_chargeability/family/F1,2025-03-01,14935.0,14937.301759719849,14815.299109756947,14835.859124779701,14897.714679288863,14931.88321864605,14942.720300793648,14976.888840150834,15038.744394659996,15059.30440968275
all_chargeability/family/F1,2025-04-01,15049.0,14935.304597854614,14870.9479575634,14898.289131259919,14921.965166473388,14931.123470187187,14939.485725522041,14948.64402923584,14972.32006444931,14999.661238145829
all_chargeability/family/F1,2025-05-01,15049.0,15055.99569606781,14955.951819777489,14969.637625455856,15018.358518505096,15050.678223609924,15061.313168525696,15093.632873630524,15142.353766679764,15156.039572358131
all_chargeability/family/F1,2025-06-01,15134.0,15050.62451171875,14975.007177734375,15013.07472114563,15039.069731616974,15046.544781327248,15054.704242110252,15062.179291820526,15088.17430229187,15126.241845703125
all_chargeability/family/F1,2025-07-01,15171.0,15161.167222976685,15062.105623483658,15076.692502498627,15123.09862947464,15156.200426220894,15166.134019732475,15199.23581647873,15245.641943454742,15260.228822469711
all_chargeability/family/F1,2025-08-01,15171.0,15189.854225158691,15091.012363028527,15105.935657644271,15151.97167339325,15181.220710754395,15198.487739562988,15227.736776924134,15273.772792673111,15288.696087288856
all_chargeability/family/F1,2025-09-01,15171.0,15178.316010475159,15079.688263225555,15094.337056732178,15140.171760082245,15169.970853328705,15186.661167621613,15216.460260868073,15262.29496421814,15276.943757724763
all_chargeability/family/F1,2025-10-01,15287.0,15171.52820110321,15072.302301335334,15087.379680490494,15133.450866222382,15164.172107458115,15178.884294748306,15209.60553598404,15255.676721715927,15270.754100871087
all_chargeability/family/F1,2025-11-01,15287.0,15300.233039855957,15183.407493162154,15184.808072185517,15213.554220867158,15285.353816986084,15315.11226272583,15386.911858844756,15415.658007526397,15417.05858654976
all_chargeability/family/F1,2025-12-01,15287.0,15289.643009185791,15174.184990787506,15175.655542182922,15203.994058990478,15279.287414550781,15299.9986038208,15375.291959381104,15403.63047618866,15405.101027584076
all_chargeability/family/F1,2026-01-01,15287.0,15317.486148834229,15200.849820065498,15201.906143045426,15230.965849494934,15306.92084646225,15328.051451206207,15404.006448173523,15433.066154623031,15434.12247760296
all_chargeability/family/F1,2026-02-01,15287.0,15258.5604763031,15144.978453326225,15145.110090589524,15173.021630573272,15240.027811050415,15277.093141555786,15344.09932203293,15372.010862016677,15372.142499279977
all_chargeability/family/F1,2026-03-01,15287.0,15284.999021530151,15184.933089280128,15200.348328638076,15253.207192611695,15272.938035726547,15297.060007333755,15316.790850448608,15369.649714422227,15385.064953780175
all_chargeability/family/F1,2026-04-01,15461.0,15284.644145965576,15185.215742492675,15201.48873977661,15252.12126712799,15273.172227621078,15296.116064310074,15317.167024803162,15367.799552154542,15384.072549438477
all_chargeability/family/F1,2026-05-01,15584.0,15469.59103012085,15323.051376509666,15351.878662443161,15438.546038627625,15456.176772356033,15483.005287885666,15500.636021614075,15587.303397798538,15616.130683732034
all_chargeability/family/F1,2026-06-01,15584.0,15653.797691345215,15507.201524972916,15535.1708817482,15540.341333580018,15638.048113107681,15669.547269582748,15767.254049110412,15772.42450094223,15800.393857717514
all_chargeability/family/F1,2026-07-01,15737.0,15591.909189224243,15445.94906244278,15473.890680503846,15479.834666919709,15576.706757068634,15607.111621379852,15703.983711528777,15709.92769794464,15737.869316005706
all_chargeability/family/F2A,2024-08-01,17120.0,17129.18253135681,16804.82628583908,16864.704482078552,16942.992524147034,17057.837873458862,17200.52718925476,17315.37253856659,17393.66058063507,17453.538776874542
all_chargeability/family/F2A,2024-09-01,17120.0,17142.944040298462,16906.316138982773,16926.963904857635,17039.812967681886,17077.57616043091,17208.311920166016,17246.075112915038,17358.92417573929,17379.57194161415
all_chargeability/family/F2A,2024-10-01,17127.0,17147.55920791626,16909.705834388733,16922.661191940308,17016.51732110977,17069.214748859406,17225.903666973114,17278.601094722748,17372.457223892212,17385.412581443787
all_chargeability/family/F2A,2024-11-01,17167.0,17154.072956085205,16907.163074588774,16921.938293647767,17010.740494441987,17098.679615974426,17209.466296195984,17297.405417728423,17386.207618522643,17400.982837581636
all_chargeability/family/F2A,2024-12-01,17167.0,17194.943717956543,17020.294763445854,17070.058337926865,17107.37479104996,17153.722150802612,17236.165285110474,17282.512644863127,17319.82909798622,17369.59267246723
all_chargeability/family/F2A,2025-01-01,17167.0,17181.12514591217,17010.24101638794,17061.25453853607,17090.41369037628,17147.157990455627,17215.092301368713,17271.83660144806,17300.99575328827,17352.0092754364
all_chargeability/family/F2A,2025-02-01,17167.0,17183.23288154602,17017.706160068512,17071.470423698425,17121.59782409668,17153.93488049507,17212.53088259697,17244.86793899536,17294.995339393616,17348.75960302353
all_chargeability/family/F2A,2025-03-01,17167.0,17182.096620559692,16991.228961801527,17039.771850299836,17123.20521774292,17160.21465444565,17203.978586673737,17240.988023376463,17324.42139081955,17372.964279317857
all_chargeability/family/F2A,2025-04-01,17167.0,17174.232660770416,17080.20768404007,17115.565779209137,17145.34105901718,17154.551290035248,17193.914031505585,17203.124262523652,17232.899542331696,17268.257637500763
all_chargeability/family/F2A,2025-05-01,17167.0,17169.613514900208,17125.35214729309,17138.988824272157,17149.53035068512,17152.78496313095,17186.442066669464,17189.696679115295,17200.238205528258,17213.874882507323
all_chargeability/family/F2A,2025-06-01,17167.0,17173.106652259827,17146.510444164276,17151.13776397705,17153.96252117157,17161.87723660469,17184.336067914963,17192.250783348085,17195.075540542603,17199.702860355377
all_chargeability/family/F2A,2025-07-01,17410.0,17168.49494791031,17147.530689048766,17150.034497356413,17153.33580160141,17160.878009915352,17176.111885905266,17183.654094219208,17186.955398464204,17189.45920677185
all_chargeability/family/F2A,2025-08-01,17410.0,17457.667316436768,17317.56020784378,17416.28965473175,17439.631995010375,17448.37196111679,17466.962671756744,17475.70263786316,17499.044978141785,17597.774425029755
all_chargeability/family/F2A,2025-09-01,17410.0,17426.129362106323,17278.70102984309,17376.314609897137,17398.41396522522,17419.28716504574,17432.97155916691,17453.844758987427,17475.94411431551,17573.557694369556
all_chargeability/family/F2A,2025-10-01,17928.0,17410.210741326213,17266.887324926258,17359.046195933224,17369.015676781535,17397.669507309794,17422.75197534263,17451.40580587089,17461.3752867192,17553.534157726168
all_chargeability/family/F2A,2025-11-01,17928.0,18046.578285217285,17656.112181586028,17788.03258880377,17975.639205002786,18039.339061379433,18053.817509055138,18117.517365431784,18305.1239816308,18437.044388848542
all_chargeability/family/F2A,2025-12-01,17928.0,17942.32050704956,17560.326648038626,17692.867221677305,17834.768177223206,17922.530720949173,17962.110293149948,18049.872836875915,18191.773792421816,18324.314366060495
all_chargeability/family/F2A,2026-01-01,17928.0,17929.256938934326,17548.673812913894,17677.43593225479,17838.21337413788,17917.163247585297,17941.350630283356,18020.300503730774,18181.077945613863,18309.84006495476
all_chargeability/family/F2A,2026-02-01,17928.0,17934.36731147766,17551.622570741176,17682.66566751003,17792.58541650772,17920.3429145813,17948.391708374023,18076.1492064476,18186.06895544529,18317.112052214146
all_chargeability/family/F2A,2026-03-01,17928.0,17932.923074245453,17549.652452909948,17682.213288235664,17819.72773332596,17916.823897838593,17949.022250652313,18046.118415164947,18183.632860255242,18316.193695580958
all_chargeability/family/F2A,2026-04-01,17928.0,17927.617601394653,17547.707916855812,17677.545789957047,17838.61855545044,17916.2924284935,17938.942774295807,18016.616647338866,18177.68941283226,18307.527285933495
all_chargeability/family/F2A,2026-05-01,18110.0,17926.317417144775,17541.238034033777,17670.103758382797,17854.480784225463,17919.83300292492,17932.80183136463,17998.154050064088,18182.531075906754,18311.396800255774
all_chargeability/family/F2A,2026-06-01,18263.0,18157.66067123413,17801.140485012533,17956.16515343189,18090.9509765625,18142.06980729103,18173.25153517723,18224.37036590576,18359.15618903637,18514.18085745573
