unique_id,ds,y,AutoBiTCN
all_chargeability/family/F1,2024-08-01,14904.0,14907.227853059769
all_chargeability/family/F1,2024-09-01,14904.0,14907.376794338226
all_chargeability/family/F1,2024-10-01,14904.0,14906.866747617722
all_chargeability/family/F1,2024-11-01,14904.0,14906.687547683716
all_chargeability/family/F1,2024-12-01,14904.0,14906.787854194641
all_chargeability/family/F1,2025-01-01,14935.0,14906.91291809082
all_chargeability/family/F1,2025-02-01,14935.0,14937.64003610611
all_chargeability/family/F1,2025-03-01,14935.0,14938.449273586273
all_chargeability/family/F1,2025-04-01,15049.0,14937.51950454712
all_chargeability/family/F1,2025-05-01,15049.0,15052.680744171143
all_chargeability/family/F1,2025-06-01,15134.0,15052.850156545639
all_chargeability/family/F1,2025-07-01,15171.0,15137.581958055496
all_chargeability/family/F1,2025-08-01,15171.0,15174.949885606766
all_chargeability/family/F1,2025-09-01,15171.0,15174.657736301422
all_chargeability/family/F1,2025-10-01,15287.0,15173.218929290771
all_chargeability/family/F1,2025-11-01,15287.0,15290.82342004776
all_chargeability/family/F1,2025-12-01,15287.0,15289.940842866898
all_chargeability/family/F1,2026-01-01,15287.0,15289.733766794205
all_chargeability/family/F1,2026-02-01,15287.0,15290.403517961502
all_chargeability/family/F1,2026-03-01,15287.0,15289.160865306854
all_chargeability/family/F1,2026-04-01,15461.0,15289.070868968964
all_chargeability/family/F1,2026-05-01,15584.0,15465.120886802673
all_chargeability/family/F1,2026-06-01,15584.0,15588.982241630554
all_chargeability/family/F1,2026-07-01,15737.0,15588.771731376648
all_chargeability/family/F2A,2024-08-01,17120.0,17158.13808441162
all_chargeability/family/F2A,2024-09-01,17120.0,17133.21529483795
all_chargeability/family/F2A,2024-10-01,17127.0,17122.715060710907
all_chargeability/family/F2A,2024-11-01,17167.0,17129.078022241592
all_chargeability/family/F2A,2024-12-01,17167.0,17175.0386428833
all_chargeability/family/F2A,2025-01-01,17167.0,17181.333261489868
all_chargeability/family/F2A,2025-02-01,17167.0,17171.98445224762
all_chargeability/family/F2A,2025-03-01,17167.0,17173.877289772034
all_chargeability/family/F2A,2025-04-01,17167.0,17173.940280914307
all_chargeability/family/F2A,2025-05-01,17167.0,17171.286574840546
all_chargeability/family/F2A,2025-06-01,17167.0,17171.919836997986
all_chargeability/family/F2A,2025-07-01,17410.0,17172.757236480713
all_chargeability/family/F2A,2025-08-01,17410.0,17415.94465446472
all_chargeability/family/F2A,2025-09-01,17410.0,17416.96616268158
all_chargeability/family/F2A,2025-10-01,17928.0,17415.240018367767
all_chargeability/family/F2A,2025-11-01,17928.0,17939.00758266449
all_chargeability/family/F2A,2025-12-01,17928.0,17939.759830474854
all_chargeability/family/F2A,2026-01-01,17928.0,17936.90459060669
all_chargeability/family/F2A,2026-02-01,17928.0,17937.724829673767
all_chargeability/family/F2A,2026-03-01,17928.0,17937.3343667984
all_chargeability/family/F2A,2026-04-01,17928.0,17934.263900756836
all_chargeability/family/F2A,2026-05-01,18110.0,17937.993187904358
all_chargeability/family/F2A,2026-06-01,18263.0,18119.990040779114
all_chargeability/family/F2A,2026-07-01,18263.0,18273.606652259827
all_chargeability/family/F2B,2024-08-01,15096.0,15098.477554321289
all_chargeability/family/F2B,2024-09-01,15096.0,15098.409966230392
all_chargeability/family/F2B,2024-10-01,15096.0,15098.230113744736
all_chargeability/family/F2B,2024-11-01,15096.0,15098.177851676941
all_chargeability/family/F2B,2024-12-01,15096.0,15098.121841907501
all_chargeability/family/F2B,2025-01-01,15117.0,15098.473643302917
all_chargeability/family/F2B,2025-02-01,15117.0,15118.975837826729
all_chargeability/family/F2B,2025-03-01,15117.0,15119.569801330566
all_chargeability/family/F2B,2025-04-01,15178.0,15119.00599861145
all_chargeability/family/F2B,2025-05-01,15178.0,15180.521487951279
all_chargeability/family/F2B,2025-06-01,15240.0,15180.745282173157
all_chargeability/family/F2B,2025-07-01,15263.0,15242.68738937378
all_chargeability/family/F2B,2025-08-01,15263.0,15265.757428407669
all_chargeability/family/F2B,2025-09-01,15263.0,15265.615849494934
all_chargeability/family/F2B,2025-10-01,15301.0,15264.667130351067
all_chargeability/family/F2B,2025-11-01,15310.0,15303.426010608673
all_chargeability/family/F2B,2025-12-01,15310.0,15311.348300933838
all_chargeability/family/F2B,2026-01-01,15310.0,15311.332837581635
all_chargeability/family/F2B,2026-02-01,15310.0,15311.768034934998
all_chargeability/family/F2B,2026-03-01,15310.0,15311.149551391602
all_chargeability/family/F2B,2026-04-01,15482.0,15311.111177563667
all_chargeability/family/F2B,2026-05-01,15482.0,15485.225752353668
all_chargeability/family/F2B,2026-06-01,15605.0,15485.510806322098
all_chargeability/family/F2B,2026-07-01,15666.0,15608.745167732239
all_chargeability/family/F3,2024-08-01,12874.0,12877.679005622864
all_chargeability/family/F3,2024-09-01,12874.0,12877.558202981949
all_chargeability/family/F3,2024-10-01,12874.0,12876.94451713562
all_chargeability/family/F3,2024-11-01,12888.0,12877.441925764084
all_chargeability/family/F3,2024-12-01,12888.0,12890.109597206116
all_chargeability/family/F3,2025-01-01,12965.0,12891.142067670822
all_chargeability/family/F3,2025-02-01,12965.0,12968.421658992767
all_chargeability/family/F3,2025-03-01,12965.0,12968.733176231384
all_chargeability/family/F3,2025-04-01,13239.0,12968.343730926514
all_chargeability/family/F3,2025-05-01,13239.0,13244.56120300293
all_chargeability/family/F3,2025-06-01,13321.0,13244.501769542694
all_chargeability/family/F3,2025-07-01,13361.0,13326.305859565735
all_chargeability/family/F3,2025-08-01,13361.0,13365.996451854706
all_chargeability/family/F3,2025-09-01,13361.0,13366.085290431976
all_chargeability/family/F3,2025-10-01,13399.0,13363.788734436035
all_chargeability/family/F3,2025-11-01,13399.0,13403.714418888092
all_chargeability/family/F3,2025-12-01,13399.0,13403.551263809204
all_chargeability/family/F3,2026-01-01,13399.0,13402.97300195694
all_chargeability/family/F3,2026-02-01,13399.0,13404.333426475525
all_chargeability/family/F3,2026-03-01,13399.0,13402.676320075989
all_chargeability/family/F3,2026-04-01,13504.0,13402.655894517899
all_chargeability/family/F3,2026-05-01,13559.0,13509.435611724854
all_chargeability/family/F3,2026-06-01,13559.0,13564.17770576477
all_chargeability/family/F3,2026-07-01,13619.0,13564.372597694397
all_chargeability/family/F4,2024-08-01,11900.0,11900.918098688126
all_chargeability/family/F4,2024-09-01,11900.0,11900.996519267559
