model,table,country,category,tuned_hold_mase,default_hold_mase
catboost,FAD,all_chargeability,F1,0.11997322626645958,0.1431462641767332
catboost,FAD,all_chargeability,F2A,0.14276323655698414,0.1998820688764898
catboost,FAD,all_chargeability,F2B,0.07030754685914793,0.0824725704307935
catboost,FAD,all_chargeability,F3,0.15121121529989132,0.1964873655273619
catboost,FAD,all_chargeability,F4,0.09102194360186688,0.1289624340194091
catboost,FAD,china,F1,0.12668503784489493,0.1364326387109335
catboost,FAD,china,F2A,0.1444853779960112,0.1849212817174722
catboost,FAD,china,F2B,0.07056283450151443,0.0692703141723823
catboost,FAD,china,F3,0.15093764773610768,0.1868096735344238
catboost,FAD,china,F4,0.0782303713149867,0.0971830059762315
catboost,FAD,india,F1,0.11816554818714363,0.1230924080633754
catboost,FAD,india,F2A,0.1482211743248738,0.196260268170449
catboost,FAD,india,F2B,0.07034236458536945,0.0781044720159982
catboost,FAD,india,F3,0.15584236300497567,0.1872060279275994
catboost,FAD,india,F4,0.0688306194114318,0.0793796898424822
catboost,FAD,mexico,F1,0.27765224338672656,0.4066457214028669
catboost,FAD,mexico,F2A,0.10656163608803881,0.1508838225546701
catboost,FAD,mexico,F2B,0.36043193043713595,0.418261591828376
catboost,FAD,mexico,F3,0.13583969718131933,0.2670835363884691
catboost,FAD,mexico,F4,0.04604394227508038,0.0627900183186107
catboost,FAD,philippines,F1,0.06391360745982445,0.0735253057702117
catboost,FAD,philippines,F2A,0.14700584615414206,0.1841756149452448
catboost,FAD,philippines,F2B,0.08622691310256948,0.1156416119989494
catboost,FAD,philippines,F3,0.14821623637377426,0.1683929358149405
catboost,FAD,philippines,F4,0.14720638363319535,0.1600008385498317
catboost,DFF,all_chargeability,F1,0.07075504441285892,0.0772109392763019
catboost,DFF,all_chargeability,F2A,0.07740331431634682,0.0999770573119697
catboost,DFF,all_chargeability,F2B,0.08911843338701342,0.0698595007352849
catboost,DFF,all_chargeability,F3,0.2210645361795691,0.2528741187001392
catboost,DFF,all_chargeability,F4,0.17482106273299838,0.1571955360472115
catboost,DFF,china,F1,0.07075504441285892,0.0772109392763019
catboost,DFF,china,F2A,0.07740331431634682,0.0999770573119697
